mun_code,mun_name,efficient_measure,wellfare_measure,Opportunity_measure,Province
GT482,Randfontein,0.9994588345,0.654573095,0.4983780092,Gauteng
GT483,Westonaria,0.9990430731,0.506422704,0.4443455031,Gauteng
GT484,Merafong City,0.9996506554,0.633095269,0.4594322529,Gauteng
JHB,City of Johannesburg,0.9999180278,0.705571209,0.5336809078,Gauteng
KZN211,Vulamehlo,0.998798721,0.137627185,0.26752,KwaZulu-Natal
KZN212,Umdoni,0.9995769166,0.423631368,0.4491199676,KwaZulu-Natal
KZN213,Umzumbe,0.9994904517,0.163696435,0.2703716331,KwaZulu-Natal
KZN214,UMuziwabantu,0.9995002317,0.195796584,0.4684181107,KwaZulu-Natal
KZN215,Ezingoleni,0.9995197256,0.230456816,0.3702795488,KwaZulu-Natal
KZN216,Hibiscus Coast,0.999778157,0.40163107,0.492714082,KwaZulu-Natal
KZN221,uMshwathi,0.9998921347,0.34780786,0.595459742,KwaZulu-Natal
KZN222,uMngeni,0.9993389667,0.605455865,0.5562055997,KwaZulu-Natal
KZN223,Mpofana,0.9991665061,0.396058203,0.6113889958,KwaZulu-Natal
KZN224,Impendle,0.9998995935,0.269331163,0.3622392975,KwaZulu-Natal
KZN225,The Msunduzi,0.9999020312,0.601191534,0.4196445103,KwaZulu-Natal
KZN226,Mkhambathini,0.9998318155,0.318003798,0.5499211771,KwaZulu-Natal
KZN227,Richmond,0.9998426886,0.308575322,0.5670960816,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,0.9999588242,0.464493907,0.4195959446,KwaZulu-Natal
KZN233,Indaka,0.9992325905,0.267951237,0.2521938192,KwaZulu-Natal
KZN234,Umtshezi,0.9996888237,0.393888628,0.3896595208,KwaZulu-Natal
KZN235,Okhahlamba,0.9993370342,0.223229441,0.347767253,KwaZulu-Natal
KZN236,Imbabazane,0.9984740101,0.168681049,0.318653926,KwaZulu-Natal
KZN241,Endumeni,0.9998921741,0.55602243,0.5135487233,KwaZulu-Natal
KZN242,Nqutu,0.9999196105,0.230998403,0.3949560389,KwaZulu-Natal
KZN244,Msinga,0.9988804932,0.108787589,0.3140768687,KwaZulu-Natal
KZN245,Umvoti,0.9998594701,0.237195056,0.5074370709,KwaZulu-Natal
KZN252,Newcastle,0.9995739491,0.590119459,0.3776649209,KwaZulu-Natal
KZN253,Emadlangeni,0.9998305408,0.226222423,0.420935412,KwaZulu-Natal
KZN254,Dannhauser,0.9997330519,0.319387383,0.3141486811,KwaZulu-Natal
KZN261,eDumbe,0.9966569645,0.290111406,0.4453521127,KwaZulu-Natal
KZN262,UPhongolo,0.9990769352,0.303892511,0.4541122214,KwaZulu-Natal
KZN263,Abaqulusi,0.9996073413,0.429414515,0.421113824,KwaZulu-Natal
KZN265,Nongoma,0.9988118205,0.250833701,0.3197071385,KwaZulu-Natal
KZN266,Ulundi,0.999448887,0.318480203,0.2721599773,KwaZulu-Natal
KZN271,Umhlabuyalingana,0.9979130049,0.113605052,0.3310699588,KwaZulu-Natal
KZN272,Jozini,0.9977062943,0.155775646,0.3797752809,KwaZulu-Natal
KZN273,The Big 5 False Bay,0.9993040265,0.204504908,0.5649867374,KwaZulu-Natal
KZN274,Hlabisa,0.9975823276,0.18346862,0.2697241822,KwaZulu-Natal
KZN275,Mtubatuba,0.998830342,0.307443353,0.4370583617,KwaZulu-Natal
KZN281,Mfolozi,0.9981006708,0.318850782,0.3536604988,KwaZulu-Natal
KZN282,uMhlathuze,1,0.605877913,0.4464750861,KwaZulu-Natal
KZN283,Ntambanana,0.9999650759,0.195505988,0.2994604317,KwaZulu-Natal
KZN284,uMlalazi,0.9994055476,0.266423736,0.4459674458,KwaZulu-Natal
KZN285,Mthonjaneni,0.9991609875,0.269725849,0.5319327731,KwaZulu-Natal
KZN286,Nkandla,0.998243382,0.217430866,0.3671203438,KwaZulu-Natal
KZN291,Mandeni,0.9996290993,0.381279343,0.532572351,KwaZulu-Natal
KZN292,KwaDukuza,0.9997639359,0.432518184,0.5814430763,KwaZulu-Natal
KZN293,Ndwedwe,0.9995769504,0.209517717,0.3140025693,KwaZulu-Natal
KZN294,Maphumulo,0.9980695078,0.137163337,0.3720603721,KwaZulu-Natal
KZN431,Ingwe,0.9995283024,0.153395638,0.3852903226,KwaZulu-Natal
KZN432,Kwa Sani,0.9980414817,0.338949879,0.7174813587,KwaZulu-Natal
