geo_code,name,total,Do not know,Given birth,Never given birth,Unspecified,province
LIM343,Thulamela,72649,156,23467,40143,8883,Limpopo
LIM344,Makhado,54744,88,19174,29662,5820,Limpopo
LIM351,Blouberg,18566,27,5776,10832,1931,Limpopo
LIM353,Molemole,11548,13,3937,5962,1636,Limpopo
LIM354,Polokwane,69408,118,20647,36748,11895,Limpopo
LIM355,Lepele-Nkumpi,24046,32,7572,13123,3319,Limpopo
LIM361,Thabazimbi,6225,16,2510,2255,1444,Limpopo
LIM362,Lephalale,11155,20,4034,5037,2064,Limpopo
LIM365,Modimolle,6245,6,2523,2830,886,Limpopo
LIM366,Bela-Bela,5788,7,2059,2667,1055,Eastern Cape
BUF,Buffalo City,72417,112,18099,37234,16972,Eastern Cape
EC101,Camdeboo,4527,9,1400,1885,1233,Eastern Cape
EC105,Ndlambe,4815,6,1274,2755,780,Eastern Cape
EC122,Mnquma,25454,18,7135,14311,3990,Eastern Cape
EC128,Nxuba,2055,21,617,993,424,Eastern Cape
EC135,Intsika Yethu,12721,11,3921,6634,2155,Eastern Cape
EC144,Gariep,2841,2,972,1415,452,Eastern Cape
EC157,King Sabata Dalindyebo,54713,40,15773,26258,12642,Eastern Cape
NMA,Nelson Mandela Bay,108202,120,26704,58248,23130,Eastern Cape
FS164,Naledi,2445,1,869,1339,236,Free State
FS191,Setsoto,11158,6,3924,5980,1248,Free State
FS196,Mantsopa,4962,6,1855,2556,545,Free State
MAN,Mangaung,77192,97,20462,43754,12879,Free State
EKU,Ekurhuleni,282253,381,92198,135381,54293,Gauteng
GT422,Midvaal,7892,12,2224,3645,2011,Gauteng
GT484,Merafong City,16991,15,5955,7614,3407,Gauteng
JHB,City of Johannesburg,399515,753,114082,180815,103865,Gauteng
TSH,City of Tshwane,277925,501,70505,142582,64337,Gauteng
ETH,eThekwini,359752,626,102910,168470,87746,KwaZulu-Natal
KZN216,Hibiscus Coast,25669,32,8594,12084,4959,KwaZulu-Natal
KZN227,Richmond,6402,12,2381,2910,1099,KwaZulu-Natal
KZN241,Endumeni,6515,2,2363,2927,1223,KwaZulu-Natal
KZN253,Emadlangeni,3137,1,1200,1522,414,KwaZulu-Natal
KZN271,Umhlabuyalingana,17419,63,5844,8472,3040,KwaZulu-Natal
KZN282,uMhlathuze,38421,51,10815,18605,8950,KwaZulu-Natal
KZN292,KwaDukuza,23203,12,9120,10201,3870,KwaZulu-Natal
KZN433,Greater Kokstad,7152,14,2636,3100,1402,KwaZulu-Natal
LIM334,Ba-Phalaborwa,15532,33,5581,8011,1907,KwaZulu-Natal
LIM352,Aganang,13943,17,4251,8313,1362,Limpopo
LIM364,Mookgopong,2916,8,1376,1189,343,Limpopo
LIM367,Mogalakwena,32567,51,10538,18226,3752,Limpopo
LIM471,Ephraim Mogale,12550,13,4860,6362,1315,Limpopo
LIM472,Elias Motsoaledi,26649,29,8935,14608,3077,Limpopo
LIM473,Makhuduthamaga,29056,23,9004,16410,3619,Limpopo
LIM474,Fetakgomo,9885,8,2586,5771,1520,Limpopo
LIM475,Greater Tubatse,36518,47,13010,18234,5227,Limpopo
MP301,Albert Luthuli,21371,37,8026,10804,2504,Limpopo
MP302,Msukaligwa,14618,33,5682,6644,2259,Mpumalanga
MP304,Pixley Ka Seme,8189,19,2985,3888,1297,Mpumalanga
MP305,Lekwa,10403,9,3633,5127,1634,Mpumalanga
MP306,Dipaleseng,3920,9,1441,1892,578,Mpumalanga
MP307,Govan Mbeki,27219,40,9309,12367,5503,Mpumalanga
MP312,Emalahleni,36361,69,11484,18430,6378,Mpumalanga
MP313,Steve Tshwete,20146,54,6116,9390,4586,Mpumalanga
MP314,Emakhazeni,4246,2,1549,1820,875,Mpumalanga
MP315,Thembisile,32689,101,10171,18051,4366,Mpumalanga
MP316,Dr JS Moroka,25985,51,7931,14849,3154,Mpumalanga
MP321,Thaba Chweu,8549,12,2728,3757,2052,Mpumalanga
MP323,Umjindi,6261,8,2367,2790,1096,Mpumalanga
MP324,Nkomazi,47452,99,17359,20197,9797,Mpumalanga
MP325,Bushbuckridge,64591,80,24265,35122,5124,Mpumalanga
NW371,Moretele,17559,16,6570,9336,1637,Mpumalanga
NW372,Madibeng,42099,46,16483,19518,6052,North West
NW374,Kgetlengrivier,4508,9,1570,1797,1132,North West
NW375,Moses Kotane,21334,18,7575,10577,3164,North West
NW381,Ratlou,10075,11,3633,5377,1054,North West
NW382,Tswaing,11809,1,4665,5973,1170,North West
NW383,Mafikeng,30400,53,8712,17757,3878,North West
NW385,Ramotshere Moiloa,13580,6,4493,7069,2012,North West
NW392,Naledi,6016,8,2248,2577,1183,North West
NW393,Mamusa,5604,6,2233,2573,792,North West
NW394,Greater Taung,17294,16,6262,8897,2119,North West
NW397,Kagisano/Molopo,9702,11,3678,4767,1246,North West
NW401,Ventersdorp,4955,20,2136,2392,407,North West
NW402,Tlokwe City Council,17222,20,4094,9488,3620,North West
NW403,City of Matlosana,35689,29,11934,18069,5657,North West
NW404,Maquassi Hills,7221,1,2995,3238,987,North West
NC061,Richtersveld,829,0,286,424,119,North West
NC064,Kamiesberg,739,0,219,281,239,Northern Cape
NC065,Hantam,1673,1,594,908,170,Northern Cape
NC066,Karoo Hoogland,902,0,331,424,147,Northern Cape
NC067,Kh̢i-Ma,1080,0,457,435,188,Northern Cape
NC072,Umsobomvu,2421,0,843,1277,301,Northern Cape
NC073,Emthanjeni,3666,1,1296,1812,557,Northern Cape
NC074,Kareeberg,965,1,381,430,153,Northern Cape
NC075,Renosterberg,821,1,314,389,117,Northern Cape
NC076,Thembelihle,1372,2,524,622,224,Northern Cape
NC078,Siyancuma,3159,0,1149,1455,555,Northern Cape
NC081,Mier,617,0,205,290,122,Northern Cape
NC082,Kai !Garib,6617,4,2919,3043,651,Northern Cape
NC083,//Khara Hais,8550,18,2741,4470,1321,Northern Cape
NC084,!Kheis,1303,0,474,680,149,Northern Cape
NC086,Kgatelopele,1620,1,639,760,220,Northern Cape
NC091,Sol Plaatjie,22534,26,6979,11447,4082,Northern Cape
NC092,Dikgatlong,4129,10,1601,1949,569,Northern Cape
NC093,Magareng,2151,3,737,952,459,Northern Cape
NC451,Joe Morolong,8418,1,3400,4254,763,Northern Cape
NC452,Ga-Segonyana,9046,10,3237,4424,1375,Northern Cape
NC453,Gamagara,3533,4,1297,1433,799,Northern Cape
CPT,City of Cape Town,349541,476,90846,172128,86091,Northern Cape
WC011,Matzikama,6064,17,2039,2882,1126,Western Cape
WC013,Bergrivier,5563,5,1745,2228,1585,Western Cape
WC014,Saldanha Bay,8914,13,2868,4036,1997,Western Cape
WC015,Swartland,10373,5,3332,4384,2652,Western Cape
WC022,Witzenberg,10533,5,3958,4656,1914,Western Cape
WC023,Drakenstein,24055,31,6998,9564,7462,Western Cape
WC025,Breede Valley,15491,12,5281,6249,3949,Western Cape
WC026,Langeberg,8651,18,3256,3680,1697,Western Cape
WC031,Theewaterskloof,9338,8,3109,2956,3265,Western Cape
WC032,Overstrand,5935,11,1849,2568,1507,Western Cape
WC034,Swellendam,2958,0,1039,1374,545,Western Cape
WC041,Kannaland,2100,1,765,925,409,Western Cape
WC042,Hessequa,3911,2,1285,1986,638,Western Cape
WC043,Mossel Bay,7111,24,2023,2571,2493,Western Cape
