geo_code,name,total,At least one employed adult,No employed adult,province
MP324,Nkomazi,90696,44539,46157,Mpumalanga
MP325,Bushbuckridge,122688,44350,78338,Mpumalanga
NW371,Moretele,34588,17089,17499,Mpumalanga
NW372,Madibeng,85450,59893,25557,North West
NW374,Kgetlengrivier,8726,5897,2829,North West
NW375,Moses Kotane,41989,21824,20165,North West
NW381,Ratlou,19183,4846,14337,North West
NW382,Tswaing,22920,10807,12113,North West
NW383,Mafikeng,57486,30243,27243,North West
NW385,Ramotshere Moiloa,25725,9904,15821,North West
NW392,Naledi,11692,7816,3876,North West
NW393,Mamusa,10999,5691,5308,North West
NW394,Greater Taung,32668,9158,23510,North West
NW397,Kagisano/Molopo,18292,5909,12383,North West
NW401,Ventersdorp,9771,5593,4178,North West
NW402,Tlokwe City Council,32651,21175,11476,North West
NW403,City of Matlosana,70032,46760,23272,North West
NW404,Maquassi Hills,13995,7372,6623,North West
NC061,Richtersveld,1711,1500,211,North West
NC064,Kamiesberg,1296,780,516,Northern Cape
NC065,Hantam,3291,2570,721,Northern Cape
NC066,Karoo Hoogland,1594,1199,395,Northern Cape
NC067,Kh̢i-Ma,2149,1697,452,Northern Cape
NC072,Umsobomvu,4735,2672,2063,Northern Cape
NC073,Emthanjeni,6988,4719,2269,Northern Cape
NC074,Kareeberg,1728,1155,573,Northern Cape
NC075,Renosterberg,1697,1035,662,Northern Cape
NC076,Thembelihle,2670,1888,782,Northern Cape
NC078,Siyancuma,6116,3788,2328,Northern Cape
NC081,Mier,1119,606,513,Northern Cape
NC082,Kai !Garib,13946,11517,2429,Northern Cape
NC083,//Khara Hais,16570,11944,4626,Northern Cape
NC084,!Kheis,2460,1658,802,Northern Cape
NC086,Kgatelopele,3291,2304,987,Northern Cape
NC091,Sol Plaatjie,43431,28671,14760,Northern Cape
NC092,Dikgatlong,8098,4017,4081,Northern Cape
NC093,Magareng,4342,1906,2436,Northern Cape
NC451,Joe Morolong,15829,3916,11913,Northern Cape
NC452,Ga-Segonyana,17690,9744,7946,Northern Cape
NC453,Gamagara,7125,5797,1328,Northern Cape
CPT,City of Cape Town,660413,518641,141772,Northern Cape
WC011,Matzikama,11276,9478,1798,Western Cape
WC013,Bergrivier,9482,8700,782,Western Cape
WC014,Saldanha Bay,17030,14043,2987,Western Cape
WC015,Swartland,17971,15820,2151,Western Cape
WC022,Witzenberg,21328,19254,2074,Western Cape
WC023,Drakenstein,44966,37226,7740,Western Cape
WC025,Breede Valley,28959,24042,4917,Western Cape
WC026,Langeberg,16872,14283,2589,Western Cape
WC031,Theewaterskloof,18566,16010,2556,Western Cape
WC032,Overstrand,11421,9006,2415,Western Cape
WC034,Swellendam,5850,4962,888,Western Cape
WC041,Kannaland,4035,2982,1053,Western Cape
WC042,Hessequa,7581,6492,1089,Western Cape
WC043,Mossel Bay,13684,9882,3802,Western Cape
