geo_code,name,total,Do not know,Do not know-Female,Do not know-Male,Formal sector,Formal sector-Female,Formal sector-Male,Informal sector,Informal sector-Female,Informal sector-Male,Private household,Private household-Female,Private household-Male,province
EC106,Sundays River Valley,2700,107,39,68,2000,672,1328,381,115,266,212,66,146,Eastern Cape
EC107,Baviaans,588,17,5,12,331,122,209,121,26,95,119,38,81,Eastern Cape
EC108,Kouga,4605,68,26,42,2992,1308,1684,1190,415,775,355,137,218,Eastern Cape
EC109,Kou-Kamma,2875,34,5,29,1961,717,1244,695,272,423,185,62,123,Eastern Cape
EC121,Mbhashe,2819,35,14,21,1867,917,950,618,253,365,299,147,152,Eastern Cape
EC123,Great Kei,813,52,16,36,490,178,312,125,45,80,146,38,108,Eastern Cape
EC124,Amahlathi,1898,37,10,27,1176,430,746,459,157,302,226,77,149,Eastern Cape
EC126,Ngqushwa,590,22,11,11,371,165,206,133,53,80,64,19,45,Eastern Cape
EC127,Nkonkobe,1425,38,12,26,1027,474,553,217,85,132,143,56,87,Eastern Cape
EC131,Inxuba Yethemba,2339,37,17,20,1766,651,1115,332,105,227,204,59,145,Eastern Cape
EC132,Tsolwana,584,13,2,11,369,133,236,71,18,53,131,42,89,Eastern Cape
EC133,Inkwanca,607,20,0,20,437,150,287,66,12,54,84,25,59,Eastern Cape
EC134,Lukanji,3580,94,34,60,2364,1078,1286,586,239,347,536,221,315,Eastern Cape
EC136,Emalahleni,1294,30,9,21,916,389,527,209,78,131,139,46,93,Eastern Cape
EC137,Engcobo,1866,43,20,23,1339,648,691,309,143,166,175,99,76,Eastern Cape
EC138,Sakhisizwe,1221,31,8,23,775,328,447,310,107,203,105,36,69,Eastern Cape
EC141,Elundini,2106,51,12,39,1398,570,828,508,156,352,149,49,100,Eastern Cape
EC142,Senqu,2650,62,14,48,1468,695,773,736,241,495,384,153,231,Eastern Cape
EC143,Maletswai,1241,56,16,40,760,307,453,228,71,157,197,72,125,Eastern Cape
EC153,Ngquza Hill,2818,73,35,38,1990,942,1048,458,222,236,297,136,161,Eastern Cape
EC154,Port St Johns,1265,18,9,9,1036,525,511,124,37,87,87,49,38,Eastern Cape
EC155,Nyandeni,3431,57,22,35,2579,1217,1362,458,183,275,337,165,172,Eastern Cape
EC156,Mhlontlo,2275,30,14,16,1696,809,887,319,126,193,230,120,110,Eastern Cape
EC441,Matatiele,3903,94,38,56,2383,1131,1252,941,373,568,485,219,266,Eastern Cape
EC442,Umzimvubu,3011,80,40,40,2113,1057,1056,524,216,308,294,144,150,Eastern Cape
EC443,Mbizana,3223,62,24,38,2180,1110,1070,545,231,314,436,223,213,Eastern Cape
EC444,Ntabankulu,1158,25,11,14,907,461,446,139,50,89,87,48,39,Free State
FS161,Letsemeng,1494,43,15,28,808,286,522,530,120,410,113,38,75,Free State
FS162,Kopanong,1656,21,5,16,848,297,551,534,126,408,253,91,162,Free State
FS163,Mohokare,1070,22,6,16,558,201,357,284,67,217,206,54,152,Free State
FS181,Masilonyana,1415,82,25,57,848,295,553,212,60,152,273,51,222,Free State
FS182,Tokologo,1001,22,3,19,571,161,410,164,28,136,244,77,167,Free State
FS183,Tswelopele,1358,38,13,25,920,279,641,176,39,137,224,52,172,Free State
FS184,Matjhabeng,10445,305,98,207,7755,3177,4578,1318,428,890,1067,346,721,Free State
FS185,Nala,1927,57,18,39,1236,454,782,424,98,326,210,53,157,Free State
FS192,Dihlabeng,3730,81,26,55,2785,1043,1742,451,166,285,413,142,271,Free State
FS193,Nketoana,1666,20,2,18,1192,356,836,299,92,207,155,53,102,Free State
FS194,Maluti a Phofung,6033,209,82,127,4026,1844,2182,1185,426,759,613,225,388,Free State
FS195,Phumelela,1523,40,14,26,1168,287,881,210,42,168,105,39,66,Free State
FS201,Moqhaka,3936,86,32,54,2503,922,1581,824,192,632,523,151,372,Free State
FS203,Ngwathe,3154,79,34,45,2137,891,1246,624,161,463,314,94,220,Free State
FS204,Metsimaholo,5106,160,55,105,3966,1355,2611,493,147,346,487,171,316,Free State
FS205,Mafube,1396,53,12,41,823,258,565,349,68,281,171,41,130,Gauteng
GT421,Emfuleni,22778,541,205,336,17703,7485,10218,2403,841,1562,2131,817,1314,Gauteng
GT423,Lesedi,4021,176,65,111,2933,1085,1848,513,147,366,399,119,280,Gauteng
GT481,Mogale City,15985,518,199,319,11571,4855,6716,1886,676,1210,2010,758,1252,Gauteng
GT482,Randfontein,6063,196,75,121,4689,1942,2747,623,205,418,555,186,369,Gauteng
GT483,Westonaria,4609,112,28,84,3472,1114,2358,621,150,471,404,108,296,KwaZulu-Natal
KZN211,Vulamehlo,885,16,10,6,619,306,313,167,45,122,83,34,49,KwaZulu-Natal
KZN212,Umdoni,2296,65,28,37,1660,760,900,369,137,232,202,88,114,KwaZulu-Natal
KZN213,Umzumbe,1686,18,6,12,1150,574,576,371,156,215,147,77,70,KwaZulu-Natal
KZN214,UMuziwabantu,1752,39,12,27,1306,585,721,302,96,206,105,38,67,KwaZulu-Natal
KZN215,Ezingoleni,784,23,10,13,529,245,284,124,51,73,108,52,56,KwaZulu-Natal
KZN221,uMshwathi,3798,233,105,128,2460,1196,1264,796,326,470,309,137,172,KwaZulu-Natal
KZN222,uMngeni,4213,138,51,87,3219,1447,1772,486,197,289,370,170,200,KwaZulu-Natal
KZN223,Mpofana,1683,89,43,46,1067,485,582,411,139,272,116,36,80,KwaZulu-Natal
KZN224,Impendle,342,21,5,16,258,115,143,46,19,27,17,8,9,KwaZulu-Natal
KZN225,The Msunduzi,18982,524,223,301,14390,6807,7583,2308,921,1387,1760,902,858,KwaZulu-Natal
KZN226,Mkhambathini,2190,91,31,60,1452,630,822,472,206,266,175,72,103,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,5979,135,51,84,4575,2111,2464,844,350,494,425,196,229,KwaZulu-Natal
KZN233,Indaka,700,7,1,6,591,328,263,81,36,45,21,9,12,KwaZulu-Natal
KZN234,Umtshezi,1620,59,27,32,1216,543,673,256,103,153,89,38,51,KwaZulu-Natal
KZN235,Okhahlamba,1909,48,23,25,1323,585,738,394,131,263,144,37,107,KwaZulu-Natal
KZN236,Imbabazane,1611,52,17,35,1285,591,694,192,74,118,82,35,47,KwaZulu-Natal
KZN242,Nqutu,1789,19,6,13,1227,630,597,214,86,128,329,201,128,KwaZulu-Natal
KZN244,Msinga,1389,11,6,5,1165,659,506,152,81,71,61,28,33,KwaZulu-Natal
KZN245,Umvoti,2779,96,52,44,1636,843,793,815,414,401,232,118,114,KwaZulu-Natal
KZN252,Newcastle,7587,289,111,178,5633,2549,3084,1103,452,651,562,241,321,KwaZulu-Natal
KZN254,Dannhauser,1542,59,28,31,961,442,519,336,125,211,186,37,149,KwaZulu-Natal
KZN261,eDumbe,1698,46,18,28,1038,452,586,491,126,365,123,41,82,KwaZulu-Natal
KZN262,UPhongolo,3097,251,116,135,1835,818,1017,772,311,461,239,119,120,KwaZulu-Natal
KZN263,Abaqulusi,3863,78,38,40,2942,1358,1584,578,189,389,265,135,130,KwaZulu-Natal
KZN265,Nongoma,2204,19,11,8,1831,1018,813,241,105,136,113,75,38,KwaZulu-Natal
KZN266,Ulundi,2032,25,10,15,1574,832,742,257,122,135,176,98,78,KwaZulu-Natal
KZN272,Jozini,2672,58,25,33,2103,1124,979,332,161,171,179,81,98,KwaZulu-Natal
KZN273,The Big 5 False Bay,897,34,16,18,595,298,297,129,60,69,139,71,68,KwaZulu-Natal
KZN274,Hlabisa,895,21,9,12,706,383,323,110,50,60,58,25,33,KwaZulu-Natal
KZN275,Mtubatuba,3531,181,73,108,2331,1201,1130,632,278,354,387,225,162,KwaZulu-Natal
KZN281,Mfolozi,2325,51,22,29,1745,735,1010,413,147,266,116,56,60,KwaZulu-Natal
KZN283,Ntambanana,1054,21,11,10,857,433,424,134,48,86,42,18,24,KwaZulu-Natal
KZN284,uMlalazi,3844,207,76,131,2764,1332,1432,531,233,298,342,158,184,KwaZulu-Natal
KZN285,Mthonjaneni,1361,64,38,26,1091,549,542,134,56,78,72,37,35,KwaZulu-Natal
KZN286,Nkandla,1077,23,11,12,918,498,420,111,54,57,25,15,10,KwaZulu-Natal
KZN291,Mandeni,4864,88,40,48,3881,1785,2096,634,288,346,261,137,124,KwaZulu-Natal
KZN293,Ndwedwe,1802,35,10,25,1145,562,583,534,175,359,88,45,43,KwaZulu-Natal
KZN294,Maphumulo,1113,6,2,4,955,493,462,122,59,63,30,22,8,KwaZulu-Natal
KZN431,Ingwe,1567,95,29,66,979,434,545,356,114,242,137,45,92,KwaZulu-Natal
KZN432,Kwa Sani,902,116,26,90,570,226,344,132,38,94,84,34,50,KwaZulu-Natal
KZN434,Ubuhlebezwe,1886,67,17,50,1404,619,785,323,119,204,92,39,53,KwaZulu-Natal
KZN435,Umzimkhulu,2161,50,25,25,1655,847,808,302,112,190,154,77,77,Limpopo
LIM331,Greater Giyani,2665,44,26,18,1942,944,998,416,141,275,263,91,172,Limpopo
LIM332,Greater Letaba,4015,116,30,86,2372,856,1516,1185,350,835,342,84,258,Limpopo
LIM333,Greater Tzaneen,7792,208,81,127,4879,1934,2945,1550,452,1098,1155,322,833,Limpopo
LIM335,Maruleng,1529,38,8,30,930,410,520,362,119,243,199,49,150,Limpopo
LIM341,Musina,4961,157,67,90,2874,1152,1722,1340,459,881,590,233,357,Limpopo
LIM342,Mutale,965,5,2,3,589,234,355,193,49,144,178,22,156,Limpopo
LIM343,Thulamela,7159,93,23,70,3958,1725,2233,1935,459,1476,1173,284,889,Limpopo
LIM344,Makhado,8197,158,59,99,4665,1971,2694,1985,516,1469,1389,374,1015,Limpopo
LIM351,Blouberg,2398,37,14,23,1142,473,669,732,249,483,487,145,342,Limpopo
LIM353,Molemole,1943,23,6,17,990,403,587,444,142,302,486,129,357,Limpopo
LIM354,Polokwane,17100,411,129,282,11988,4982,7006,2498,770,1728,2203,794,1409,Limpopo
LIM355,Lepele-Nkumpi,2491,40,17,23,1675,728,947,499,154,345,277,120,157,Limpopo
LIM361,Thabazimbi,4488,166,39,127,3105,934,2171,630,168,462,587,146,441,Limpopo
LIM362,Lephalale,5736,105,36,69,3894,1189,2705,881,258,623,856,291,565,Limpopo
LIM365,Modimolle,2867,91,29,62,1989,744,1245,463,130,333,324,100,224,Limpopo
LIM366,Bela-Bela,2632,108,43,65,1590,617,973,544,166,378,390,102,288,Eastern Cape
BUF,Buffalo City,18708,471,214,257,13706,6692,7014,2462,1079,1383,2069,1048,1021,Eastern Cape
EC101,Camdeboo,1755,62,14,48,1159,446,713,407,99,308,127,77,50,Eastern Cape
EC105,Ndlambe,1698,56,17,39,1161,506,655,269,101,168,212,94,118,Eastern Cape
EC122,Mnquma,2706,33,12,21,1758,839,919,532,216,316,383,182,201,Eastern Cape
EC128,Nxuba,508,1,0,1,307,115,192,126,26,100,74,14,60,Eastern Cape
EC135,Intsika Yethu,1494,47,17,30,922,378,544,320,117,203,205,99,106,Eastern Cape
EC144,Gariep,1244,16,6,10,702,260,442,313,93,220,213,44,169,Eastern Cape
EC157,King Sabata Dalindyebo,8135,148,69,79,5417,2759,2658,1359,642,717,1211,758,453,Eastern Cape
NMA,Nelson Mandela Bay,30783,909,380,529,24428,11366,13062,3031,1171,1860,2415,1072,1343,Eastern Cape
FS164,Naledi,608,6,2,4,345,174,171,114,32,82,143,38,105,Free State
FS191,Setsoto,2447,88,30,58,1564,593,971,370,100,270,425,152,273,Free State
FS196,Mantsopa,1533,55,21,34,959,353,606,324,112,212,195,65,130,Free State
MAN,Mangaung,25022,839,340,499,17092,7455,9637,3648,1308,2340,3443,1304,2139,Free State
EKU,Ekurhuleni,134583,4019,1536,2483,106734,44122,62612,12625,4074,8551,11205,4536,6669,Gauteng
GT422,Midvaal,4866,197,78,119,3383,1356,2027,500,170,330,786,218,568,Gauteng
GT484,Merafong City,7062,135,38,97,5509,1956,3553,804,216,588,614,203,411,Gauteng
JHB,City of Johannesburg,209263,5582,2151,3431,164014,73876,90138,18599,6570,12029,21068,9450,11618,Gauteng
TSH,City of Tshwane,124168,3683,1532,2151,93810,42591,51219,13630,4909,8721,13045,5703,7342,Gauteng
ETH,eThekwini,139920,3894,1533,2361,113882,51726,62156,12146,4667,7479,9998,4881,5117,KwaZulu-Natal
KZN216,Hibiscus Coast,8279,173,79,94,5980,2819,3161,1330,558,772,796,416,380,KwaZulu-Natal
KZN227,Richmond,2222,90,36,54,1402,616,786,580,179,401,150,52,98,KwaZulu-Natal
KZN241,Endumeni,2074,38,11,27,1577,630,947,228,63,165,231,94,137,KwaZulu-Natal
KZN253,Emadlangeni,810,8,2,6,436,217,219,309,74,235,57,8,49,KwaZulu-Natal
KZN271,Umhlabuyalingana,1702,43,23,20,1272,677,595,270,120,150,117,54,63,KwaZulu-Natal
KZN282,uMhlathuze,11114,224,94,130,8613,3929,4684,1357,534,823,920,524,396,KwaZulu-Natal
KZN292,KwaDukuza,11322,217,83,134,7589,3143,4446,2552,877,1675,964,447,517,KwaZulu-Natal
KZN433,Greater Kokstad,2784,41,11,30,1927,846,1081,466,186,280,350,148,202,KwaZulu-Natal
LIM334,Ba-Phalaborwa,3074,75,23,52,2270,912,1358,388,114,274,341,122,219,KwaZulu-Natal
LIM352,Aganang,1101,30,8,22,685,314,371,231,67,164,155,50,105,Limpopo
LIM364,Mookgopong,2009,77,27,50,889,345,544,601,196,405,442,124,318,Limpopo
LIM367,Mogalakwena,4946,86,19,67,3473,1435,2038,861,236,625,526,186,340,Limpopo
LIM471,Ephraim Mogale,2879,69,27,42,1922,733,1189,493,146,347,395,124,271,Limpopo
LIM472,Elias Motsoaledi,4235,104,37,67,2768,1138,1630,857,283,574,506,166,340,Limpopo
LIM473,Makhuduthamaga,1984,43,15,28,1362,651,711,425,107,318,154,54,100,Limpopo
LIM474,Fetakgomo,746,8,0,8,524,219,305,156,37,119,58,19,39,Limpopo
LIM475,Greater Tubatse,5414,130,43,87,3772,1388,2384,1032,278,754,480,145,335,Limpopo
MP301,Albert Luthuli,4141,145,41,104,2816,1197,1619,879,305,574,301,115,186,Limpopo
MP302,Msukaligwa,6126,152,45,107,4258,1666,2592,1173,339,834,543,171,372,Mpumalanga
MP304,Pixley Ka Seme,1801,21,9,12,1294,521,773,332,62,270,154,55,99,Mpumalanga
MP305,Lekwa,4358,115,36,79,3098,1144,1954,823,160,663,322,120,202,Mpumalanga
MP306,Dipaleseng,1365,13,5,8,1071,325,746,157,34,123,124,40,84,Mpumalanga
MP307,Govan Mbeki,13214,405,139,266,10367,3676,6691,1265,351,914,1177,380,797,Mpumalanga
MP312,Emalahleni,17431,430,122,308,13428,4852,8576,2030,517,1513,1543,468,1075,Mpumalanga
MP313,Steve Tshwete,11390,368,113,255,8365,3030,5335,1460,382,1078,1197,416,781,Mpumalanga
MP314,Emakhazeni,1831,39,18,21,1096,376,720,423,120,303,273,78,195,Mpumalanga
MP315,Thembisile,6235,145,43,102,3642,1602,2040,1594,517,1077,854,322,532,Mpumalanga
MP316,Dr JS Moroka,2946,60,13,47,1728,762,966,779,239,540,379,108,271,Mpumalanga
MP321,Thaba Chweu,4823,199,66,133,3282,1288,1994,714,190,524,628,181,447,Mpumalanga
MP323,Umjindi,2576,60,23,37,1611,689,922,495,158,337,410,119,291,Mpumalanga
MP324,Nkomazi,11591,279,66,213,7090,2982,4108,3273,941,2332,949,317,632,Mpumalanga
MP325,Bushbuckridge,6156,62,13,49,4089,1902,2187,1230,430,800,775,271,504,Mpumalanga
NW371,Moretele,3172,79,17,62,2072,817,1255,607,168,439,414,120,294,Mpumalanga
NW372,Madibeng,19738,581,178,403,13287,4356,8931,3221,840,2381,2649,725,1924,North West
NW374,Kgetlengrivier,2241,74,18,56,1137,368,769,643,139,504,387,70,317,North West
NW375,Moses Kotane,5238,67,16,51,3891,1383,2508,815,270,545,465,119,346,North West
NW381,Ratlou,1297,39,10,29,695,262,433,261,74,187,302,61,241,North West
NW382,Tswaing,2647,33,8,25,1525,480,1045,654,118,536,435,86,349,North West
NW383,Mafikeng,5812,100,26,74,3700,1695,2005,1211,374,837,801,276,525,North West
NW385,Ramotshere Moiloa,2616,59,15,44,1702,569,1133,421,88,333,434,116,318,North West
NW392,Naledi,2306,74,22,52,1253,494,759,453,138,315,526,115,411,North West
NW393,Mamusa,1430,51,14,37,824,317,507,312,50,262,243,67,176,North West
NW394,Greater Taung,1790,41,7,34,1183,531,652,357,82,275,209,55,154,North West
NW397,Kagisano/Molopo,2132,72,8,64,915,331,584,742,141,601,403,95,308,North West
NW401,Ventersdorp,1744,47,11,36,884,273,611,578,121,457,235,58,177,North West
NW402,Tlokwe City Council,6618,226,99,127,4296,1931,2365,1240,412,828,856,271,585,North West
NW403,City of Matlosana,12123,290,97,193,9072,3613,5459,1516,425,1091,1245,399,846,North West
NW404,Maquassi Hills,2098,62,15,47,1214,388,826,547,80,467,275,76,199,North West
NC061,Richtersveld,621,17,9,8,524,225,299,72,36,36,8,2,6,North West
NC064,Kamiesberg,265,0,0,0,215,84,131,38,12,26,12,4,8,Northern Cape
NC065,Hantam,928,25,10,15,587,227,360,190,47,143,126,41,85,Northern Cape
NC066,Karoo Hoogland,470,10,5,5,332,100,232,103,35,68,25,14,11,Northern Cape
NC067,Kh̢i-Ma,994,5,3,2,809,337,472,130,50,80,50,21,29,Northern Cape
NC072,Umsobomvu,841,30,14,16,568,232,336,158,43,115,85,31,54,Northern Cape
NC073,Emthanjeni,1265,23,8,15,785,334,451,299,95,204,158,75,83,Northern Cape
NC074,Kareeberg,407,19,7,12,266,107,159,86,16,70,36,13,23,Northern Cape
NC075,Renosterberg,453,6,1,5,264,122,142,170,61,109,13,5,8,Northern Cape
NC076,Thembelihle,638,34,13,21,438,160,278,130,38,92,36,18,18,Northern Cape
NC078,Siyancuma,1166,66,10,56,665,233,432,251,58,193,184,50,134,Northern Cape
NC081,Mier,257,0,0,0,188,79,109,56,16,40,13,6,7,Northern Cape
NC082,Kai !Garib,8025,158,81,77,5726,2495,3231,1293,454,839,848,348,500,Northern Cape
NC083,//Khara Hais,3459,94,39,55,2423,1033,1390,672,235,437,270,93,177,Northern Cape
NC084,!Kheis,639,6,0,6,495,180,315,123,33,90,15,5,10,Northern Cape
NC086,Kgatelopele,750,20,6,14,600,178,422,75,22,53,55,23,32,Northern Cape
NC091,Sol Plaatjie,7197,117,63,54,5379,2537,2842,923,287,636,778,340,438,Northern Cape
NC092,Dikgatlong,970,52,8,44,644,218,426,171,47,124,103,19,84,Northern Cape
NC093,Magareng,420,11,4,7,333,127,206,43,13,30,33,10,23,Northern Cape
NC451,Joe Morolong,980,32,12,20,610,242,368,180,41,139,158,41,117,Northern Cape
NC452,Ga-Segonyana,2064,81,19,62,1531,557,974,212,59,153,240,83,157,Northern Cape
NC453,Gamagara,2439,64,20,44,1983,628,1355,255,57,198,137,59,78,Northern Cape
CPT,City of Cape Town,165247,4216,1837,2379,133883,63821,70062,16494,6532,9962,10654,4791,5863,Northern Cape
WC011,Matzikama,3895,27,17,10,3282,1358,1924,515,179,336,71,46,25,Western Cape
WC013,Bergrivier,4175,62,18,44,3655,1715,1940,312,127,185,146,73,73,Western Cape
WC014,Saldanha Bay,5227,161,69,92,4318,2043,2275,492,185,307,256,96,160,Western Cape
WC015,Swartland,6765,140,55,85,5826,2475,3351,565,214,351,234,125,109,Western Cape
WC022,Witzenberg,9654,97,35,62,8165,3390,4775,1168,491,677,224,95,129,Western Cape
WC023,Drakenstein,13138,215,101,114,10628,4909,5719,1744,772,972,551,214,337,Western Cape
WC025,Breede Valley,9512,206,124,82,7166,3595,3571,1850,856,994,290,126,164,Western Cape
WC026,Langeberg,6305,92,43,49,3762,1614,2148,2226,952,1274,225,84,141,Western Cape
WC031,Theewaterskloof,6566,181,72,109,5075,2161,2914,1174,401,773,136,46,90,Western Cape
WC032,Overstrand,3589,101,43,58,2530,1253,1277,634,217,417,324,132,192,Western Cape
WC034,Swellendam,2032,61,13,48,1609,595,1014,278,87,191,84,42,42,Western Cape
WC041,Kannaland,1131,57,26,31,664,252,412,365,130,235,45,16,29,Western Cape
WC042,Hessequa,2472,146,49,97,1574,654,920,583,189,394,169,89,80,Western Cape
WC043,Mossel Bay,3555,191,86,105,2606,1234,1372,575,229,346,183,74,109,Western Cape
