geo_code,name,total,Income-poor,Income-poor-0-14,Income-poor-15-24,Income-poor-25-34,Income-poor-35-44,Income-poor-45-54,Income-poor-55-64,Income-poor-65+,Non-poor,Non-poor-0-14,Non-poor-15-24,Non-poor-25-34,Non-poor-35-44,Non-poor-45-54,Non-poor-55-64,Non-poor-65+,province
KZN252,Newcastle,308791,207639,79662,46626,28685,18094,14253,11412,8907,101152,24790,18357,17479,14060,11525,8323,6618,KwaZulu-Natal
KZN254,Dannhauser,89157,73473,29988,16811,8752,5257,4747,4155,3763,15684,4020,2847,2349,1838,1675,1467,1488,KwaZulu-Natal
KZN261,eDumbe,72638,61596,26506,13784,7041,4509,3967,2858,2931,11042,2833,1942,2002,1338,1151,745,1031,KwaZulu-Natal
KZN262,UPhongolo,110360,89493,39088,20819,10241,6231,5132,3849,4133,20867,5011,4119,4545,2919,1875,1149,1249,KwaZulu-Natal
KZN263,Abaqulusi,178307,135617,56779,30567,16369,10159,8657,6799,6287,42690,10630,7433,7734,5816,4665,3312,3100,KwaZulu-Natal
KZN265,Nongoma,170078,146087,63647,34837,15168,9364,8695,6938,7438,23991,7373,4773,3596,2723,2013,1643,1870,KwaZulu-Natal
KZN266,Ulundi,163379,131715,56720,29791,14646,8923,8437,6560,6638,31664,9074,6028,5078,3993,3416,2076,1999,KwaZulu-Natal
KZN272,Jozini,161528,136437,60749,31870,15208,10075,7967,4974,5594,25091,7367,4822,4485,3326,2206,1240,1645,KwaZulu-Natal
KZN273,The Big 5 False Bay,29466,23821,10257,5621,2835,1737,1328,949,1094,5645,1319,989,1361,876,512,282,306,KwaZulu-Natal
KZN274,Hlabisa,63048,53285,22969,12632,5520,3627,3303,2500,2734,9763,2954,1928,1488,1105,883,680,725,KwaZulu-Natal
KZN275,Mtubatuba,147745,116067,49478,26941,14081,8359,7055,4692,5461,31678,9114,6144,5716,4126,2801,1859,1918,KwaZulu-Natal
KZN281,Mfolozi,108022,83457,32971,19227,11414,6465,5706,3692,3982,24565,6471,4625,5280,3120,2206,1391,1472,KwaZulu-Natal
KZN283,Ntambanana,65989,56465,23065,13344,6511,3974,4053,2601,2917,9524,2687,1849,1567,1054,844,692,831,KwaZulu-Natal
KZN284,uMlalazi,183898,143330,58465,32986,15610,10465,9371,8181,8252,40568,10078,7140,6801,5562,4319,3266,3402,KwaZulu-Natal
KZN285,Mthonjaneni,42141,32195,14144,6983,3555,2290,2103,1526,1594,9946,2238,1825,2096,1431,1084,632,640,KwaZulu-Natal
KZN286,Nkandla,102509,87726,37606,19600,8538,5881,5680,5025,5396,14783,3991,2619,2150,1630,1394,1352,1647,KwaZulu-Natal
KZN291,Mandeni,122104,86213,33405,19425,12154,7644,5910,4114,3561,35891,8119,6909,7942,5466,3535,2131,1789,KwaZulu-Natal
KZN293,Ndwedwe,124515,103146,41401,22809,11460,7866,7394,6133,6083,21369,5235,4011,3314,2394,2133,1982,2300,KwaZulu-Natal
KZN294,Maphumulo,86855,73894,31996,16319,6656,4967,4811,4391,4754,12961,3689,2393,1567,1293,1110,1283,1626,KwaZulu-Natal
KZN431,Ingwe,90374,74850,32675,16104,7900,5614,4859,4097,3601,15524,3984,2609,2524,2017,1516,1357,1517,KwaZulu-Natal
KZN432,Kwa Sani,10889,5822,2290,1216,841,551,413,291,220,5067,621,788,1368,964,576,415,335,KwaZulu-Natal
KZN434,Ubuhlebezwe,88231,71743,29657,15568,7735,5608,5136,4270,3769,16488,4017,2866,2838,2148,1714,1336,1569,KwaZulu-Natal
KZN435,Umzimkhulu,161658,137151,61297,30319,13607,9458,8330,6776,7364,24507,6785,4450,3344,2927,2319,1974,2708,Limpopo
LIM331,Greater Giyani,218995,175178,71027,41624,21608,13649,10538,6889,9843,43817,12091,8056,6014,5781,4708,2858,4309,Limpopo
LIM332,Greater Letaba,192952,155370,60680,37473,17888,12302,9596,7081,10350,37582,8422,6487,5936,5379,3947,2785,4626,Limpopo
LIM333,Greater Tzaneen,353503,254071,94692,58029,35065,23860,17159,11567,13699,99432,21674,15461,17348,15896,12505,7743,8805,Limpopo
LIM335,Maruleng,82828,65533,26178,15218,8500,5430,4004,2782,3421,17295,3586,2566,3121,2977,2172,1324,1549,Limpopo
LIM341,Musina,53800,29528,10669,6642,5902,3260,1499,801,755,24272,4102,4311,6973,4496,2277,1163,950,Limpopo
LIM342,Mutale,83019,65841,27979,14886,7671,5286,3742,2444,3833,17178,4679,3031,2122,2211,1878,1075,2182,Limpopo
LIM343,Thulamela,562652,429995,166935,101253,54971,36620,26945,18024,25247,132657,35506,25506,18112,17405,14544,8709,12875,Limpopo
LIM344,Makhado,466483,344271,136575,76426,41463,28824,21358,15317,24308,122212,30654,20522,17874,17199,14271,8389,13303,Limpopo
LIM351,Blouberg,146275,121894,53275,27796,10915,8180,7124,5841,8763,24381,5467,3937,3741,3358,2474,2014,3390,Limpopo
LIM353,Molemole,96638,72281,29927,15840,7538,5360,4367,3743,5506,24357,5548,3940,3745,3414,2771,1985,2954,Limpopo
LIM354,Polokwane,549067,311225,116613,71141,42589,29297,20094,14299,17192,237842,52831,42771,49526,37666,26235,14684,14129,Limpopo
LIM355,Lepele-Nkumpi,206419,154598,63349,33674,16302,11902,9467,7929,11975,51821,12729,8193,7318,6863,6271,4196,6251,Limpopo
LIM361,Thabazimbi,61912,18807,6130,3711,3635,2476,1528,800,527,43105,7082,6770,12497,7979,5343,2272,1162,Limpopo
LIM362,Lephalale,92883,46400,18431,10732,6083,3866,2821,2014,2453,46483,7872,8876,12528,7213,5226,2728,2040,Limpopo
LIM365,Modimolle,57875,34116,12986,7242,5399,3896,2253,1241,1099,23759,4363,3771,5138,3852,2681,1814,2140,Limpopo
LIM366,Bela-Bela,54182,28711,10154,6202,4510,3174,2178,1275,1218,25471,4402,3749,5465,4273,3225,2097,2260,Eastern Cape
BUF,Buffalo City,637224,354338,119277,70247,49712,39635,33081,21664,20722,282886,62888,45065,51791,42948,36241,23724,20229,Eastern Cape
EC101,Camdeboo,42600,26205,9562,5005,3370,2936,2444,1591,1297,16395,3443,2395,2454,2435,2134,1717,1817,Eastern Cape
EC105,Ndlambe,53277,32994,10828,6007,4634,4220,3316,2066,1923,20283,3670,2372,3157,2985,2539,2403,3157,Eastern Cape
EC122,Mnquma,226839,178620,72104,36779,14723,12389,14369,12931,15325,48219,11328,7521,6074,5822,5255,4919,7300,Eastern Cape
EC128,Nxuba,21850,15825,5612,2814,1888,1739,1526,1081,1165,6025,1197,740,903,752,848,742,843,Eastern Cape
EC135,Intsika Yethu,131498,108903,45644,20942,8352,7082,8597,8319,9967,22595,5085,2925,2528,2470,2338,2638,4611,Eastern Cape
EC144,Gariep,31111,20829,8201,4025,2745,2067,1664,1170,957,10282,2036,1343,1603,1485,1459,1195,1161,Eastern Cape
EC157,King Sabata Dalindyebo,384083,287147,118125,67035,30856,21316,18514,15040,16261,96936,25460,19164,16779,13635,9869,6103,5926,Eastern Cape
NMA,Nelson Mandela Bay,995820,519233,168246,103506,77841,62041,51382,32985,23232,476587,98813,76211,83245,72734,61266,44977,39341,Eastern Cape
FS164,Naledi,21708,15520,5968,3254,2014,1542,1036,883,823,6188,1345,912,1016,828,685,639,763,Free State
FS191,Setsoto,101481,74258,28286,15272,10748,7171,5304,4005,3472,27223,5908,3815,4610,4029,3443,2661,2757,Free State
FS196,Mantsopa,46809,31564,12008,6580,4345,3128,2375,1723,1405,15245,3339,2290,2787,2208,1877,1506,1238,Free State
MAN,Mangaung,652360,330084,116433,70684,47393,35751,27175,17541,15107,322276,70285,59172,62279,48980,36058,24311,21191,Free State
EKU,Ekurhuleni,2577942,1000203,335652,203426,181086,122851,79759,45774,31655,1577739,327878,257229,380197,266916,171354,103115,71050,Gauteng
GT422,Midvaal,76614,25112,8616,4675,4268,3382,2041,1255,875,51502,9704,7836,9815,8520,6817,4833,3977,Gauteng
GT484,Merafong City,159607,65172,23443,13449,10476,7322,5634,2928,1920,94435,18549,14343,21361,17181,13606,5621,3774,Gauteng
JHB,City of Johannesburg,3420310,1165157,377690,232585,222664,146261,92147,54197,39613,2255153,460848,364522,578807,382262,230039,138980,99695,Gauteng
TSH,City of Tshwane,2330273,794183,264536,163528,139498,95023,61712,38797,31089,1536090,314232,256421,348618,258458,174654,103335,80372,Gauteng
ETH,eThekwini,2852076,1343832,454505,306635,228869,139986,99240,66416,48181,1508244,302740,277188,312071,226031,173619,120891,95704,KwaZulu-Natal
KZN216,Hibiscus Coast,220203,127167,45786,28542,19414,11868,9199,6250,6108,93036,19113,15063,17004,13088,10051,8417,10300,KwaZulu-Natal
KZN227,Richmond,56503,42674,16565,9232,5672,4029,2948,2296,1932,13829,2832,2311,2908,2170,1405,1099,1104,KwaZulu-Natal
KZN241,Endumeni,55796,31661,12319,7223,4451,2874,2156,1461,1177,24135,5670,4168,4250,3381,2917,1995,1754,KwaZulu-Natal
KZN253,Emadlangeni,28998,23581,9712,5050,2943,2105,1573,1153,1045,5417,1271,853,931,708,605,507,542,KwaZulu-Natal
KZN271,Umhlabuyalingana,141361,121012,52377,27300,13504,10195,7571,4318,5747,20349,5601,3516,3203,2751,1756,1221,2301,KwaZulu-Natal
KZN282,uMhlathuze,280231,139554,51538,33556,22374,12785,8729,5572,5000,140677,34246,26711,30620,21462,14594,8155,4889,KwaZulu-Natal
KZN292,KwaDukuza,202612,111751,43483,24126,18076,11508,7120,4126,3312,90861,18238,16412,20301,14068,9259,6760,5823,KwaZulu-Natal
KZN433,Greater Kokstad,55688,31194,12321,7057,4711,3139,2099,1070,797,24494,6039,4515,5455,3861,2499,1301,824,KwaZulu-Natal
LIM334,Ba-Phalaborwa,133184,80923,32558,18114,11867,7693,4725,3026,2940,52261,13124,8844,10121,8235,5922,3682,2333,KwaZulu-Natal
LIM352,Aganang,120139,96271,39997,20969,8421,6274,6034,5783,8793,23868,5747,3587,2425,2387,2438,2506,4778,Limpopo
LIM364,Mookgopong,29674,15641,5468,3360,2691,1874,1089,618,541,14033,1985,2101,3204,2354,1719,1220,1450,Limpopo
LIM367,Mogalakwena,273853,198405,78483,44260,22884,15875,12402,10077,14424,75448,17261,12009,12850,10631,8511,5813,8373,Limpopo
LIM471,Ephraim Mogale,107732,84648,34412,18495,9768,6745,5145,4147,5936,23084,4529,3669,4218,3392,2744,1895,2637,Limpopo
LIM472,Elias Motsoaledi,222134,171619,70476,38366,19227,12731,10266,8632,11921,50515,11514,8239,8375,6997,5558,4004,5828,Limpopo
LIM473,Makhuduthamaga,251006,210617,86592,44788,23140,16107,12518,11287,16185,40389,10873,5930,5049,4936,4107,3273,6221,Limpopo
LIM474,Fetakgomo,84302,62651,24468,13313,7494,4846,3775,3427,5328,21651,5852,3453,3360,2752,2361,1407,2466,Limpopo
LIM475,Greater Tubatse,296276,202986,80232,45916,28327,16840,11808,8559,11304,93290,24994,16108,19964,13209,8634,4530,5851,Limpopo
MP301,Albert Luthuli,165902,126080,52859,29527,13695,9233,8133,6394,6239,39822,10224,7199,7129,5501,3930,2640,3199,Limpopo
MP302,Msukaligwa,125114,68613,26724,15433,9363,6436,5019,3301,2337,56501,12983,10058,12453,8261,6241,3806,2699,Mpumalanga
MP304,Pixley Ka Seme,69344,49858,20398,10781,5941,4198,3621,2584,2335,19486,4597,3227,3419,2782,2205,1663,1593,Mpumalanga
MP305,Lekwa,99687,52621,19339,11070,7435,5341,4413,2735,2288,47066,10627,7846,9181,7075,5881,3684,2772,Mpumalanga
MP306,Dipaleseng,35320,20721,7468,4332,3059,2129,1638,1163,932,14599,3103,2403,3137,2003,1590,1166,1197,Mpumalanga
MP307,Govan Mbeki,242097,102757,37389,22091,15472,10616,8778,4826,3585,139340,31762,24912,31263,20510,17146,8763,4984,Mpumalanga
MP312,Emalahleni,340701,120949,42252,26290,19318,13378,10009,5959,3743,219752,49034,38938,49491,33473,26254,14319,8243,Mpumalanga
MP313,Steve Tshwete,188388,62134,21649,13331,9696,6968,5061,3150,2279,126254,28411,21845,27219,20039,15163,8398,5179,Mpumalanga
MP314,Emakhazeni,38764,19970,7381,4372,2944,2012,1438,955,868,18794,3983,2999,4065,2850,2082,1471,1344,Mpumalanga
MP315,Thembisile,286537,202967,76000,44074,27927,19230,14807,11317,9612,83570,20214,14881,14510,12309,9799,6324,5533,Mpumalanga
MP316,Dr JS Moroka,230651,171262,64065,36686,21157,14981,11245,10250,12878,59389,14127,9750,8188,7358,7115,5475,7376,Mpumalanga
MP321,Thaba Chweu,80211,34923,12931,7443,5185,3596,2418,1773,1577,45288,9024,7152,10207,8028,5477,2987,2413,Mpumalanga
MP323,Umjindi,56403,27848,10792,5945,4307,2934,1832,1082,956,28555,6422,4830,5884,4525,3380,1965,1549,Mpumalanga
MP324,Nkomazi,341298,252378,103472,60534,34485,21105,13476,8910,10396,88920,23279,18167,17968,12488,7788,4415,4815,Mpumalanga
MP325,Bushbuckridge,498808,398072,164295,92786,49994,32149,22005,16910,19933,100736,27850,17616,15780,13996,10039,6274,9181,Mpumalanga
NW371,Moretele,161932,114537,42810,23115,15362,10333,7753,6943,8221,47395,10083,7506,7699,5561,5013,4831,6702,Mpumalanga
NW372,Madibeng,400887,191374,67254,39033,30660,20290,14515,10287,9335,209513,40478,34701,47653,32827,25325,15665,12864,North West
NW374,Kgetlengrivier,41688,25163,9254,4875,3706,2796,2081,1375,1076,16525,2844,2505,3169,2674,2213,1679,1441,North West
NW375,Moses Kotane,204944,120812,44685,23386,15121,11081,9462,7859,9218,84132,18472,12932,15445,11474,9978,6873,8958,North West
NW381,Ratlou,93434,79926,34371,15527,8094,6284,5645,4554,5451,13508,2857,1820,1802,1630,1489,1558,2352,North West
NW382,Tswaing,111105,87226,34763,17867,10685,7792,7080,4724,4315,23879,4855,3357,3764,3485,3190,2494,2734,North West
NW383,Mafikeng,253759,154891,58655,32705,20020,15904,11859,7990,7758,98868,23808,18048,16886,15249,12288,6771,5818,North West
NW385,Ramotshere Moiloa,132539,96392,37213,18345,11669,9169,7291,6122,6583,36147,7635,5116,5723,5089,4554,3628,4402,North West
NW392,Naledi,58405,35091,13055,6880,5205,3765,3059,1792,1335,23314,5098,3554,4187,3776,2984,2113,1602,North West
NW393,Mamusa,54059,42117,17171,8359,5718,3746,3230,2189,1704,11942,2582,1656,2146,1789,1417,1190,1162,North West
NW394,Greater Taung,157314,128170,52832,25543,13706,10172,8763,7732,9422,29144,6483,4129,3691,3652,3566,3188,4435,North West
NW397,Kagisano/Molopo,92212,74126,32302,13834,8085,6229,5621,3954,4101,18086,3416,2595,2968,2758,2402,1941,2006,North West
