geo_code,name,total,Both parents,Both parents-Female,Both parents-Male,Father only,Father only-Female,Father only-Male,Mother only,Mother only-Female,Mother only-Male,Neither parent,Neither parent-Female,Neither parent-Male,province
KZN433,Greater Kokstad,6758,1081,548,533,274,129,145,2302,1202,1100,3101,1645,1456,KwaZulu-Natal
LIM334,Ba-Phalaborwa,14562,3902,1891,2011,535,230,305,5268,2729,2539,4857,2654,2203,KwaZulu-Natal
LIM352,Aganang,17064,2880,1381,1499,570,286,284,5802,2881,2921,7812,3597,4215,Limpopo
LIM364,Mookgopong,2333,593,270,323,53,23,30,845,442,403,842,413,429,Limpopo
LIM367,Mogalakwena,35836,6327,3141,3186,977,436,541,12938,6480,6458,15594,7504,8090,Limpopo
LIM471,Ephraim Mogale,13830,2155,1058,1097,395,173,222,5143,2537,2606,6137,2919,3218,Limpopo
LIM472,Elias Motsoaledi,28963,4579,2314,2265,939,454,485,10583,5358,5225,12862,6241,6621,Limpopo
LIM473,Makhuduthamaga,33293,6071,2982,3089,837,390,447,14608,7311,7297,11777,5660,6117,Limpopo
LIM474,Fetakgomo,11046,2340,1129,1211,319,149,170,4693,2366,2327,3694,1885,1809,Limpopo
LIM475,Greater Tubatse,36671,8789,4320,4469,1010,487,523,14357,7137,7220,12515,6296,6219,Limpopo
MP301,Albert Luthuli,23810,3248,1662,1586,774,349,425,7983,4089,3894,11805,5769,6036,Limpopo
MP302,Msukaligwa,14109,3371,1670,1701,620,290,330,4538,2308,2230,5580,2800,2780,Mpumalanga
MP304,Pixley Ka Seme,8730,1559,786,773,307,136,171,2817,1472,1345,4047,1996,2051,Mpumalanga
MP305,Lekwa,10188,2769,1393,1376,500,201,299,3189,1613,1576,3730,1884,1846,Mpumalanga
MP306,Dipaleseng,3902,901,451,450,180,74,106,1199,593,606,1622,818,804,Mpumalanga
MP307,Govan Mbeki,25588,7149,3573,3576,1402,639,763,7987,4070,3917,9050,4537,4513,Mpumalanga
MP312,Emalahleni,32186,10110,5035,5075,1734,756,978,9882,5077,4805,10460,5363,5097,Mpumalanga
MP313,Steve Tshwete,18324,5332,2710,2622,1015,462,553,5790,2970,2820,6187,3047,3140,Mpumalanga
MP314,Emakhazeni,4031,835,415,420,131,59,72,1474,752,722,1591,791,800,Mpumalanga
MP315,Thembisile,34310,7911,3982,3929,1298,609,689,12200,6388,5812,12901,6308,6593,Mpumalanga
MP316,Dr JS Moroka,28908,5453,2684,2769,1090,476,614,9846,5025,4821,12519,6072,6447,Mpumalanga
MP321,Thaba Chweu,7677,1857,932,925,314,139,175,2535,1273,1262,2971,1496,1475,Mpumalanga
MP323,Umjindi,5910,1289,672,617,319,149,170,1977,1029,948,2325,1206,1119,Mpumalanga
MP324,Nkomazi,50430,7672,3788,3884,1966,882,1084,18170,9224,8946,22622,11372,11250,Mpumalanga
MP325,Bushbuckridge,70948,12524,6185,6339,2124,939,1185,27632,14116,13516,28668,14172,14496,Mpumalanga
NW371,Moretele,18664,4177,2100,2077,682,328,354,6267,3207,3060,7538,3576,3962,Mpumalanga
NW372,Madibeng,36488,9834,4933,4901,1645,702,943,11848,6103,5745,13161,6413,6748,North West
NW374,Kgetlengrivier,4094,1142,550,592,169,89,80,1102,556,546,1681,882,799,North West
NW375,Moses Kotane,21353,4562,2216,2346,763,357,406,7478,3680,3798,8550,4067,4483,North West
NW381,Ratlou,11683,1675,802,873,330,144,186,3684,1911,1773,5994,2883,3111,North West
NW382,Tswaing,12434,2880,1427,1453,488,249,239,3424,1733,1691,5642,2733,2909,North West
NW383,Mafikeng,30837,7326,3642,3684,1070,481,589,10498,5348,5150,11943,6198,5745,North West
NW385,Ramotshere Moiloa,14020,2597,1279,1318,409,200,209,5254,2640,2614,5760,2877,2883,North West
NW392,Naledi,5993,1256,651,605,188,79,109,1956,1002,954,2593,1290,1303,North West
NW393,Mamusa,5732,1182,580,602,232,103,129,1554,754,800,2764,1333,1431,North West
NW394,Greater Taung,19709,2485,1208,1277,580,272,308,6660,3376,3284,9984,4868,5116,North West
NW397,Kagisano/Molopo,10976,1424,718,706,267,109,158,3949,2031,1918,5336,2590,2746,North West
NW401,Ventersdorp,4506,914,448,466,167,66,101,1359,697,662,2066,962,1104,North West
NW402,Tlokwe City Council,13770,3618,1831,1787,502,241,261,4152,2058,2094,5498,2915,2583,North West
NW403,City of Matlosana,33962,9107,4380,4727,1595,703,892,11147,5729,5418,12113,6081,6032,North West
NW404,Maquassi Hills,6786,1668,826,842,323,149,174,1729,901,828,3066,1557,1509,North West
NC061,Richtersveld,877,307,148,159,29,8,21,301,125,176,240,118,122,North West
NC064,Kamiesberg,653,128,57,71,30,9,21,256,131,125,239,90,149,Northern Cape
NC065,Hantam,1760,641,282,359,68,26,42,484,255,229,567,283,284,Northern Cape
NC066,Karoo Hoogland,893,251,123,128,29,14,15,251,140,111,362,168,194,Northern Cape
NC067,Kh̢i-Ma,927,173,84,89,31,11,20,312,138,174,411,182,229,Northern Cape
NC072,Umsobomvu,2595,486,204,282,99,43,56,770,398,372,1240,611,629,Northern Cape
NC073,Emthanjeni,3839,951,500,451,162,71,91,1115,538,577,1611,832,779,Northern Cape
NC074,Kareeberg,905,187,104,83,27,16,11,281,148,133,410,223,187,Northern Cape
NC075,Renosterberg,869,172,80,92,34,17,17,234,117,117,429,185,244,Northern Cape
NC076,Thembelihle,1411,412,203,209,68,26,42,358,176,182,573,309,264,Northern Cape
NC078,Siyancuma,3385,841,431,410,113,48,65,969,489,480,1462,731,731,Northern Cape
NC081,Mier,584,178,79,99,34,16,18,175,87,88,197,106,91,Northern Cape
NC082,Kai !Garib,5997,1296,652,644,202,92,110,1480,721,759,3019,1442,1577,Northern Cape
NC083,//Khara Hais,9011,2625,1282,1343,332,150,182,2985,1530,1455,3069,1548,1521,Northern Cape
NC084,!Kheis,1370,367,178,189,57,25,32,400,215,185,546,286,260,Northern Cape
NC086,Kgatelopele,1691,512,219,293,88,45,43,439,220,219,652,304,348,Northern Cape
NC091,Sol Plaatjie,21901,5805,2916,2889,885,422,463,7615,3875,3740,7596,3825,3771,Northern Cape
