geo_code,name,total,0-14,15-24,25-34,35-44,45-54,55-64,65+,province
KZN222,uMngeni,89663,22212,17398,15744,12103,8198,6338,7670,KwaZulu-Natal
KZN223,Mpofana,36796,11391,7541,6613,4358,3050,2253,1590,KwaZulu-Natal
KZN224,Impendle,32405,12141,6857,3591,2567,2541,2454,2254,KwaZulu-Natal
KZN225,The Msunduzi,605804,162250,129978,107033,78376,55889,40185,32093,KwaZulu-Natal
KZN226,Mkhambathini,60263,18914,12953,9903,6557,4983,3843,3110,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,229430,76316,46527,37091,25018,19743,13814,10921,KwaZulu-Natal
KZN233,Indaka,99830,42459,21893,10533,7057,6618,5509,5761,KwaZulu-Natal
KZN234,Umtshezi,81182,28385,16342,12383,8963,6743,4799,3567,KwaZulu-Natal
KZN235,Okhahlamba,127235,49693,26568,16518,11431,8981,7422,6622,KwaZulu-Natal
KZN236,Imbabazane,109733,40830,23957,14805,9683,8263,6737,5458,KwaZulu-Natal
KZN242,Nqutu,158562,66260,35270,17529,11855,10390,8502,8756,KwaZulu-Natal
KZN244,Msinga,173949,75742,36469,17649,13266,11056,9594,10173,KwaZulu-Natal
KZN245,Umvoti,100874,36211,21417,13518,9820,8248,5998,5662,KwaZulu-Natal
KZN252,Newcastle,349422,112327,76487,54141,37248,30161,22339,16719,KwaZulu-Natal
KZN254,Dannhauser,96868,35901,21808,12364,7997,7316,6123,5359,KwaZulu-Natal
KZN261,eDumbe,77744,30619,17040,9878,6467,5648,3932,4160,KwaZulu-Natal
KZN262,UPhongolo,121320,46915,28141,16781,10325,8017,5509,5632,KwaZulu-Natal
KZN263,Abaqulusi,200422,72889,43890,28279,18608,15475,11256,10025,KwaZulu-Natal
KZN265,Nongoma,184950,75873,44069,20657,13363,11898,9363,9727,KwaZulu-Natal
KZN266,Ulundi,179765,70815,40778,22328,14483,13078,9232,9051,KwaZulu-Natal
KZN272,Jozini,177892,72770,41607,22394,15042,11603,6906,7570,KwaZulu-Natal
KZN273,The Big 5 False Bay,33398,12436,7506,4979,3143,2315,1475,1544,KwaZulu-Natal
KZN274,Hlabisa,68550,27699,16160,7836,5195,4644,3422,3594,KwaZulu-Natal
KZN275,Mtubatuba,165859,64357,37587,22766,14314,11556,7305,7974,KwaZulu-Natal
KZN281,Mfolozi,117818,41791,26447,18616,10780,8940,5561,5683,KwaZulu-Natal
KZN283,Ntambanana,70937,27087,16644,8828,5553,5412,3550,3863,KwaZulu-Natal
KZN284,uMlalazi,205191,75167,45472,25660,18175,15661,12637,12419,KwaZulu-Natal
KZN285,Mthonjaneni,45464,17132,9718,6270,4105,3558,2354,2327,KwaZulu-Natal
KZN286,Nkandla,110404,43824,24833,11744,8193,7740,6778,7292,KwaZulu-Natal
KZN291,Mandeni,132865,44035,29344,22266,14462,10438,6738,5582,KwaZulu-Natal
KZN293,Ndwedwe,135396,49647,29706,16316,11426,10722,8832,8747,KwaZulu-Natal
KZN294,Maphumulo,94203,37831,20807,9222,6921,6636,6171,6615,KwaZulu-Natal
KZN431,Ingwe,98366,38904,20923,11630,8500,7225,5862,5322,KwaZulu-Natal
KZN432,Kwa Sani,12403,3068,2289,2589,1813,1147,815,682,KwaZulu-Natal
KZN434,Ubuhlebezwe,98930,36704,21197,12167,8947,7995,6321,5599,KwaZulu-Natal
KZN435,Umzimkhulu,176826,71812,39554,19292,13906,12273,9628,10361,Limpopo
LIM331,Greater Giyani,244029,89669,57700,31526,22242,17506,10747,14639,Limpopo
