geo_code,name,total,Female,Female_Black,Female_Coloured,Female_Indian_Asian,Female_Other,Female_White,Male,Male_Black,Male_Coloured,Male_Indian_Asian,Male_Other,Male_White,province
EC153,Ngquza Hill,59925,29933,29664,184,34,16,35,29992,29644,202,60,63,23,Eastern Cape
EC154,Port St Johns,34543,17463,17339,87,15,4,18,17080,16942,90,24,8,16,Eastern Cape
EC155,Nyandeni,65028,32451,32234,126,43,23,25,32577,32339,135,53,30,20,Eastern Cape
EC156,Mhlontlo,40667,19725,19598,60,22,9,36,20942,20795,64,23,33,27,Eastern Cape
EC441,Matatiele,42319,21155,20819,178,31,19,108,21164,20813,186,73,23,69,Eastern Cape
EC442,Umzimvubu,40584,20219,20089,81,18,5,26,20365,20184,98,23,39,21,Eastern Cape
EC443,Mbizana,60523,31034,30909,75,23,9,18,29489,29331,80,38,20,20,Eastern Cape
EC444,Ntabankulu,26596,13433,13344,76,5,3,5,13163,13047,71,22,15,8,Free State
FS161,Letsemeng,7119,3435,2450,837,3,3,142,3684,2615,836,13,27,193,Free State
FS162,Kopanong,8743,4358,3304,848,12,11,183,4385,3320,836,29,27,173,Free State
FS163,Mohokare,6480,3256,3106,75,2,1,72,3224,3002,76,15,8,123,Free State
FS181,Masilonyana,11637,5870,5535,68,6,11,250,5767,5387,90,27,25,238,Free State
FS182,Tokologo,5357,2758,2521,112,2,9,114,2599,2310,124,27,12,126,Free State
FS183,Tswelopele,8975,4552,4314,57,5,2,174,4423,4128,66,31,14,184,Free State
FS184,Matjhabeng,78417,39266,35776,863,75,45,2507,39151,35464,895,185,99,2508,Free State
FS185,Nala,15068,7744,7442,52,8,11,231,7324,6940,49,29,31,275,Free State
FS192,Dihlabeng,23019,11772,10721,202,41,9,799,11247,10277,199,51,28,692,Free State
FS193,Nketoana,11611,5847,5572,16,12,8,239,5764,5456,29,20,15,244,Free State
FS194,Maluti a Phofung,74617,38022,37642,79,47,26,228,36595,36142,83,74,38,258,Free State
FS195,Phumelela,9017,4561,4352,20,1,7,181,4456,4207,18,30,28,173,Free State
FS201,Moqhaka,29376,14231,12924,407,30,20,850,15145,13613,465,58,71,938,Free State
FS203,Ngwathe,21516,10888,9906,320,21,9,632,10628,9601,296,59,56,616,Free State
FS204,Metsimaholo,27607,13253,11473,80,27,22,1651,14354,12508,112,50,61,1623,Free State
FS205,Mafube,10962,5593,5336,39,7,6,205,5369,5045,32,27,18,247,Gauteng
GT421,Emfuleni,139786,70450,63286,900,456,139,5669,69336,61729,841,624,345,5797,Gauteng
GT423,Lesedi,17693,8538,7187,97,71,15,1168,9155,7556,144,113,55,1287,Gauteng
GT481,Mogale City,65019,30650,25244,265,544,73,4524,34369,28222,249,922,154,4822,Gauteng
GT482,Randfontein,25615,12687,9274,1359,38,43,1973,12928,9454,1323,63,52,2036,Gauteng
GT483,Westonaria,20212,9809,9145,73,20,27,544,10403,9608,71,50,57,617,KwaZulu-Natal
KZN211,Vulamehlo,16086,8131,8078,11,24,3,15,7955,7905,12,22,5,11,KwaZulu-Natal
KZN212,Umdoni,15349,7691,6494,73,900,16,208,7658,6384,77,958,18,221,KwaZulu-Natal
KZN213,Umzumbe,33775,16766,16691,24,21,12,18,17009,16934,21,15,19,20,KwaZulu-Natal
KZN214,UMuziwabantu,20591,10438,10305,85,24,5,19,10153,9979,83,43,20,28,KwaZulu-Natal
KZN215,Ezingoleni,11106,5549,5510,13,10,4,12,5557,5497,16,14,4,26,KwaZulu-Natal
KZN221,uMshwathi,22396,11307,11014,21,144,18,110,11089,10708,30,171,37,143,KwaZulu-Natal
KZN222,uMngeni,17398,8460,7129,158,299,7,867,8938,7153,165,357,28,1235,KwaZulu-Natal
KZN223,Mpofana,7540,3683,3488,22,60,10,103,3857,3573,34,63,16,171,KwaZulu-Natal
KZN224,Impendle,6855,3403,3387,2,2,6,6,3452,3429,10,2,2,9,KwaZulu-Natal
KZN225,The Msunduzi,129978,65927,56541,1721,5233,141,2291,64051,54409,1742,5261,196,2443,KwaZulu-Natal
KZN226,Mkhambathini,12954,6386,6231,17,48,2,88,6568,6289,28,127,23,101,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,46528,23939,22531,236,774,27,371,22589,21102,210,910,43,324,KwaZulu-Natal
KZN233,Indaka,21892,11605,11565,19,15,3,3,10287,10226,13,32,4,12,KwaZulu-Natal
KZN234,Umtshezi,16342,8358,7751,106,401,18,82,7984,7342,96,431,22,93,KwaZulu-Natal
KZN235,Okhahlamba,26568,13542,13391,12,29,15,95,13026,12827,18,44,22,115,KwaZulu-Natal
KZN236,Imbabazane,23957,12165,12132,8,10,3,12,11792,11749,10,16,9,8,KwaZulu-Natal
KZN242,Nqutu,35270,18324,18260,17,21,11,15,16946,16878,19,21,19,9,KwaZulu-Natal
KZN244,Msinga,36470,19776,19700,12,26,7,31,16694,16630,11,23,15,15,KwaZulu-Natal
KZN245,Umvoti,21417,11361,10937,96,153,9,166,10056,9624,80,187,33,132,KwaZulu-Natal
KZN252,Newcastle,76486,38160,36149,257,905,47,802,38326,36077,296,1038,83,832,KwaZulu-Natal
KZN254,Dannhauser,21809,10793,10610,27,103,6,47,11016,10756,44,157,9,50,KwaZulu-Natal
KZN261,eDumbe,17039,8603,8497,9,13,11,73,8436,8321,5,25,21,64,KwaZulu-Natal
KZN262,UPhongolo,28143,14382,14257,11,12,11,91,13761,13606,20,16,14,105,KwaZulu-Natal
KZN263,Abaqulusi,43891,22010,21379,93,71,22,445,21881,21214,99,83,40,445,KwaZulu-Natal
KZN265,Nongoma,44069,22894,22783,34,38,16,23,21175,21058,30,35,20,32,KwaZulu-Natal
KZN266,Ulundi,40779,21269,21164,30,18,24,33,19510,19403,31,30,25,21,KwaZulu-Natal
KZN272,Jozini,41607,21591,21476,20,32,37,26,20016,19888,20,46,39,23,KwaZulu-Natal
KZN273,The Big 5 False Bay,7506,3840,3790,6,9,0,35,3666,3606,5,7,4,44,KwaZulu-Natal
KZN274,Hlabisa,16160,8332,8288,15,9,10,10,7828,7792,8,16,8,4,KwaZulu-Natal
KZN275,Mtubatuba,37588,19426,19175,68,56,15,112,18162,17918,65,54,23,102,KwaZulu-Natal
KZN281,Mfolozi,26447,13373,13271,24,30,7,41,13074,12975,26,22,8,43,KwaZulu-Natal
KZN283,Ntambanana,16641,8461,8426,18,9,4,4,8180,8133,19,16,5,7,KwaZulu-Natal
KZN284,uMlalazi,45472,23317,22860,98,165,21,173,22155,21721,123,108,66,137,KwaZulu-Natal
KZN285,Mthonjaneni,9718,5023,4986,12,10,0,15,4695,4643,12,12,12,16,KwaZulu-Natal
KZN286,Nkandla,24833,13020,12969,15,5,7,24,11813,11773,17,7,7,9,KwaZulu-Natal
KZN291,Mandeni,29343,14803,14407,78,216,16,86,14540,14168,51,220,21,80,KwaZulu-Natal
KZN293,Ndwedwe,29707,14990,14823,25,75,50,17,14717,14517,25,84,67,24,KwaZulu-Natal
KZN294,Maphumulo,20808,11045,11009,14,7,5,10,9763,9721,10,14,9,9,KwaZulu-Natal
KZN431,Ingwe,20922,10528,10475,13,10,4,26,10394,10316,17,14,16,31,KwaZulu-Natal
KZN432,Kwa Sani,2289,1041,1008,5,0,3,25,1248,1199,6,4,0,39,KwaZulu-Natal
KZN434,Ubuhlebezwe,21197,10633,10459,101,28,4,41,10564,10392,87,31,15,39,KwaZulu-Natal
KZN435,Umzimkhulu,39556,20710,20621,58,15,6,10,18846,18724,51,28,28,15,Limpopo
LIM331,Greater Giyani,57701,29527,29421,26,51,12,17,28174,28059,13,63,17,22,Limpopo
LIM332,Greater Letaba,50158,24823,24678,17,9,12,107,25335,25096,28,23,62,126,Limpopo
LIM333,Greater Tzaneen,82938,41531,40781,51,90,29,580,41407,40492,73,151,81,610,Limpopo
LIM335,Maruleng,20872,10499,10291,29,16,5,158,10373,10125,20,33,19,176,Limpopo
LIM341,Musina,12999,6777,6520,13,18,23,203,6222,5996,17,36,19,154,Limpopo
LIM342,Mutale,20643,10363,10310,9,2,8,34,10280,10195,19,12,21,33,Limpopo
LIM343,Thulamela,144442,72657,72356,50,181,31,39,71785,71345,51,241,99,49,Limpopo
LIM344,Makhado,110235,54757,53997,93,109,19,539,55478,54544,100,151,117,566,Limpopo
LIM351,Blouberg,36613,18568,18508,1,5,19,35,18045,17894,8,41,64,38,Limpopo
LIM353,Molemole,23477,11555,11432,32,11,17,63,11922,11749,24,28,34,87,Limpopo
LIM354,Polokwane,136895,69439,66357,606,321,116,2039,67456,63974,669,431,168,2214,Limpopo
LIM355,Lepele-Nkumpi,48131,24047,23978,19,8,14,28,24084,23976,16,43,26,23,Limpopo
LIM361,Thabazimbi,13428,6226,5354,39,15,15,803,7202,6325,40,15,32,790,Limpopo
LIM362,Lephalale,24147,11157,10492,77,15,13,560,12990,12157,115,50,41,627,Limpopo
LIM365,Modimolle,12537,6244,5840,20,12,8,364,6293,5872,32,47,22,320,Limpopo
LIM366,Bela-Bela,11808,5790,5282,106,32,5,365,6018,5509,103,32,21,353,Eastern Cape
BUF,Buffalo City,142385,72455,64069,4259,425,168,3534,69930,61244,4252,508,405,3521,Eastern Cape
EC101,Camdeboo,9295,4537,1326,2955,19,17,220,4758,1253,3163,38,25,279,Eastern Cape
EC105,Ndlambe,9741,4817,4098,382,8,17,312,4924,4168,372,20,60,304,Eastern Cape
EC122,Mnquma,51967,25464,25307,66,31,12,48,26503,26306,64,41,38,54,Eastern Cape
EC128,Nxuba,4207,2055,1568,423,11,11,42,2152,1615,449,13,19,56,Eastern Cape
EC135,Intsika Yethu,27350,12730,12657,37,8,12,16,14620,14449,62,37,50,22,Eastern Cape
EC144,Gariep,5956,2840,2269,424,2,8,137,3116,2453,520,11,20,112,Eastern Cape
EC157,King Sabata Dalindyebo,105777,54744,54043,389,115,45,152,51033,50211,379,195,120,128,Eastern Cape
NMA,Nelson Mandela Bay,213918,108233,69389,25672,1079,757,11336,105685,66872,24568,1143,1477,11625,Eastern Cape
FS164,Naledi,4789,2445,2354,37,5,0,49,2344,2217,38,18,14,57,Free State
FS191,Setsoto,21757,11159,10646,110,69,10,324,10598,10069,107,83,27,312,Free State
FS196,Mantsopa,9794,4962,4585,177,27,11,162,4832,4426,184,28,31,163,Free State
MAN,Mangaung,152798,77219,65832,3931,267,158,7031,75579,64309,3722,416,299,6833,Free State
EKU,Ekurhuleni,568058,282271,237728,8229,4622,935,30757,285787,240306,7900,5276,1694,30611,Gauteng
GT422,Midvaal,15881,7899,5239,172,76,29,2383,7982,5345,133,47,33,2424,Gauteng
GT484,Merafong City,34032,16997,15147,189,42,19,1600,17035,15229,193,64,58,1491,Gauteng
JHB,City of Johannesburg,792460,399650,331374,23208,14387,1958,28723,392810,323166,22612,15052,2421,29559,Gauteng
TSH,City of Tshwane,550814,278020,226468,5793,3934,1132,40693,272794,220579,5649,4363,1639,40564,Gauteng
ETH,eThekwini,710722,359795,286430,8434,50781,1186,12964,350927,276470,8138,51369,1529,13421,KwaZulu-Natal
KZN216,Hibiscus Coast,50429,25675,23088,379,1097,42,1069,24754,22086,358,1127,51,1132,KwaZulu-Natal
KZN227,Richmond,12899,6404,6205,64,57,10,68,6495,6279,64,73,13,66,KwaZulu-Natal
KZN241,Endumeni,13304,6519,5759,180,303,16,261,6785,6042,174,295,17,257,KwaZulu-Natal
KZN253,Emadlangeni,6654,3139,2996,44,6,2,91,3515,3401,33,2,5,74,KwaZulu-Natal
KZN271,Umhlabuyalingana,33674,17421,17365,11,15,14,16,16253,16191,11,21,17,13,KwaZulu-Natal
KZN282,uMhlathuze,73321,38432,35236,316,1209,55,1616,34889,31667,336,1142,94,1650,KwaZulu-Natal
KZN292,KwaDukuza,45659,23204,19520,221,2793,112,558,22455,18680,210,2869,201,495,KwaZulu-Natal
KZN433,Greater Kokstad,13749,7151,6491,506,39,13,102,6598,5905,513,51,19,110,KwaZulu-Natal
LIM334,Ba-Phalaborwa,30481,15535,14961,42,23,6,503,14946,14376,37,28,14,491,KwaZulu-Natal
LIM352,Aganang,28100,13945,13901,16,0,12,16,14155,14049,11,27,54,14,Limpopo
LIM364,Mookgopong,6135,2918,2745,12,5,8,148,3217,2973,15,13,31,185,Limpopo
LIM367,Mogalakwena,64779,32572,31808,41,113,33,577,32207,31320,48,194,86,559,Limpopo
LIM471,Ephraim Mogale,25364,12551,12405,7,18,19,102,12813,12605,8,44,44,112,Limpopo
LIM472,Elias Motsoaledi,52958,26654,26375,27,27,16,209,26304,25871,29,105,77,222,Limpopo
LIM473,Makhuduthamaga,56976,29058,28979,13,33,14,19,27918,27776,17,73,40,12,Limpopo
LIM474,Fetakgomo,19317,9885,9840,4,3,5,33,9432,9374,0,17,22,19,Limpopo
LIM475,Greater Tubatse,71928,36520,36093,57,48,21,301,35408,34919,64,60,35,330,Limpopo
MP301,Albert Luthuli,41826,21373,21096,53,41,21,162,20453,20006,69,138,63,177,Limpopo
MP302,Msukaligwa,29164,14619,13301,94,111,30,1083,14545,13151,76,171,65,1082,Mpumalanga
MP304,Pixley Ka Seme,16069,8188,7686,36,80,5,381,7881,7318,61,91,20,391,Mpumalanga
MP305,Lekwa,21497,10404,8994,328,94,15,973,11093,9498,319,122,54,1100,Mpumalanga
MP306,Dipaleseng,7976,3919,3664,24,17,2,212,4057,3752,15,31,10,249,Mpumalanga
MP307,Govan Mbeki,56737,27219,22937,402,370,67,3443,29518,25046,440,415,162,3455,Mpumalanga
MP312,Emalahleni,75645,36366,30968,623,239,62,4474,39279,33419,651,370,237,4602,Mpumalanga
MP313,Steve Tshwete,41768,20152,15677,640,247,54,3534,21616,16707,634,347,121,3807,Mpumalanga
MP314,Emakhazeni,8660,4246,3904,67,23,2,250,4414,4013,65,45,5,286,Mpumalanga
MP315,Thembisile,64731,32691,32484,78,79,28,22,32040,31617,66,202,129,26,Mpumalanga
MP316,Dr JS Moroka,52138,25985,25904,35,26,11,9,26153,25896,42,130,71,14,Mpumalanga
MP321,Thaba Chweu,17549,8556,7214,265,41,39,997,8993,7600,252,62,91,988,Mpumalanga
MP323,Umjindi,12989,6263,5618,152,53,3,437,6726,6067,115,66,16,462,Mpumalanga
MP324,Nkomazi,92704,47455,46790,143,98,35,389,45249,44439,123,247,64,376,Mpumalanga
MP325,Bushbuckridge,125919,64594,64409,84,23,12,66,61325,60990,73,129,58,75,Mpumalanga
NW371,Moretele,35226,17559,17493,23,10,7,26,17667,17507,35,39,62,24,Mpumalanga
NW372,Madibeng,87476,42099,38452,446,143,119,2939,45377,41230,390,324,264,3169,North West
NW374,Kgetlengrivier,9279,4510,3804,85,39,21,561,4769,3920,118,45,32,654,North West
NW375,Moses Kotane,43099,21334,21103,53,52,26,100,21765,21388,58,120,65,134,North West
NW381,Ratlou,19741,10076,9929,88,7,10,42,9665,9462,90,49,19,45,North West
NW382,Tswaing,23326,11809,11138,178,9,18,466,11517,10737,239,60,38,443,North West
NW383,Mafikeng,59427,30408,29364,595,175,24,250,29019,27737,692,272,71,247,North West
NW385,Ramotshere Moiloa,27003,13585,13010,122,68,33,352,13418,12745,135,107,64,367,North West
NW392,Naledi,11876,6016,4584,987,59,40,346,5860,4477,852,58,67,406,North West
NW393,Mamusa,11189,5604,5256,119,13,9,207,5585,5168,148,45,18,206,North West
NW394,Greater Taung,33812,17298,17043,195,18,22,20,16514,16162,187,68,43,54,North West
NW397,Kagisano/Molopo,18762,9703,9411,158,5,25,104,9059,8710,147,44,32,126,North West
NW401,Ventersdorp,9917,4956,4530,165,6,71,184,4961,4491,173,28,76,193,North West
NW402,Tlokwe City Council,33843,17228,10939,1174,180,56,4879,16615,10864,1025,214,119,4393,North West
NW403,City of Matlosana,71392,35692,30505,1288,221,60,3618,35700,30115,1262,408,141,3774,North West
NW404,Maquassi Hills,14363,7221,6606,198,21,12,384,7142,6507,191,58,35,351,North West
NC061,Richtersveld,1772,831,103,672,5,6,45,941,107,784,3,13,34,North West
NC064,Kamiesberg,1604,741,55,663,2,2,19,863,50,778,6,7,22,Northern Cape
NC065,Hantam,3445,1675,71,1505,10,3,86,1770,73,1582,10,16,89,Northern Cape
NC066,Karoo Hoogland,1765,903,72,780,13,4,34,862,69,723,13,3,54,Northern Cape
NC067,Kh̢i-Ma,2260,1078,244,795,2,9,28,1182,345,771,7,12,47,Northern Cape
NC072,Umsobomvu,4868,2420,1582,759,7,15,57,2448,1609,734,13,29,63,Northern Cape
NC073,Emthanjeni,7322,3669,1179,2275,14,7,194,3653,1233,2182,29,29,180,Northern Cape
NC074,Kareeberg,1871,964,43,885,2,1,33,907,60,796,5,5,41,Northern Cape
NC075,Renosterberg,1727,821,270,514,5,2,30,906,334,529,7,2,34,Northern Cape
NC076,Thembelihle,2755,1373,225,1020,0,2,126,1382,216,1005,14,12,135,Northern Cape
NC078,Siyancuma,6346,3159,1019,1929,21,37,153,3187,992,1965,23,59,148,Northern Cape
NC081,Mier,1223,617,24,579,8,0,6,606,41,545,3,6,11,Northern Cape
NC082,Kai !Garib,14201,6621,2611,3651,38,133,188,7580,3497,3622,49,199,213,Northern Cape
NC083,//Khara Hais,17179,8552,2002,5888,34,68,560,8627,2129,5744,70,132,552,Northern Cape
NC084,!Kheis,2615,1303,70,1177,6,10,40,1312,110,1114,21,21,46,Northern Cape
NC086,Kgatelopele,3319,1619,809,715,8,7,80,1700,835,721,12,19,113,Northern Cape
NC091,Sol Plaatjie,44776,22544,14188,6471,203,523,1159,22232,13976,6325,254,524,1153,Northern Cape
NC092,Dikgatlong,8219,4130,2417,1297,19,313,84,4089,2380,1238,30,335,106,Northern Cape
NC093,Magareng,4386,2150,1755,321,7,1,66,2236,1800,339,22,5,70,Northern Cape
NC451,Joe Morolong,16219,8420,8190,155,7,11,57,7799,7510,135,49,22,83,Northern Cape
NC452,Ga-Segonyana,17961,9047,8076,668,17,29,257,8914,7876,692,54,52,240,Northern Cape
NC453,Gamagara,7517,3534,1917,1158,15,73,371,3983,2271,1172,27,77,436,Northern Cape
CPT,City of Cape Town,684630,349626,160984,145162,4394,4145,34941,335004,144987,143559,4859,6526,35073,Northern Cape
WC011,Matzikama,12186,6069,589,4804,37,63,576,6117,736,4692,37,88,564,Western Cape
WC013,Bergrivier,10633,5570,1062,3959,17,20,512,5063,726,3733,27,51,526,Western Cape
WC014,Saldanha Bay,17815,8917,2611,5224,76,33,973,8898,2606,5113,80,102,997,Western Cape
WC015,Swartland,20481,10391,2537,6894,45,44,871,10090,2366,6685,57,109,873,Western Cape
WC022,Witzenberg,22253,10538,2791,7255,22,49,421,11715,3610,7294,46,95,670,Western Cape
WC023,Drakenstein,48637,24067,6095,15021,112,145,2694,24570,6248,15500,110,262,2450,Western Cape
WC025,Breede Valley,30755,15501,4185,10057,72,144,1043,15254,4122,9701,103,162,1166,Western Cape
WC026,Langeberg,17191,8651,1558,6479,18,56,540,8540,1509,6373,19,102,537,Western Cape
WC031,Theewaterskloof,19212,9337,2672,6141,24,59,441,9875,3156,6046,35,140,498,Western Cape
WC032,Overstrand,11665,5940,2870,2235,14,46,775,5725,2746,2135,27,83,734,Western Cape
WC034,Swellendam,6109,2959,407,2297,6,21,228,3150,537,2282,12,48,271,Western Cape
WC041,Kannaland,4238,2101,120,1864,5,11,101,2137,122,1891,3,8,113,Western Cape
WC042,Hessequa,7662,3913,262,3155,24,5,467,3749,313,2953,21,22,440,Western Cape
WC043,Mossel Bay,13873,7110,2665,3450,38,41,916,6763,2359,3370,45,95,894,Western Cape
