geo_code,name,total,Other,Rest of Africa,SADC,South Africa,Unspecified,province
LIM364,Mookgopong,6024,9,21,895,5064,35,Limpopo
LIM367,Mogalakwena,63486,142,92,951,62214,87,Limpopo
LIM471,Ephraim Mogale,25021,28,19,1512,23349,113,Limpopo
LIM472,Elias Motsoaledi,51750,85,40,1224,50294,107,Limpopo
LIM473,Makhuduthamaga,55695,59,48,261,55304,23,Limpopo
LIM474,Fetakgomo,18940,6,29,132,18764,9,Limpopo
LIM475,Greater Tubatse,70216,25,70,795,69239,87,Limpopo
MP301,Albert Luthuli,41224,85,105,825,40110,99,Limpopo
MP302,Msukaligwa,28324,54,78,335,27801,56,Mpumalanga
MP304,Pixley Ka Seme,15692,45,11,80,15541,15,Mpumalanga
MP305,Lekwa,20603,44,31,211,20271,46,Mpumalanga
MP306,Dipaleseng,7799,5,7,70,7698,19,Mpumalanga
MP307,Govan Mbeki,55330,90,212,1440,53291,297,Mpumalanga
MP312,Emalahleni,74006,174,273,2806,70381,372,Mpumalanga
MP313,Steve Tshwete,40447,119,75,1317,38705,231,Mpumalanga
MP314,Emakhazeni,8297,13,8,224,8032,20,Mpumalanga
MP315,Thembisile,63839,139,75,746,62766,113,Mpumalanga
MP316,Dr JS Moroka,51289,98,56,451,50629,55,Mpumalanga
MP321,Thaba Chweu,16404,19,24,610,15660,91,Mpumalanga
MP323,Umjindi,11877,20,24,729,11005,99,Mpumalanga
MP324,Nkomazi,90363,197,152,6603,82686,725,Mpumalanga
MP325,Bushbuckridge,124536,102,109,755,123507,63,Mpumalanga
NW371,Moretele,34799,53,22,464,34215,45,Mpumalanga
NW372,Madibeng,85064,215,241,9142,74729,737,North West
NW374,Kgetlengrivier,8696,8,12,281,8347,48,North West
NW375,Moses Kotane,41836,132,67,776,40744,117,North West
NW381,Ratlou,19478,65,3,40,19362,8,North West
NW382,Tswaing,23095,55,30,33,22959,18,North West
NW383,Mafikeng,57353,186,77,796,56176,118,North West
NW385,Ramotshere Moiloa,25860,94,38,339,25345,44,North West
NW392,Naledi,11686,28,38,69,11533,18,North West
NW393,Mamusa,11007,26,28,22,10914,17,North West
NW394,Greater Taung,33085,69,43,73,32879,21,North West
NW397,Kagisano/Molopo,18447,60,15,84,18276,12,North West
NW401,Ventersdorp,9839,23,20,118,9664,14,North West
NW402,Tlokwe City Council,32395,123,73,539,31561,99,North West
NW403,City of Matlosana,69969,252,108,1742,67638,229,North West
NW404,Maquassi Hills,13955,45,43,29,13822,16,North West
NC061,Richtersveld,1708,5,2,13,1680,8,North West
NC064,Kamiesberg,1297,3,2,6,1285,1,Northern Cape
NC065,Hantam,3276,7,2,2,3261,4,Northern Cape
NC066,Karoo Hoogland,1598,2,0,0,1596,0,Northern Cape
NC067,Kh̢i-Ma,2145,3,5,32,2100,5,Northern Cape
NC072,Umsobomvu,4772,17,5,18,4724,8,Northern Cape
NC073,Emthanjeni,7041,27,10,28,6969,7,Northern Cape
NC074,Kareeberg,1739,5,0,0,1734,0,Northern Cape
NC075,Renosterberg,1706,6,0,6,1691,3,Northern Cape
NC076,Thembelihle,2676,14,2,4,2650,6,Northern Cape
NC078,Siyancuma,6096,23,26,7,6035,5,Northern Cape
NC081,Mier,1130,1,6,68,1033,22,Northern Cape
NC082,Kai !Garib,13945,26,4,167,13705,43,Northern Cape
NC083,//Khara Hais,16563,40,86,253,16093,91,Northern Cape
NC084,!Kheis,2474,14,1,27,2420,12,Northern Cape
NC086,Kgatelopele,3309,8,2,9,3288,2,Northern Cape
NC091,Sol Plaatjie,43173,138,90,587,42272,86,Northern Cape
NC092,Dikgatlong,8071,40,16,42,7957,16,Northern Cape
NC093,Magareng,4350,11,9,21,4304,5,Northern Cape
NC451,Joe Morolong,15959,38,5,50,15846,20,Northern Cape
NC452,Ga-Segonyana,17644,51,26,151,17368,48,Northern Cape
NC453,Gamagara,7074,23,6,138,6890,17,Northern Cape
CPT,City of Cape Town,652133,3309,6443,16882,622460,3039,Northern Cape
WC011,Matzikama,11120,6,36,80,10974,24,Western Cape
WC013,Bergrivier,9359,17,31,144,9128,39,Western Cape
WC014,Saldanha Bay,16843,22,74,184,16529,34,Western Cape
WC015,Swartland,17905,28,80,160,17578,59,Western Cape
WC022,Witzenberg,21090,42,34,671,20231,112,Western Cape
WC023,Drakenstein,44397,83,200,427,43604,83,Western Cape
WC025,Breede Valley,28692,90,37,851,27594,120,Western Cape
WC026,Langeberg,16586,26,61,336,16128,35,Western Cape
WC031,Theewaterskloof,18200,54,83,206,17797,60,Western Cape
WC032,Overstrand,11284,48,59,269,10888,20,Western Cape
WC034,Swellendam,5835,15,22,95,5691,12,Western Cape
WC041,Kannaland,4018,2,4,12,3989,11,Western Cape
WC042,Hessequa,7545,8,17,42,7465,13,Western Cape
WC043,Mossel Bay,13478,27,55,104,13253,39,Western Cape
