geo_code,name,total,employed,employed-15-19,employed-15-19-Female,employed-15-19-Male,employed-20-24,employed-20-24-Female,employed-20-24-Male,unemployed,unemployed-15-19,unemployed-15-19-Female,unemployed-15-19-Male,unemployed-20-24,unemployed-20-24-Female,unemployed-20-24-Male,province
KZN431,Ingwe,3875,1493,351,158,193,1142,437,705,2382,758,412,346,1624,867,757,KwaZulu-Natal
KZN432,Kwa Sani,1207,866,172,61,111,694,251,443,341,98,53,45,243,143,100,KwaZulu-Natal
KZN434,Ubuhlebezwe,4019,1795,399,186,213,1396,574,822,2224,755,397,358,1469,769,700,KwaZulu-Natal
KZN435,Umzimkhulu,6278,2060,589,291,298,1471,726,745,4218,1523,751,772,2695,1412,1283,Limpopo
LIM331,Greater Giyani,9476,2654,551,258,293,2103,947,1156,6822,1891,990,901,4931,2731,2200,Limpopo
LIM332,Greater Letaba,9484,3681,694,232,462,2987,1012,1975,5803,1504,756,748,4299,2358,1941,Limpopo
LIM333,Greater Tzaneen,19531,7261,1231,461,770,6030,2245,3785,12270,2894,1462,1432,9376,5084,4292,Limpopo
LIM335,Maruleng,3977,1420,258,84,174,1162,471,691,2557,685,360,325,1872,1044,828,Limpopo
LIM341,Musina,6468,4360,773,326,447,3587,1430,2157,2108,660,361,299,1448,919,529,Limpopo
LIM342,Mutale,3394,952,221,76,145,731,233,498,2442,715,396,319,1727,1006,721,Limpopo
LIM343,Thulamela,24140,7071,1675,548,1127,5396,1992,3404,17069,4416,2381,2035,12653,6840,5813,Limpopo
LIM344,Makhado,21087,7724,1591,610,981,6133,2228,3905,13363,3570,1770,1800,9793,5425,4368,Limpopo
LIM351,Blouberg,5198,2173,473,189,284,1700,638,1062,3025,879,509,370,2146,1222,924,Limpopo
LIM353,Molemole,5128,1741,317,109,208,1424,514,910,3387,778,388,390,2609,1451,1158,Limpopo
LIM354,Polokwane,39891,16475,2202,906,1296,14273,5873,8400,23416,5510,2877,2633,17906,9842,8064,Limpopo
LIM355,Lepele-Nkumpi,9714,2454,442,171,271,2012,874,1138,7260,1864,953,911,5396,2926,2470,Limpopo
LIM361,Thabazimbi,6964,4146,545,180,365,3601,1100,2501,2818,702,404,298,2116,1100,1016,Limpopo
LIM362,Lephalale,8754,5247,593,219,374,4654,1472,3182,3507,810,410,400,2697,1518,1179,Limpopo
LIM365,Modimolle,4546,2648,395,120,275,2253,866,1387,1898,535,263,272,1363,769,594,Limpopo
LIM366,Bela-Bela,4350,2387,277,106,171,2110,787,1323,1963,479,265,214,1484,835,649,Eastern Cape
BUF,Buffalo City,46276,18338,3076,1460,1616,15262,7383,7879,27938,8015,4014,4001,19923,10426,9497,Eastern Cape
EC101,Camdeboo,3515,1748,378,105,273,1370,525,845,1767,714,378,336,1053,580,473,Eastern Cape
EC105,Ndlambe,3400,1662,331,151,180,1331,552,779,1738,555,285,270,1183,580,603,Eastern Cape
EC122,Mnquma,7881,2606,707,323,384,1899,877,1022,5275,1715,773,942,3560,1744,1816,Eastern Cape
EC128,Nxuba,1448,501,105,27,78,396,125,271,947,314,137,177,633,318,315,Eastern Cape
EC135,Intsika Yethu,4094,1438,382,156,226,1056,430,626,2656,872,400,472,1784,785,999,Eastern Cape
EC144,Gariep,2029,1216,269,79,190,947,314,633,813,257,128,129,556,281,275,Eastern Cape
EC157,King Sabata Dalindyebo,19764,7850,2023,1000,1023,5827,3068,2759,11914,3780,1889,1891,8134,4214,3920,Eastern Cape
NMA,Nelson Mandela Bay,79541,30541,4764,2288,2476,25777,11574,14203,49000,14219,7222,6997,34781,17888,16893,Eastern Cape
FS164,Naledi,1136,598,104,39,65,494,209,285,538,133,82,51,405,247,158,Free State
FS191,Setsoto,5918,2384,351,134,217,2033,740,1293,3534,846,409,437,2688,1504,1184,Free State
FS196,Mantsopa,3049,1496,235,75,160,1261,477,784,1553,431,218,213,1122,658,464,Free State
MAN,Mangaung,51573,24176,3566,1571,1995,20610,8830,11780,27397,7192,3645,3547,20205,10977,9228,Free State
EKU,Ekurhuleni,271060,129956,17581,7766,9815,112375,45016,67359,141104,36556,18964,17592,104548,55126,49422,Gauteng
GT422,Midvaal,7220,4675,736,303,433,3939,1454,2485,2545,810,433,377,1735,937,798,Gauteng
GT484,Merafong City,14901,6846,976,419,557,5870,1943,3927,8055,2080,1125,955,5975,3267,2708,Gauteng
JHB,City of Johannesburg,380542,203088,27333,12727,14606,175755,77313,98442,177454,47032,24830,22202,130422,69709,60713,Gauteng
TSH,City of Tshwane,233567,119827,16845,7523,9322,102982,45655,57327,113740,29685,15471,14214,84055,45083,38972,Gauteng
ETH,eThekwini,280772,134524,23358,11341,12017,111166,49899,61267,146248,43944,22838,21106,102304,52674,49630,KwaZulu-Natal
KZN216,Hibiscus Coast,16127,7946,1438,674,764,6508,3056,3452,8181,2405,1204,1201,5776,3069,2707,KwaZulu-Natal
KZN227,Richmond,3726,2113,431,172,259,1682,670,1012,1613,527,282,245,1086,552,534,KwaZulu-Natal
KZN241,Endumeni,3838,1971,316,135,181,1655,640,1015,1867,583,294,289,1284,667,617,KwaZulu-Natal
KZN253,Emadlangeni,1796,756,125,47,78,631,232,399,1040,303,148,155,737,383,354,KwaZulu-Natal
