geo_code,name,total,Chemical_toilet,Chemical_toilet_Female,Chemical_toilet_Male,Flush_toilet,Flush_toilet_Female,Flush_toilet_Male,No_toilet_facilities,No_toilet_facilities_Female,No_toilet_facilities_Male,Other,Other_Female,Other_Male,Pit_latrine_ventilated,Pit_latrine_ventilated_Female,Pit_latrine_ventilated_Male,Unventilated_pit_latrine_Bucket_toilet,Unventilated_pit_latrine_Bucket_toilet_Female,Unventilated_pit_latrine_Bucket_toilet_Male,province
NW374,Kgetlengrivier,9243,24,11,13,6042,2905,3137,1061,536,525,252,138,114,628,288,340,1236,609,627,North West
NW375,Moses Kotane,43032,425,209,216,5642,2808,2834,936,441,495,303,163,140,5777,2842,2935,29949,14833,15116,North West
NW381,Ratlou,19693,374,208,166,407,189,218,1997,992,1005,580,300,280,4765,2406,2359,11570,5960,5610,North West
NW382,Tswaing,23261,77,45,32,7748,3886,3862,2510,1251,1259,1049,568,481,2394,1204,1190,9483,4827,4656,North West
NW383,Mafikeng,59326,315,157,158,18363,9582,8781,2080,1099,981,394,201,193,9817,4943,4874,28357,14375,13982,North West
NW385,Ramotshere Moiloa,26939,154,78,76,6127,3031,3096,1235,589,646,392,194,198,1627,830,797,17404,8831,8573,North West
NW392,Naledi,11781,33,16,17,7903,3995,3908,1487,750,737,274,142,132,674,368,306,1410,704,706,North West
NW393,Mamusa,11165,69,28,41,7115,3568,3547,1073,505,568,339,174,165,1477,776,701,1092,540,552,North West
NW394,Greater Taung,33782,189,77,112,3023,1518,1505,2608,1291,1317,294,137,157,9983,5151,4832,17685,9105,8580,North West
NW397,Kagisano/Molopo,18712,1060,551,509,1417,659,758,2126,1011,1115,392,168,224,8794,4716,4078,4923,2574,2349,North West
NW401,Ventersdorp,9893,145,81,64,3784,1895,1889,429,234,195,100,50,50,3661,1837,1824,1774,845,929,North West
NW402,Tlokwe City Council,33711,33,25,8,29521,15044,14477,1671,811,860,320,165,155,450,225,225,1716,887,829,North West
NW403,City of Matlosana,71154,69,32,37,66159,33124,33035,1418,687,731,396,222,174,511,255,256,2601,1244,1357,North West
