geo_code,name,total,Completed,Completed-Female,Completed-Male,Not completed,Not completed-Female,Not completed-Male,province
EC132,Tsolwana,1383,728,405,323,655,254,401,Eastern Cape
EC133,Inkwanca,804,390,228,162,414,172,242,Eastern Cape
EC134,Lukanji,7881,5148,2806,2342,2733,1102,1631,Eastern Cape
EC136,Emalahleni,5609,2992,1661,1331,2617,903,1714,Eastern Cape
EC137,Engcobo,7996,3115,1898,1217,4881,1809,3072,Eastern Cape
EC138,Sakhisizwe,3024,1577,889,688,1447,531,916,Eastern Cape
EC141,Elundini,7046,3452,1941,1511,3594,1383,2211,Eastern Cape
EC142,Senqu,6465,3572,1947,1625,2893,1155,1738,Eastern Cape
EC143,Maletswai,1663,973,537,436,690,317,373,Eastern Cape
EC153,Ngquza Hill,15961,7532,4627,2905,8429,3346,5083,Eastern Cape
EC154,Port St Johns,9391,4083,2443,1640,5308,2153,3155,Eastern Cape
EC155,Nyandeni,16707,8270,4924,3346,8437,3205,5232,Eastern Cape
EC156,Mhlontlo,10061,5318,3026,2292,4743,1681,3062,Eastern Cape
EC441,Matatiele,10058,5019,2843,2176,5039,1895,3144,Eastern Cape
EC442,Umzimvubu,9793,5063,2975,2088,4730,1763,2967,Eastern Cape
EC443,Mbizana,16271,7434,4398,3036,8837,3598,5239,Eastern Cape
EC444,Ntabankulu,6794,2689,1697,992,4105,1709,2396,Free State
FS161,Letsemeng,1391,824,437,387,567,249,318,Free State
FS162,Kopanong,1662,1054,579,475,608,247,361,Free State
FS163,Mohokare,1300,763,436,327,537,218,319,Free State
FS181,Masilonyana,2304,1605,881,724,699,304,395,Free State
FS182,Tokologo,975,559,303,256,416,200,216,Free State
FS183,Tswelopele,1742,1085,600,485,657,285,372,Free State
FS184,Matjhabeng,14539,10860,5880,4980,3679,1500,2179,Free State
FS185,Nala,3044,1998,1070,928,1046,434,612,Free State
FS192,Dihlabeng,4428,3061,1643,1418,1367,570,797,Free State
FS193,Nketoana,2417,1447,794,653,970,417,553,Free State
FS194,Maluti a Phofung,16017,12371,6575,5796,3646,1376,2270,Free State
FS195,Phumelela,1843,1264,690,574,579,257,322,Free State
FS201,Moqhaka,5377,3815,2017,1798,1562,670,892,Free State
FS203,Ngwathe,4132,2773,1496,1277,1359,557,802,Free State
FS204,Metsimaholo,4706,3473,1819,1654,1233,523,710,Free State
FS205,Mafube,2254,1632,946,686,622,241,381,Gauteng
GT421,Emfuleni,23500,19372,10313,9059,4128,1681,2447,Gauteng
GT423,Lesedi,3190,2476,1293,1183,714,293,421,Gauteng
GT481,Mogale City,10002,8045,4172,3873,1957,786,1171,Gauteng
GT482,Randfontein,4478,3475,1825,1650,1003,401,602,Gauteng
GT483,Westonaria,3182,2372,1267,1105,810,365,445,KwaZulu-Natal
KZN211,Vulamehlo,3810,2561,1401,1160,1249,492,757,KwaZulu-Natal
KZN212,Umdoni,2965,2072,1134,938,893,348,545,KwaZulu-Natal
KZN213,Umzumbe,8190,5321,2906,2415,2869,1150,1719,KwaZulu-Natal
KZN214,UMuziwabantu,5225,2830,1641,1189,2395,960,1435,KwaZulu-Natal
KZN215,Ezingoleni,2654,1510,823,687,1144,453,691,KwaZulu-Natal
KZN221,uMshwathi,5013,3280,1807,1473,1733,780,953,KwaZulu-Natal
KZN222,uMngeni,3022,2211,1215,996,811,379,432,KwaZulu-Natal
KZN223,Mpofana,1441,935,506,429,506,206,300,KwaZulu-Natal
KZN224,Impendle,1704,1222,646,576,482,187,295,KwaZulu-Natal
KZN225,The Msunduzi,24070,18509,9730,8779,5561,2182,3379,KwaZulu-Natal
KZN226,Mkhambathini,2590,1623,904,719,967,403,564,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,10133,7358,4098,3260,2775,1080,1695,KwaZulu-Natal
KZN233,Indaka,5564,3786,2067,1719,1778,724,1054,KwaZulu-Natal
KZN234,Umtshezi,3624,2372,1302,1070,1252,593,659,KwaZulu-Natal
KZN235,Okhahlamba,6449,4659,2506,2153,1790,703,1087,KwaZulu-Natal
KZN236,Imbabazane,5701,4114,2230,1884,1587,642,945,KwaZulu-Natal
