geo_code,name,total,Multidimensionally poor,Multidimensionally poor-Female,Multidimensionally poor-Female-Black African,Multidimensionally poor-Female-Coloured,Multidimensionally poor-Female-Indian or Asian,Multidimensionally poor-Female-Other,Multidimensionally poor-Female-White,Multidimensionally poor-Male,Multidimensionally poor-Male-Black African,Multidimensionally poor-Male-Coloured,Multidimensionally poor-Male-Indian or Asian,Multidimensionally poor-Male-Other,Multidimensionally poor-Male-White,Non-poor,Non-poor-Female,Non-poor-Female-Black African,Non-poor-Female-Coloured,Non-poor-Female-Indian or Asian,Non-poor-Female-Other,Non-poor-Female-White,Non-poor-Male,Non-poor-Male-Black African,Non-poor-Male-Coloured,Non-poor-Male-Indian or Asian,Non-poor-Male-Other,Non-poor-Male-White,province
KZN213,Umzumbe,33074,20008,9888,9849,10,12,11,6,10120,10086,8,12,10,4,13066,6526,6505,6,8,1,6,6540,6514,9,3,8,6,KwaZulu-Natal
KZN214,UMuziwabantu,20119,10805,5460,5428,23,6,0,3,5345,5301,20,12,8,4,9314,4727,4639,57,17,2,12,4587,4478,59,26,8,16,KwaZulu-Natal
KZN215,Ezingoleni,10706,5341,2582,2581,0,0,1,0,2759,2755,1,1,1,1,5365,2753,2732,5,7,1,8,2612,2577,6,9,3,17,KwaZulu-Natal
KZN221,uMshwathi,21784,9789,5038,4997,6,19,7,9,4751,4708,3,19,13,8,11995,5988,5764,14,113,10,87,6007,5719,17,136,20,115,KwaZulu-Natal
KZN222,uMngeni,14655,4040,2074,2011,13,30,2,18,1966,1887,18,32,3,26,10615,5301,4463,108,231,5,494,5314,4500,107,265,14,428,KwaZulu-Natal
KZN223,Mpofana,6976,3017,1584,1563,3,13,0,5,1433,1415,3,11,2,2,3959,1880,1760,13,42,9,56,2079,1957,21,38,3,60,KwaZulu-Natal
KZN224,Impendle,6759,3149,1596,1591,0,0,2,3,1553,1548,2,1,0,2,3610,1754,1744,2,2,4,2,1856,1840,8,1,2,5,KwaZulu-Natal
KZN225,The Msunduzi,119872,28431,14191,13483,171,427,32,78,14240,13380,221,498,42,99,91441,46836,39160,1410,4481,90,1695,44605,36980,1374,4444,126,1681,KwaZulu-Natal
KZN226,Mkhambathini,11957,6206,3172,3152,0,9,2,9,3034,3009,6,7,8,4,5751,2806,2695,8,35,0,68,2945,2808,6,40,5,86,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,45157,15634,8139,7998,25,87,6,23,7495,7361,35,72,8,19,29523,15159,14045,198,589,20,307,14364,13196,148,725,29,266,KwaZulu-Natal
KZN233,Indaka,21731,11939,6440,6423,8,6,2,1,5499,5478,3,10,1,7,9792,5085,5064,9,9,1,2,4707,4672,8,20,2,5,KwaZulu-Natal
KZN234,Umtshezi,15803,7258,3817,3729,28,52,3,5,3441,3373,9,53,1,5,8545,4283,3793,70,337,12,71,4262,3729,82,361,16,74,KwaZulu-Natal
KZN235,Okhahlamba,25668,12530,6588,6563,5,10,5,5,5942,5920,2,12,4,4,13138,6513,6425,5,18,5,60,6625,6521,10,22,14,58,KwaZulu-Natal
KZN236,Imbabazane,23651,11910,6156,6144,5,5,1,1,5754,5743,5,3,2,1,11741,5861,5841,4,5,2,9,5880,5860,3,10,6,1,KwaZulu-Natal
KZN242,Nqutu,34677,20379,10768,10738,9,6,5,10,9611,9584,12,7,7,1,14298,7196,7176,7,9,2,2,7102,7082,3,11,2,4,KwaZulu-Natal
KZN244,Msinga,35686,26254,14404,14375,7,13,4,5,11850,11824,6,12,4,4,9432,4946,4919,1,12,1,13,4486,4462,2,10,8,4,KwaZulu-Natal
KZN245,Umvoti,20559,11314,6124,6066,23,23,1,11,5190,5140,18,19,8,5,9245,4815,4537,55,117,7,99,4430,4121,42,157,24,86,KwaZulu-Natal
KZN252,Newcastle,73445,18438,9180,8997,37,79,12,55,9258,9071,52,75,16,44,55007,27811,26196,199,771,32,613,27196,25450,202,877,49,618,KwaZulu-Natal
KZN254,Dannhauser,21445,8643,4169,4144,8,13,0,4,4474,4447,7,15,0,5,12802,6473,6337,13,86,5,32,6329,6140,20,124,8,37,KwaZulu-Natal
KZN261,eDumbe,16779,8299,4231,4212,3,4,2,10,4068,4060,2,3,2,1,8480,4263,4184,4,10,6,59,4217,4132,1,19,6,59,KwaZulu-Natal
KZN262,UPhongolo,27440,12605,6518,6502,4,2,5,5,6087,6078,1,3,2,3,14835,7512,7429,7,7,4,65,7323,7231,9,9,9,65,KwaZulu-Natal
KZN263,Abaqulusi,40665,17629,8811,8750,13,10,12,26,8818,8769,12,10,7,20,23036,11578,11124,60,54,6,334,11458,10960,63,62,27,346,KwaZulu-Natal
KZN265,Nongoma,41991,21322,11189,11152,12,15,4,6,10133,10093,10,14,4,12,20669,10621,10581,9,16,9,6,10048,10006,9,16,11,6,KwaZulu-Natal
KZN266,Ulundi,38211,17333,9070,9045,8,10,4,3,8263,8234,5,13,6,5,20878,10815,10768,14,6,12,15,10063,10019,12,15,9,8,KwaZulu-Natal
KZN272,Jozini,41045,25582,13353,13311,5,12,21,4,12229,12181,6,15,21,6,15463,7989,7926,15,18,15,15,7474,7418,12,20,11,13,KwaZulu-Natal
KZN273,The Big 5 False Bay,6837,4138,2146,2135,5,5,0,1,1992,1980,2,6,3,1,2699,1365,1350,1,2,0,12,1334,1308,2,0,1,23,KwaZulu-Natal
KZN274,Hlabisa,15672,8374,4322,4308,5,6,2,1,4052,4039,3,7,2,1,7298,3714,3696,7,3,6,2,3584,3568,3,8,5,0,KwaZulu-Natal
KZN275,Mtubatuba,36012,16198,8414,8370,16,16,5,7,7784,7740,13,11,10,10,19814,10154,10047,31,28,7,41,9660,9543,34,33,11,39,KwaZulu-Natal
KZN281,Mfolozi,25795,9496,4776,4745,9,14,2,6,4720,4706,6,6,1,1,16299,8270,8222,12,15,1,20,8029,7960,20,15,6,28,KwaZulu-Natal
KZN283,Ntambanana,16326,8771,4390,4380,2,5,2,1,4381,4358,6,13,2,2,7555,3896,3874,14,3,2,3,3659,3643,10,2,1,3,KwaZulu-Natal
KZN284,uMlalazi,42935,23847,12321,12270,18,20,4,9,11526,11458,24,21,12,11,19088,9743,9391,76,132,13,131,9345,9055,87,84,20,99,KwaZulu-Natal
KZN285,Mthonjaneni,9248,5043,2612,2608,1,1,0,2,2431,2417,1,2,8,3,4205,2169,2138,11,8,0,12,2036,2002,11,10,2,11,KwaZulu-Natal
KZN286,Nkandla,23829,14904,7725,7707,3,1,6,8,7179,7167,8,1,3,0,8925,4707,4694,1,3,1,8,4218,4208,2,4,0,4,KwaZulu-Natal
KZN291,Mandeni,28464,11038,5532,5490,11,19,6,6,5506,5450,9,34,6,7,17426,8853,8515,59,195,10,74,8573,8275,35,180,15,68,KwaZulu-Natal
KZN293,Ndwedwe,29301,18444,9305,9239,13,21,26,6,9139,9054,5,34,33,13,10857,5485,5389,8,52,25,11,5372,5271,15,49,29,8,KwaZulu-Natal
KZN294,Maphumulo,20431,13199,7072,7051,7,5,3,6,6127,6101,9,8,5,4,7232,3715,3703,6,1,2,3,3517,3506,1,5,3,2,KwaZulu-Natal
KZN431,Ingwe,20409,13447,6879,6864,5,6,3,1,6568,6546,7,5,7,3,6962,3427,3394,8,5,1,19,3535,3486,10,8,8,23,KwaZulu-Natal
KZN432,Kwa Sani,1497,741,348,347,0,0,1,0,393,388,3,0,0,2,756,343,321,4,0,0,18,413,382,2,2,0,27,KwaZulu-Natal
KZN434,Ubuhlebezwe,20461,12230,6212,6174,22,8,3,5,6018,5980,22,7,5,4,8231,4098,3977,76,19,0,26,4133,4018,62,23,7,23,KwaZulu-Natal
KZN435,Umzimkhulu,38643,24241,12487,12453,19,7,2,6,11754,11711,16,13,8,6,14402,7750,7713,26,7,2,2,6652,6592,32,11,16,1,Limpopo
LIM331,Greater Giyani,56623,24133,12176,12149,5,16,3,3,11957,11938,3,7,7,2,32490,16810,16755,13,26,6,10,15680,15603,4,51,9,13,Limpopo
LIM332,Greater Letaba,49030,19047,9330,9313,2,0,7,8,9717,9676,3,6,25,7,29983,15019,14935,8,7,2,67,14964,14823,18,16,23,84,Limpopo
LIM333,Greater Tzaneen,81806,32441,15628,15543,19,26,13,27,16813,16702,15,32,37,27,49365,25444,24832,28,63,15,506,23921,23184,52,107,36,542,Limpopo
LIM335,Maruleng,20284,8635,4327,4307,3,6,1,10,4308,4281,5,8,8,6,11649,5897,5760,13,8,2,114,5752,5583,9,19,10,131,Limpopo
LIM341,Musina,11716,4839,2653,2629,1,1,8,14,2186,2176,0,1,2,7,6877,3485,3310,10,10,6,149,3392,3241,11,13,7,120,Limpopo
LIM342,Mutale,20107,8862,4473,4464,3,0,4,2,4389,4370,1,4,13,1,11245,5656,5642,0,2,1,11,5589,5558,9,6,5,11,Limpopo
LIM343,Thulamela,139986,54474,26943,26860,14,48,10,11,27531,27457,10,27,30,7,85512,43533,43354,22,127,8,22,41979,41694,29,204,26,26,Limpopo
LIM344,Makhado,107611,40519,19846,19773,17,13,2,41,20673,20574,19,19,25,36,67092,33881,33295,69,72,14,431,33211,32516,66,96,79,454,Limpopo
LIM351,Blouberg,35960,14714,7403,7383,0,3,10,7,7311,7253,4,19,29,6,21246,10881,10845,1,2,6,27,10365,10288,3,21,25,28,Limpopo
LIM353,Molemole,22224,7029,3334,3323,2,3,6,0,3695,3667,5,3,15,5,15195,7607,7542,8,5,4,48,7588,7495,9,14,16,54,Limpopo
LIM354,Polokwane,127650,33799,16441,16216,59,22,48,96,17358,17079,111,33,55,80,93851,48318,46003,397,259,47,1612,45533,42966,409,339,80,1739,Limpopo
LIM355,Lepele-Nkumpi,46979,15277,7465,7452,4,1,5,3,7812,7776,7,16,11,2,31702,16058,16018,7,4,8,21,15644,15597,3,23,12,9,Limpopo
LIM361,Thabazimbi,11073,4105,1961,1876,5,0,7,73,2144,2070,3,4,9,58,6968,3278,2640,27,11,4,596,3690,3056,25,6,13,590,Limpopo
LIM362,Lephalale,20975,7085,3483,3436,2,0,7,38,3602,3550,9,8,12,23,13890,6621,6191,26,5,4,395,7269,6751,26,28,17,447,Limpopo
LIM365,Modimolle,11474,4070,2090,2044,5,5,4,32,1980,1942,4,12,7,15,7404,3629,3344,10,6,2,267,3775,3491,17,30,9,228,Limpopo
LIM366,Bela-Bela,10823,3623,1828,1776,24,7,1,20,1795,1731,32,8,5,19,7200,3549,3178,59,18,3,291,3651,3298,54,17,11,271,Eastern Cape
BUF,Buffalo City,129070,39571,18985,18054,687,34,30,180,20586,19397,913,34,71,171,89499,46811,40453,3268,316,92,2682,42688,36464,2973,370,242,2639,Eastern Cape
EC101,Camdeboo,8039,2205,1115,252,847,2,1,13,1090,236,836,3,1,14,5834,2856,702,1986,7,13,148,2978,620,2150,24,19,165,Eastern Cape
EC105,Ndlambe,9354,3725,1742,1583,130,1,3,25,1983,1835,118,6,13,11,5629,2890,2395,242,3,13,237,2739,2229,236,10,43,221,Eastern Cape
EC122,Mnquma,48489,27561,12753,12731,6,9,4,3,14808,14765,17,9,11,6,20928,10837,10776,22,15,7,17,10091,10022,15,20,21,13,Eastern Cape
EC128,Nxuba,3791,1503,707,545,155,2,3,2,796,623,166,2,1,4,2288,1110,805,254,9,6,36,1178,843,270,9,15,41,Eastern Cape
EC135,Intsika Yethu,25996,16466,7327,7306,13,0,8,0,9139,9071,29,12,27,0,9530,4685,4661,13,3,1,7,4845,4793,13,18,13,8,Eastern Cape
EC144,Gariep,5699,2257,1103,883,204,1,4,11,1154,896,234,1,11,12,3442,1655,1340,207,1,4,103,1787,1435,257,9,6,80,Eastern Cape
EC157,King Sabata Dalindyebo,95646,51425,25321,25216,60,21,12,12,26104,25970,63,26,29,16,44221,23775,23440,217,45,20,53,20446,20060,199,83,60,44,Eastern Cape
NMA,Nelson Mandela Bay,200853,52569,25445,18539,6006,114,167,619,27124,19476,6712,125,239,572,148284,75789,46101,18729,870,526,9563,72495,43474,17135,921,1018,9947,Eastern Cape
FS164,Naledi,4727,1679,909,893,12,1,0,3,770,744,15,0,4,7,3048,1508,1445,23,4,0,36,1540,1445,22,18,10,45,Free State
FS191,Setsoto,21062,7878,4155,4087,33,7,2,26,3723,3669,26,4,8,16,13184,6649,6262,65,56,3,263,6535,6101,71,72,16,275,Free State
FS196,Mantsopa,9535,3292,1745,1687,41,2,4,11,1547,1486,41,2,6,12,6243,3106,2812,131,21,7,135,3137,2832,136,23,24,122,Free State
MAN,Mangaung,140670,35480,18269,17215,697,29,24,304,17211,16224,693,31,41,222,105190,53333,44729,2872,163,101,5468,51857,43496,2622,298,197,5244,Free State
EKU,Ekurhuleni,520026,122828,60789,57568,1178,323,254,1466,62039,58707,1309,354,331,1338,397198,198309,164519,6448,3657,462,23223,198889,164440,5941,4108,1022,23378,Gauteng
GT422,Midvaal,14022,3543,1801,1605,13,12,11,160,1742,1560,12,5,3,162,10479,5060,2964,103,43,13,1937,5419,3293,101,31,23,1971,Gauteng
GT484,Merafong City,31236,9930,5161,4953,48,4,5,151,4769,4583,48,8,12,118,21306,10535,9228,117,31,9,1150,10771,9409,122,46,34,1160,Gauteng
JHB,City of Johannesburg,677268,129183,64576,60345,2307,802,370,752,64607,59557,2986,805,466,793,548085,277460,225921,18223,11198,1072,21046,270625,218991,17118,11727,1412,21377,Gauteng
TSH,City of Tshwane,477423,94858,46270,43702,549,277,282,1460,48588,45907,655,314,341,1371,382565,195285,158107,4240,2917,543,29478,187280,149741,3896,3283,903,29457,Gauteng
ETH,eThekwini,656698,148789,73953,68256,907,4107,195,488,74836,68642,971,4496,239,488,507909,258078,197989,6670,43144,808,9467,249831,189437,6234,43311,1039,9810,KwaZulu-Natal
KZN216,Hibiscus Coast,47923,16066,7901,7694,42,97,8,60,8165,7909,44,125,7,80,31857,16539,14510,291,895,28,815,15318,13232,277,930,37,842,KwaZulu-Natal
KZN227,Richmond,12348,5659,2936,2912,7,8,1,8,2723,2690,16,8,4,5,6689,3243,3110,46,44,9,34,3446,3291,37,65,9,44,KwaZulu-Natal
