geo_code,name,total,Collective living quarters,Commercial,Farms,Formal residential,Industrial,Informal residential,Parks and recreation,Small holdings,Traditional residential,Vacant,province
EC136,Emalahleni,24070,247,210,1098,4133,0,163,0,0,18184,35,Eastern Cape
EC137,Engcobo,31616,78,0,0,1955,71,162,0,0,29182,168,Eastern Cape
EC138,Sakhisizwe,13148,105,0,622,5540,4,0,37,46,6791,3,Eastern Cape
EC141,Elundini,29366,66,81,497,8028,0,118,36,0,20241,299,Eastern Cape
EC142,Senqu,28709,0,218,1071,4103,0,340,0,0,22890,87,Eastern Cape
EC143,Maletswai,8319,74,96,657,6582,1,907,0,2,0,0,Eastern Cape
EC153,Ngquza Hill,62596,66,96,17,2174,46,675,0,0,59341,181,Eastern Cape
EC154,Port St Johns,36090,130,0,0,201,7,0,0,0,35639,113,Eastern Cape
EC155,Nyandeni,67755,94,0,0,1777,0,194,1,0,65629,60,Eastern Cape
EC156,Mhlontlo,42253,360,248,28,2208,8,130,4,19,39153,95,Eastern Cape
EC441,Matatiele,43713,9,37,1017,5117,0,238,0,0,37273,22,Eastern Cape
EC442,Umzimvubu,41960,84,174,0,3254,0,687,0,0,37683,78,Eastern Cape
EC443,Mbizana,63372,66,50,104,1689,0,258,0,0,61154,51,Eastern Cape
EC444,Ntabankulu,27822,5,0,0,586,0,43,0,0,27131,57,Free State
FS161,Letsemeng,7230,0,0,1150,5537,157,166,0,196,0,24,Free State
FS162,Kopanong,8922,0,0,1358,7507,9,7,4,4,0,33,Free State
FS163,Mohokare,6615,5,0,1019,5539,36,0,0,0,0,16,Free State
FS181,Masilonyana,11832,437,0,762,10460,30,129,0,11,0,3,Free State
FS182,Tokologo,5425,284,20,962,4066,0,69,0,0,0,24,Free State
FS183,Tswelopele,9156,0,113,1375,7494,0,155,2,0,0,17,Free State
FS184,Matjhabeng,79774,2833,141,1615,70287,426,4319,10,42,0,101,Free State
FS185,Nala,15300,0,127,1418,13523,163,67,0,0,0,2,Free State
FS192,Dihlabeng,23314,73,35,3844,18912,40,223,43,133,0,11,Free State
FS193,Nketoana,11754,0,24,1695,9628,95,309,0,0,0,3,Free State
FS194,Maluti a Phofung,73333,686,69,1036,27661,282,1212,16,85,42231,55,Free State
FS195,Phumelela,9193,0,0,1825,6501,22,739,1,0,0,105,Free State
FS201,Moqhaka,29818,1940,162,2854,24016,252,231,60,288,0,15,Free State
FS203,Ngwathe,21887,0,30,1535,20095,18,197,0,0,0,12,Free State
FS204,Metsimaholo,28171,908,7,402,25986,375,146,0,335,0,12,Free State
FS205,Mafube,11207,0,0,777,9975,7,438,0,8,0,2,Gauteng
GT421,Emfuleni,143100,2904,1995,410,120844,649,13372,0,2915,0,11,Gauteng
GT423,Lesedi,18125,696,3,1446,13902,22,1061,0,989,0,6,Gauteng
GT481,Mogale City,67086,4023,406,1652,52038,236,3684,68,4976,0,3,Gauteng
GT482,Randfontein,26370,503,2,1218,20146,100,2026,0,2371,0,4,Gauteng
GT483,Westonaria,20691,1019,112,310,11483,258,6136,0,1373,0,0,KwaZulu-Natal
KZN211,Vulamehlo,16768,0,0,454,0,0,0,0,0,16307,7,KwaZulu-Natal
