geo_code,name,total,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,Northern Cape,North West,Outside South Africa,Unspecified,Western Cape,province
KZN252,Newcastle,75129,378,592,1584,68864,177,1192,301,137,741,1049,114,KwaZulu-Natal
KZN254,Dannhauser,21651,50,37,288,20710,36,71,86,31,62,262,18,KwaZulu-Natal
KZN261,eDumbe,16980,40,15,221,15850,23,263,110,51,176,200,31,KwaZulu-Natal
KZN262,UPhongolo,28063,72,24,195,26010,50,364,140,28,687,466,27,KwaZulu-Natal
KZN263,Abaqulusi,42514,112,62,403,40184,68,182,197,53,241,963,49,KwaZulu-Natal
KZN265,Nongoma,43224,107,15,112,41357,89,82,208,60,98,1067,29,KwaZulu-Natal
KZN266,Ulundi,39694,121,21,178,38109,60,89,189,69,110,727,21,KwaZulu-Natal
KZN272,Jozini,41459,104,19,50,39570,89,60,253,45,312,925,32,KwaZulu-Natal
KZN273,The Big 5 False Bay,7479,20,6,25,6972,13,22,27,7,32,340,15,KwaZulu-Natal
KZN274,Hlabisa,15988,51,6,32,15413,20,33,98,26,31,269,9,KwaZulu-Natal
KZN275,Mtubatuba,37274,157,19,87,35062,61,110,254,44,277,1154,49,KwaZulu-Natal
KZN281,Mfolozi,26369,98,20,60,24780,30,107,175,46,133,887,33,KwaZulu-Natal
KZN283,Ntambanana,16528,54,4,20,15716,22,36,122,21,30,491,12,KwaZulu-Natal
KZN284,uMlalazi,45318,177,26,101,42925,60,116,250,78,265,1272,48,KwaZulu-Natal
KZN285,Mthonjaneni,9717,42,5,17,9230,27,36,77,15,85,181,2,KwaZulu-Natal
KZN286,Nkandla,24303,80,12,258,23246,25,44,128,33,32,431,14,KwaZulu-Natal
KZN291,Mandeni,29120,296,19,60,27089,88,64,130,72,395,871,36,KwaZulu-Natal
KZN293,Ndwedwe,29549,604,10,26,27466,72,65,181,49,75,973,28,KwaZulu-Natal
KZN294,Maphumulo,20649,87,7,77,19800,36,43,129,47,10,386,27,KwaZulu-Natal
KZN431,Ingwe,20898,132,9,44,20018,34,40,105,34,90,367,25,KwaZulu-Natal
KZN432,Kwa Sani,2258,65,7,13,2079,1,11,17,10,20,32,3,KwaZulu-Natal
KZN434,Ubuhlebezwe,21052,285,15,39,19789,38,47,125,39,65,589,21,KwaZulu-Natal
KZN435,Umzimkhulu,39333,5456,50,269,32455,59,77,154,58,93,608,54,Limpopo
LIM331,Greater Giyani,57506,23,57,868,18,54346,118,10,21,1305,560,180,Limpopo
LIM332,Greater Letaba,49801,37,55,584,29,46500,70,8,33,1767,575,143,Limpopo
LIM333,Greater Tzaneen,82601,70,135,1127,96,77427,390,29,94,2257,760,216,Limpopo
LIM335,Maruleng,20618,30,38,261,24,19216,330,12,30,307,283,87,Limpopo
LIM341,Musina,12746,23,28,170,14,7951,56,31,22,4327,78,46,Limpopo
LIM342,Mutale,20339,4,18,230,12,19359,36,3,7,429,179,62,Limpopo
LIM343,Thulamela,141291,83,143,2481,58,132019,294,21,82,4447,1307,356,Limpopo
LIM344,Makhado,109250,79,177,2399,91,101123,208,37,92,3804,877,363,Limpopo
LIM351,Blouberg,36350,21,40,568,13,34326,67,13,33,836,333,100,Limpopo
LIM353,Molemole,22428,12,36,525,31,20413,61,9,40,1001,246,54,Limpopo
LIM354,Polokwane,131126,303,431,3521,352,117643,1356,128,514,5032,1437,409,Limpopo
LIM355,Lepele-Nkumpi,47529,61,72,890,26,44781,204,23,65,757,547,103,Limpopo
LIM361,Thabazimbi,12881,1685,382,783,180,6008,273,89,2141,1189,92,59,Limpopo
LIM362,Lephalale,22373,205,96,648,187,18885,261,46,181,1472,259,133,Limpopo
LIM365,Modimolle,12371,47,79,461,15,10450,226,5,141,791,122,34,Limpopo
LIM366,Bela-Bela,11241,32,73,566,52,8877,381,20,353,691,121,75,Eastern Cape
BUF,Buffalo City,136140,127005,389,1716,876,164,325,375,151,1563,1963,1613,Eastern Cape
EC101,Camdeboo,8272,7541,21,140,15,3,27,45,18,31,69,362,Eastern Cape
EC105,Ndlambe,9523,8751,41,167,45,16,38,39,10,165,154,97,Eastern Cape
EC122,Mnquma,49053,46140,77,758,97,29,67,90,49,176,633,937,Eastern Cape
EC128,Nxuba,3874,3645,19,35,5,2,5,12,2,51,22,76,Eastern Cape
EC135,Intsika Yethu,26423,24032,74,633,34,27,61,59,32,218,307,946,Eastern Cape
EC144,Gariep,5796,5110,155,184,19,11,24,56,11,67,66,93,Eastern Cape
EC157,King Sabata Dalindyebo,99954,95118,107,719,442,92,182,222,48,705,1700,619,Eastern Cape
NMA,Nelson Mandela Bay,208145,189599,863,3630,1361,439,640,834,272,4044,3355,3108,Eastern Cape
FS164,Naledi,4779,46,4453,47,6,21,4,3,12,146,23,18,Free State
FS191,Setsoto,21325,97,19855,367,91,70,40,28,71,552,107,47,Free State
FS196,Mantsopa,9635,63,8839,145,38,41,14,20,39,350,60,26,Free State
MAN,Mangaung,146667,4908,123914,2931,1127,1116,564,2927,1967,4720,1368,1125,Free State
EKU,Ekurhuleni,563328,30920,12527,326670,39300,62741,28356,2496,5123,42532,6523,6140,Gauteng
GT422,Midvaal,15010,529,1150,9917,515,525,299,58,161,1393,248,215,Gauteng
GT484,Merafong City,33127,4798,1303,17704,1155,702,534,239,3356,2706,273,357,Gauteng
JHB,City of Johannesburg,765928,34418,14158,414491,59472,82640,18674,3941,20505,99323,9353,8953,Gauteng
TSH,City of Tshwane,523611,10279,7866,290771,12322,84080,34328,3176,29476,37927,6593,6793,Gauteng
ETH,eThekwini,697265,31958,1707,7178,614951,2050,2479,4210,1576,12393,16637,2126,KwaZulu-Natal
KZN216,Hibiscus Coast,49405,4789,164,828,41241,105,190,248,135,319,1199,187,KwaZulu-Natal
KZN227,Richmond,12612,391,28,39,11569,26,23,68,10,225,212,21,KwaZulu-Natal
KZN241,Endumeni,12604,67,52,215,11783,34,46,43,38,100,196,30,KwaZulu-Natal
KZN253,Emadlangeni,6437,35,20,81,5917,26,168,42,12,42,82,12,KwaZulu-Natal
KZN271,Umhlabuyalingana,33511,62,8,61,32164,49,30,169,24,198,727,19,KwaZulu-Natal
KZN282,uMhlathuze,68911,485,205,864,63472,193,476,429,225,949,1447,166,KwaZulu-Natal
KZN292,KwaDukuza,45401,2933,75,565,38661,113,111,205,97,2002,552,87,KwaZulu-Natal
KZN433,Greater Kokstad,13592,3909,16,176,8814,16,30,57,18,139,348,69,KwaZulu-Natal
LIM334,Ba-Phalaborwa,30027,64,60,476,70,26565,1377,39,70,947,260,99,KwaZulu-Natal
LIM352,Aganang,27538,22,35,576,17,26214,46,7,42,298,229,52,Limpopo
LIM364,Mookgopong,6060,26,30,168,19,4643,94,17,40,960,35,28,Limpopo
LIM367,Mogalakwena,64036,76,148,1578,90,59640,285,46,173,1273,550,177,Limpopo
LIM471,Ephraim Mogale,25305,35,64,513,65,21395,1095,15,78,1672,285,88,Limpopo
LIM472,Elias Motsoaledi,52292,125,163,1934,226,43215,4226,53,148,1455,543,204,Limpopo
LIM473,Makhuduthamaga,56369,66,79,716,46,53633,421,19,64,391,674,260,Limpopo
LIM474,Fetakgomo,19284,56,50,177,12,18272,74,17,30,175,343,78,Limpopo
LIM475,Greater Tubatse,71199,280,252,1003,136,65668,1318,59,233,978,981,291,Limpopo
MP301,Albert Luthuli,41524,319,48,729,1032,265,37378,203,88,1114,300,48,Limpopo
MP302,Msukaligwa,28677,283,141,688,1257,237,24842,162,133,523,353,58,Mpumalanga
MP304,Pixley Ka Seme,15934,134,121,517,984,107,13499,113,40,151,241,27,Mpumalanga
MP305,Lekwa,20764,423,634,777,1010,193,16902,148,118,332,161,66,Mpumalanga
MP306,Dipaleseng,7923,159,260,957,228,97,5846,70,50,100,126,30,Mpumalanga
MP307,Govan Mbeki,56185,3215,2050,2808,3597,1663,38643,540,461,2039,854,315,Mpumalanga
MP312,Emalahleni,74900,2333,932,3234,3291,7852,51362,455,614,3625,893,309,Mpumalanga
MP313,Steve Tshwete,40979,1022,496,2253,1790,3617,28513,320,480,1743,531,214,Mpumalanga
MP314,Emakhazeni,8429,89,30,223,128,230,7184,72,60,265,132,16,Mpumalanga
MP315,Thembisile,64622,399,229,8007,738,4970,47496,209,602,1072,784,116,Mpumalanga
MP316,Dr JS Moroka,52015,273,78,2532,351,5235,41308,216,565,660,727,70,Mpumalanga
MP321,Thaba Chweu,16678,171,228,821,249,1299,12399,164,251,744,275,77,Mpumalanga
MP323,Umjindi,12011,147,77,307,231,157,9931,57,67,873,132,32,Mpumalanga
MP324,Nkomazi,92040,602,129,777,892,518,79006,417,241,7677,1678,103,Mpumalanga
MP325,Bushbuckridge,125729,541,73,590,623,3328,117667,437,167,1029,1193,81,Mpumalanga
NW371,Moretele,35170,81,125,2718,165,3029,725,58,27264,583,372,50,Mpumalanga
NW372,Madibeng,85926,2928,1208,8379,1007,6290,1976,420,52228,10335,860,295,North West
NW374,Kgetlengrivier,8804,57,135,463,96,129,89,56,7299,348,108,24,North West
NW375,Moses Kotane,42561,582,202,976,364,997,212,114,37216,1092,725,81,North West
NW381,Ratlou,19707,33,56,299,122,32,39,74,18676,116,229,31,North West
NW382,Tswaing,23260,48,76,382,163,29,65,64,22098,134,167,34,North West
NW383,Mafikeng,58005,215,469,1335,392,309,331,856,52152,1177,651,118,North West
NW385,Ramotshere Moiloa,26128,69,89,649,175,106,112,79,23992,515,268,74,North West
NW392,Naledi,11812,52,83,190,57,32,50,567,10453,153,126,49,North West
NW393,Mamusa,11126,33,71,163,54,15,32,75,10455,94,119,15,North West
NW394,Greater Taung,33434,49,114,481,90,47,64,1114,30877,206,350,42,North West
NW397,Kagisano/Molopo,18687,34,52,84,83,33,38,411,17514,172,239,27,North West
NW401,Ventersdorp,9905,23,63,304,71,31,50,31,9066,175,67,24,North West
NW402,Tlokwe City Council,32748,446,2056,3324,519,554,748,647,22789,835,352,478,North West
NW403,City of Matlosana,70467,3818,5074,2074,946,402,644,716,53659,2330,500,304,North West
NW404,Maquassi Hills,14121,41,359,172,78,28,42,72,13000,132,166,31,North West
NC061,Richtersveld,1723,86,5,13,7,3,6,1458,13,28,14,90,North West
NC064,Kamiesberg,1308,12,0,5,8,0,6,1061,6,13,9,188,Northern Cape
NC065,Hantam,3310,45,6,27,25,3,9,2751,1,15,33,395,Northern Cape
NC066,Karoo Hoogland,1604,29,8,2,6,1,2,1310,2,2,7,235,Northern Cape
NC067,Kh̢i-Ma,2156,55,25,30,14,1,6,1608,275,44,12,86,Northern Cape
NC072,Umsobomvu,4796,285,145,132,32,12,41,3932,7,48,24,138,Northern Cape
NC073,Emthanjeni,7069,237,89,140,53,17,32,6039,39,71,29,323,Northern Cape
NC074,Kareeberg,1739,34,15,25,6,7,6,1494,10,5,0,137,Northern Cape
NC075,Renosterberg,1726,29,40,57,25,2,5,1468,6,16,20,58,Northern Cape
NC076,Thembelihle,2695,62,64,123,13,13,23,2257,30,26,20,64,Northern Cape
NC078,Siyancuma,6168,60,80,159,30,13,20,5487,80,61,72,106,Northern Cape
NC081,Mier,1129,9,7,10,6,1,4,970,6,97,1,18,Northern Cape
NC082,Kai !Garib,14041,202,194,219,76,16,52,9461,3189,239,97,296,Northern Cape
NC083,//Khara Hais,16680,314,134,333,97,39,56,14525,179,470,118,415,Northern Cape
NC084,!Kheis,2487,30,20,59,10,4,6,2229,30,54,12,33,Northern Cape
NC086,Kgatelopele,3317,63,55,65,61,13,19,2840,137,22,6,36,Northern Cape
NC091,Sol Plaatjie,43654,812,1200,829,455,139,118,36950,1260,901,481,509,Northern Cape
NC092,Dikgatlong,8162,98,78,111,71,11,36,7239,263,114,91,50,Northern Cape
NC093,Magareng,4383,42,64,146,18,17,16,3807,182,45,33,13,Northern Cape
NC451,Joe Morolong,16152,99,53,59,59,26,46,14720,759,113,193,25,Northern Cape
NC452,Ga-Segonyana,17877,154,75,190,80,79,62,15963,705,276,232,61,Northern Cape
NC453,Gamagara,7156,107,118,176,95,72,77,5428,696,184,81,122,Northern Cape
CPT,City of Cape Town,661411,134534,3592,20639,7944,2130,2507,5469,1510,29674,9278,444134,Northern Cape
