geo_code,name,total,Afrikaans,English,IsiNdebele,IsiXhosa,IsiZulu,Other,Sepedi,Sesotho,Setswana,Sign language,Siswati,Tshivenda,Xitsonga,province
EC137,Engcobo,29894,268,655,76,28180,88,85,77,112,54,280,3,14,2,Eastern Cape
EC138,Sakhisizwe,12644,149,336,36,11712,35,57,53,60,22,171,0,6,7,Eastern Cape
EC141,Elundini,28412,415,469,61,19381,91,79,66,7624,28,170,6,17,5,Eastern Cape
EC142,Senqu,27396,503,359,57,20243,66,121,39,5781,39,152,0,14,22,Eastern Cape
EC143,Maletswai,8098,980,183,6,5232,18,38,18,1578,10,33,0,1,1,Eastern Cape
EC153,Ngquza Hill,59427,231,1523,118,55976,544,206,202,96,82,397,6,28,18,Eastern Cape
EC154,Port St Johns,34388,183,969,82,32647,155,16,76,55,49,135,1,14,6,Eastern Cape
EC155,Nyandeni,64655,324,1544,129,61345,185,81,171,157,87,524,31,57,20,Eastern Cape
EC156,Mhlontlo,40277,237,961,74,38184,151,65,102,104,75,254,8,49,13,Eastern Cape
EC441,Matatiele,41022,642,1159,149,23704,782,183,106,13700,69,479,11,21,17,Eastern Cape
EC442,Umzimvubu,39663,210,1087,103,36945,266,426,83,192,52,230,16,19,34,Eastern Cape
EC443,Mbizana,60208,309,1338,148,56289,897,124,180,186,112,580,7,23,15,Eastern Cape
EC444,Ntabankulu,26569,229,421,56,25228,109,30,89,153,44,200,3,5,2,Free State
FS161,Letsemeng,6733,4240,80,15,772,42,23,18,857,659,13,2,2,10,Free State
FS162,Kopanong,8383,2646,139,22,1846,44,41,8,3393,171,53,4,7,9,Free State
FS163,Mohokare,6421,402,49,6,1503,10,41,12,4301,29,66,1,0,1,Free State
FS181,Masilonyana,10946,780,375,32,1245,58,41,19,7493,724,140,4,8,27,Free State
FS182,Tokologo,4968,691,92,56,570,41,29,6,436,3009,24,4,6,4,Free State
FS183,Tswelopele,8867,510,180,78,1883,44,46,22,4930,1039,86,13,10,26,Free State
FS184,Matjhabeng,75962,7183,2653,286,10045,1454,896,197,49865,1274,942,135,143,889,Free State
FS185,Nala,14927,752,317,188,1362,219,104,20,11156,571,176,15,28,19,Free State
FS192,Dihlabeng,22403,1966,480,40,123,1024,85,29,18186,89,353,7,8,13,Free State
FS193,Nketoana,11393,632,101,25,83,1150,34,12,9072,32,238,5,2,7,Free State
FS194,Maluti a Phofung,72912,1114,1059,233,386,8185,122,70,60238,265,1151,35,27,27,Free State
FS195,Phumelela,8898,389,96,34,40,5174,55,20,2971,27,67,15,4,6,Free State
FS201,Moqhaka,26472,2673,731,96,1046,332,175,49,20552,284,427,21,20,66,Free State
FS203,Ngwathe,21161,2022,372,78,1940,754,199,44,15077,210,376,20,24,45,Free State
FS204,Metsimaholo,26672,3400,870,98,2231,1664,246,477,16714,260,386,55,112,159,Free State
FS205,Mafube,10802,604,137,43,170,2259,56,22,7257,32,169,12,1,40,Gauteng
GT421,Emfuleni,137855,13121,5689,697,11548,18749,2513,3152,71886,3948,1629,941,1265,2717,Gauteng
GT423,Lesedi,16977,2445,702,452,703,7618,264,208,3986,158,135,76,63,167,Gauteng
GT481,Mogale City,61201,7815,5047,1244,6156,7959,1657,2526,3504,20273,358,319,1515,2828,Gauteng
GT482,Randfontein,25429,6568,1307,241,2356,1784,340,1075,1587,8890,102,100,189,890,Gauteng
GT483,Westonaria,20141,1271,766,112,5958,2093,425,350,3653,3055,151,318,162,1827,KwaZulu-Natal
KZN211,Vulamehlo,15933,62,254,210,123,15084,3,53,10,62,49,5,16,2,KwaZulu-Natal
KZN212,Umdoni,14817,168,2596,131,833,10807,48,26,34,52,104,3,2,13,KwaZulu-Natal
KZN213,Umzumbe,33441,94,284,298,272,32078,37,72,32,160,98,6,9,1,KwaZulu-Natal
KZN214,UMuziwabantu,20551,114,516,271,1056,18204,34,66,79,111,81,3,14,2,KwaZulu-Natal
KZN215,Ezingoleni,10861,24,86,78,157,10423,15,17,1,31,24,2,1,2,KwaZulu-Natal
KZN221,uMshwathi,22176,85,807,216,172,20324,108,30,233,91,83,9,6,12,KwaZulu-Natal
KZN222,uMngeni,15706,201,2600,143,300,11511,127,31,603,59,111,7,7,6,KwaZulu-Natal
KZN223,Mpofana,7273,52,373,91,59,6442,45,12,47,43,105,1,0,3,KwaZulu-Natal
KZN224,Impendle,6857,7,106,83,31,6441,7,13,84,47,34,2,2,0,KwaZulu-Natal
KZN225,The Msunduzi,124236,1659,19562,1273,2941,94180,1024,256,1822,546,777,66,62,68,KwaZulu-Natal
KZN226,Mkhambathini,12649,72,372,111,722,11015,24,18,198,43,67,4,3,0,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,46170,715,2996,502,140,40647,222,92,316,225,244,23,14,34,KwaZulu-Natal
KZN233,Indaka,21865,70,262,276,34,20904,15,42,22,92,135,0,5,8,KwaZulu-Natal
KZN234,Umtshezi,16073,133,1477,202,33,13901,62,42,52,84,66,9,2,10,KwaZulu-Natal
KZN235,Okhahlamba,26414,140,405,302,42,24933,58,38,178,158,141,5,7,7,KwaZulu-Natal
KZN236,Imbabazane,23912,51,438,297,29,22765,20,74,30,135,55,12,3,3,KwaZulu-Natal
KZN242,Nqutu,34983,105,378,310,52,31581,68,31,2174,145,115,9,7,8,KwaZulu-Natal
KZN244,Msinga,36126,91,408,464,26,34666,16,70,53,179,134,3,10,6,KwaZulu-Natal
KZN245,Umvoti,20839,116,883,177,55,19183,97,42,51,82,132,2,4,15,KwaZulu-Natal
KZN252,Newcastle,75162,1577,4289,736,245,66027,401,119,635,341,565,142,34,51,KwaZulu-Natal
KZN254,Dannhauser,21650,88,414,212,39,20445,30,27,202,87,86,9,8,3,KwaZulu-Natal
KZN261,eDumbe,17002,123,218,163,23,16048,100,36,17,95,93,74,3,9,KwaZulu-Natal
KZN262,UPhongolo,28088,229,290,387,40,26474,45,55,15,144,129,245,6,29,KwaZulu-Natal
KZN263,Abaqulusi,42524,784,899,467,34,39362,147,71,329,200,121,70,8,32,KwaZulu-Natal
KZN265,Nongoma,43232,78,468,435,36,41747,51,54,21,157,142,17,13,13,KwaZulu-Natal
KZN266,Ulundi,39694,93,631,422,33,38000,65,74,28,180,119,12,27,10,KwaZulu-Natal
KZN272,Jozini,41473,93,603,465,38,39310,91,76,34,253,240,235,11,24,KwaZulu-Natal
KZN273,The Big 5 False Bay,7482,51,124,92,4,7057,18,27,1,38,54,3,9,4,KwaZulu-Natal
KZN274,Hlabisa,15989,37,256,230,15,15177,13,30,19,112,85,3,11,1,KwaZulu-Natal
KZN275,Mtubatuba,37294,177,1147,454,60,34813,137,63,30,182,119,56,29,27,KwaZulu-Natal
KZN281,Mfolozi,26390,147,819,388,41,24439,65,81,22,210,119,17,12,30,KwaZulu-Natal
KZN283,Ntambanana,16530,44,268,252,11,15765,21,29,9,80,41,3,6,1,KwaZulu-Natal
KZN284,uMlalazi,45338,279,1429,641,96,41964,203,113,49,308,191,16,28,21,KwaZulu-Natal
KZN285,Mthonjaneni,9718,53,161,150,17,9145,43,11,2,71,46,7,2,10,KwaZulu-Natal
KZN286,Nkandla,24304,72,367,300,25,23185,17,62,27,145,93,2,3,6,KwaZulu-Natal
KZN291,Mandeni,29133,169,1245,344,239,26280,232,88,45,131,246,42,15,57,KwaZulu-Natal
KZN293,Ndwedwe,29556,117,610,438,566,27198,48,62,22,186,277,13,7,12,KwaZulu-Natal
KZN294,Maphumulo,20652,50,319,290,34,19636,12,52,13,116,121,1,7,1,KwaZulu-Natal
KZN431,Ingwe,20906,46,264,230,67,19948,28,47,86,105,76,3,1,5,KwaZulu-Natal
KZN432,Kwa Sani,2259,10,93,18,57,2019,7,6,37,7,5,0,0,0,KwaZulu-Natal
KZN434,Ubuhlebezwe,21053,58,562,273,356,19384,30,40,73,123,139,7,5,3,KwaZulu-Natal
KZN435,Umzimkhulu,39335,143,648,269,18377,18539,590,127,192,120,286,6,12,26,Limpopo
LIM331,Greater Giyani,57528,61,529,25,11,41,494,2337,1369,37,71,99,298,52156,Limpopo
LIM332,Greater Letaba,49849,277,406,212,36,315,1101,40263,783,121,65,15,188,6067,Limpopo
LIM333,Greater Tzaneen,82671,1124,1066,205,63,400,2515,39311,3271,179,114,146,287,33990,Limpopo
LIM335,Maruleng,20622,283,242,101,35,167,164,18906,21,133,13,21,38,498,Limpopo
LIM341,Musina,12887,359,597,558,21,60,1964,1042,1165,33,24,18,6531,515,Limpopo
LIM342,Mutale,20358,72,64,6,3,15,220,35,32,4,17,44,19704,142,Limpopo
LIM343,Thulamela,141556,330,1176,84,40,106,2843,586,140,83,163,301,88099,47605,Limpopo
LIM344,Makhado,109391,1364,1151,223,64,180,2377,2616,1078,102,87,202,75546,24401,Limpopo
LIM351,Blouberg,36380,138,365,276,36,309,396,34165,109,133,43,13,248,149,Limpopo
LIM353,Molemole,22480,158,324,189,26,224,643,19788,209,77,21,7,411,403,Limpopo
LIM354,Polokwane,131206,4529,3758,1363,290,1473,3150,107319,812,824,300,344,3267,3777,Limpopo
LIM355,Lepele-Nkumpi,47558,101,437,2166,66,498,550,41123,268,209,73,43,111,1913,Limpopo
LIM361,Thabazimbi,12941,1588,490,160,1746,305,428,1002,400,5489,56,95,177,1005,Limpopo
LIM362,Lephalale,22418,1157,681,318,189,392,706,12390,268,5226,39,39,394,619,Limpopo
LIM365,Modimolle,12379,727,221,197,68,145,409,8117,388,643,56,21,169,1218,Limpopo
LIM366,Bela-Bela,11261,883,429,347,54,167,701,4586,596,2030,23,37,112,1296,Eastern Cape
BUF,Buffalo City,136181,9061,12617,344,110164,624,942,360,482,291,1057,36,83,120,Eastern Cape
EC101,Camdeboo,8272,6652,216,13,1250,21,30,13,16,42,13,2,3,1,Eastern Cape
EC105,Ndlambe,9535,1026,685,28,7531,32,99,15,29,22,45,5,9,9,Eastern Cape
EC122,Mnquma,49059,257,729,105,47055,137,131,86,140,51,322,14,20,12,Eastern Cape
EC128,Nxuba,3874,949,131,6,2702,7,32,10,6,8,18,0,2,3,Eastern Cape
EC135,Intsika Yethu,26431,125,491,50,25166,63,131,48,109,29,191,1,17,10,Eastern Cape
EC144,Gariep,5797,1171,76,5,4248,27,39,11,152,8,47,2,3,8,Eastern Cape
EC157,King Sabata Dalindyebo,99984,630,3654,226,92883,383,388,212,375,144,959,35,59,36,Eastern Cape
NMA,Nelson Mandela Bay,208279,57543,25703,638,117241,1018,2567,489,915,716,987,78,211,173,Eastern Cape
FS164,Naledi,4784,210,114,16,166,3,15,6,4156,27,59,1,4,7,Free State
FS191,Setsoto,21337,1007,602,26,69,64,92,4,19115,52,292,1,2,11,Free State
FS196,Mantsopa,9641,708,423,17,74,19,43,8,8158,35,144,2,3,7,Free State
MAN,Mangaung,146806,21117,7368,711,15122,1506,733,490,79377,17943,1810,102,238,289,Free State
EKU,Ekurhuleni,564110,52422,54000,13922,50414,177679,14872,66671,57651,15593,2541,8502,8734,41109,Gauteng
GT422,Midvaal,15039,3844,1773,180,886,2110,451,294,4698,259,112,57,95,280,Gauteng
GT484,Merafong City,33220,3414,1228,230,9145,2238,471,506,6317,7473,211,378,163,1446,Gauteng
JHB,City of Johannesburg,767187,46621,121067,27034,58034,199212,28639,58466,76940,58832,3834,6961,26570,54977,Gauteng
TSH,City of Tshwane,524205,73297,42720,30549,11909,49244,18792,111639,26601,82880,1758,9466,14974,50376,Gauteng
ETH,eThekwini,697570,8700,156291,8112,30752,468436,8106,1430,6267,3552,3942,691,419,872,KwaZulu-Natal
KZN216,Hibiscus Coast,49407,1181,4590,473,4853,37391,166,89,163,232,210,17,25,17,KwaZulu-Natal
KZN227,Richmond,12627,87,495,155,341,11062,77,14,257,62,64,5,4,4,KwaZulu-Natal
KZN241,Endumeni,12607,389,1315,115,20,10546,57,25,55,48,23,6,3,5,KwaZulu-Natal
KZN253,Emadlangeni,6443,209,102,57,15,5841,15,20,62,32,45,31,7,7,KwaZulu-Natal
KZN271,Umhlabuyalingana,33535,80,510,300,21,32107,59,59,12,146,173,13,3,52,KwaZulu-Natal
KZN282,uMhlathuze,68951,2371,5756,816,216,58099,439,174,129,361,326,130,54,80,KwaZulu-Natal
KZN292,KwaDukuza,45474,410,7604,405,3357,31736,758,61,111,146,290,94,18,484,KwaZulu-Natal
KZN433,Greater Kokstad,13606,795,942,29,10058,981,50,34,588,45,67,4,5,8,KwaZulu-Natal
LIM334,Ba-Phalaborwa,30037,875,457,89,88,302,248,11883,774,61,26,253,217,14764,KwaZulu-Natal
LIM352,Aganang,27544,47,185,1305,23,237,206,24572,46,83,32,3,39,766,Limpopo
LIM364,Mookgopong,6074,353,171,193,24,97,611,3236,357,65,11,6,100,850,Limpopo
LIM367,Mogalakwena,64077,1221,851,4030,95,546,934,47995,1321,570,145,33,291,6045,Limpopo
LIM471,Ephraim Mogale,25343,269,250,971,56,544,607,19996,186,262,37,110,146,1909,Limpopo
LIM472,Elias Motsoaledi,52347,553,775,7550,196,4874,664,31154,981,3265,90,733,192,1320,Limpopo
LIM473,Makhuduthamaga,56376,143,409,503,69,843,278,52669,95,262,100,849,60,96,Limpopo
LIM474,Fetakgomo,19288,89,142,155,51,233,123,18185,11,91,32,85,32,59,Limpopo
LIM475,Greater Tubatse,71223,733,755,433,301,1145,578,63772,182,376,132,1810,133,873,Limpopo
MP301,Albert Luthuli,41563,403,962,473,77,14651,292,111,123,69,111,23997,81,213,Limpopo
MP302,Msukaligwa,28684,2077,1056,408,165,21622,200,137,150,208,91,2402,33,135,Mpumalanga
MP304,Pixley Ka Seme,15940,749,304,192,61,13596,107,42,332,98,95,320,9,35,Mpumalanga
MP305,Lekwa,20776,2331,725,266,345,14154,195,120,2025,162,91,251,26,85,Mpumalanga
MP306,Dipaleseng,7927,468,208,84,209,4716,50,64,1930,65,40,42,19,32,Mpumalanga
MP307,Govan Mbeki,56242,6959,2742,4213,3656,28081,853,1417,3387,632,275,2116,244,1667,Mpumalanga
MP312,Emalahleni,74978,9017,3929,6499,2507,30504,1488,9369,2104,854,245,5117,385,2960,Mpumalanga
MP313,Steve Tshwete,41010,7827,2264,6045,1043,12706,730,4730,1490,601,143,2384,152,895,Mpumalanga
MP314,Emakhazeni,8434,623,312,1455,36,2084,100,627,287,64,50,2602,24,170,Mpumalanga
MP315,Thembisile,64643,303,912,36978,663,8303,595,8571,3119,1210,202,1847,236,1704,Mpumalanga
MP316,Dr JS Moroka,52033,172,739,18360,239,1678,454,16736,1740,8318,144,479,212,2762,Mpumalanga
MP321,Thaba Chweu,16702,2230,596,389,76,1397,369,6630,975,143,52,3025,62,758,Mpumalanga
MP323,Umjindi,12036,806,698,13,28,151,148,39,70,29,15,9656,35,348,Mpumalanga
MP324,Nkomazi,92194,766,943,36,52,452,711,78,87,85,49,83566,154,5215,Mpumalanga
MP325,Bushbuckridge,125753,201,768,138,115,4344,522,30778,6461,296,170,9980,166,71814,Mpumalanga
NW371,Moretele,35189,142,565,1228,223,1284,338,4815,974,17898,366,237,433,6686,Mpumalanga
NW372,Madibeng,86077,6238,3105,2099,3727,4235,4736,6557,4820,38256,365,796,1564,9579,North West
NW374,Kgetlengrivier,8809,1266,414,83,85,158,208,55,104,6303,42,4,38,49,North West
NW375,Moses Kotane,42599,386,1539,705,1395,1856,511,448,597,34316,192,87,119,448,North West
NW381,Ratlou,19710,187,478,228,373,258,91,54,742,17197,53,24,10,15,North West
NW382,Tswaing,23270,1222,459,206,490,381,107,65,589,19623,93,2,9,24,North West
NW383,Mafikeng,58041,1551,2841,718,2162,1201,1194,352,1966,45361,259,139,92,205,North West
NW385,Ramotshere Moiloa,26142,925,1217,312,202,374,356,80,106,22358,156,15,17,24,North West
NW392,Naledi,11814,2507,456,92,82,84,87,33,96,8329,37,1,6,4,North West
NW393,Mamusa,11128,579,211,112,72,135,60,21,238,9651,25,5,10,9,North West
NW394,Greater Taung,33442,372,648,453,527,368,138,71,493,30114,199,9,13,37,North West
NW397,Kagisano/Molopo,18690,488,427,179,17,144,335,28,77,16928,45,6,4,12,North West
NW401,Ventersdorp,9913,652,402,113,738,145,106,43,209,7433,17,4,17,34,North West
NW402,Tlokwe City Council,32776,11088,1745,286,2824,574,455,212,3496,11652,125,58,74,187,North West
NW403,City of Matlosana,70522,9829,3052,500,11202,1611,814,438,14896,26578,465,222,103,812,North West
NW404,Maquassi Hills,14123,1115,289,198,595,232,100,51,970,10466,69,6,7,25,North West
NC061,Richtersveld,1722,1534,26,2,110,4,10,4,15,14,2,0,0,1,North West
NC064,Kamiesberg,1306,1257,15,2,4,0,3,1,2,14,7,1,0,0,Northern Cape
NC065,Hantam,3312,3199,22,6,28,1,8,1,6,13,19,3,6,0,Northern Cape
NC066,Karoo Hoogland,1605,1557,19,2,13,1,0,0,0,3,6,0,4,0,Northern Cape
NC067,Kh̢i-Ma,2159,1558,42,3,53,10,7,14,19,437,5,10,1,0,Northern Cape
NC072,Umsobomvu,4797,1689,86,5,2827,16,30,14,87,18,16,6,2,1,Northern Cape
NC073,Emthanjeni,7068,4935,173,12,1716,15,40,7,56,54,45,2,7,6,Northern Cape
NC074,Kareeberg,1740,1670,24,4,13,0,5,4,3,7,5,4,1,0,Northern Cape
NC075,Renosterberg,1726,1212,28,2,450,1,8,1,8,11,4,1,0,0,Northern Cape
NC076,Thembelihle,2696,2437,42,0,126,8,12,2,18,34,8,0,5,4,Northern Cape
NC078,Siyancuma,6170,5622,79,17,32,12,50,13,15,284,26,1,10,9,Northern Cape
NC081,Mier,1130,1092,11,0,0,1,2,2,1,12,8,0,1,0,Northern Cape
NC082,Kai !Garib,14040,7930,198,32,112,57,44,20,155,5440,30,15,2,5,Northern Cape
NC083,//Khara Hais,16686,14413,358,24,851,40,160,20,142,591,59,11,16,1,Northern Cape
NC084,!Kheis,2484,2327,34,1,19,2,16,1,12,64,1,1,2,4,Northern Cape
NC086,Kgatelopele,3317,1940,98,19,46,45,13,5,21,1064,50,10,2,4,Northern Cape
NC091,Sol Plaatjie,43668,19921,3277,279,2503,600,1044,102,1044,14588,176,25,57,52,Northern Cape
NC092,Dikgatlong,8170,3287,176,93,68,70,57,26,122,4221,35,1,4,10,Northern Cape
NC093,Magareng,4383,889,85,61,138,65,19,14,105,2967,17,1,8,14,Northern Cape
NC451,Joe Morolong,16163,475,426,196,75,143,60,27,78,14585,76,2,8,12,Northern Cape
NC452,Ga-Segonyana,17881,1978,660,210,113,215,207,35,83,14243,74,8,12,43,Northern Cape
NC453,Gamagara,7158,3852,280,77,68,88,228,34,86,2364,23,5,10,43,Northern Cape
CPT,City of Cape Town,661975,222365,167353,2424,230176,4169,18668,1359,7230,2718,3036,457,666,1354,Northern Cape
WC011,Matzikama,11326,10244,230,18,490,20,88,7,48,75,75,9,13,9,Western Cape
WC013,Bergrivier,9518,8433,192,8,532,27,108,4,48,108,28,10,11,9,Western Cape
WC014,Saldanha Bay,17075,11995,898,71,3322,75,176,26,234,115,56,5,46,56,Western Cape
WC015,Swartland,18029,14546,601,24,2051,28,208,13,363,94,53,12,14,22,Western Cape
WC022,Witzenberg,21404,15421,347,50,4053,41,84,13,1187,88,84,14,19,3,Western Cape
WC023,Drakenstein,45045,32753,2199,64,8461,84,519,53,375,220,229,7,37,44,Western Cape
WC025,Breede Valley,29060,21440,799,32,5094,63,383,23,957,97,107,11,20,34,Western Cape
WC026,Langeberg,16931,13785,371,32,2006,29,231,14,289,70,77,7,10,10,Western Cape
WC031,Theewaterskloof,18628,13121,511,37,3678,53,235,12,842,70,53,5,7,4,Western Cape
WC032,Overstrand,11463,5475,776,39,4508,41,273,32,200,49,35,7,5,23,Western Cape
WC034,Swellendam,5871,4972,165,8,489,8,92,5,65,36,23,2,4,2,Western Cape
WC041,Kannaland,4059,3883,84,4,16,5,7,6,13,21,17,1,2,0,Western Cape
WC042,Hessequa,7625,7090,186,14,171,16,45,4,19,56,17,4,2,1,Western Cape
WC043,Mossel Bay,13727,8588,746,28,3733,75,123,19,191,89,50,10,34,41,Western Cape
