geo_code,name,total,Non-overcrowded,Non-overcrowded-Female,Non-overcrowded-Male,Overcrowded,Overcrowded-Female,Overcrowded-Male,province
KZN274,Hlabisa,15790,9492,4735,4757,6298,3350,2948,KwaZulu-Natal
KZN275,Mtubatuba,36276,24931,12601,12330,11345,6098,5247,KwaZulu-Natal
KZN281,Mfolozi,26098,17154,8535,8619,8944,4673,4271,KwaZulu-Natal
KZN283,Ntambanana,16405,8390,4108,4282,8015,4222,3793,KwaZulu-Natal
KZN284,uMlalazi,43175,27419,13712,13707,15756,8465,7291,KwaZulu-Natal
KZN285,Mthonjaneni,9286,5911,2937,2974,3375,1860,1515,KwaZulu-Natal
KZN286,Nkandla,23899,15984,8120,7864,7915,4351,3564,KwaZulu-Natal
KZN291,Mandeni,28589,23736,11713,12023,4853,2740,2113,KwaZulu-Natal
KZN293,Ndwedwe,29382,19351,9493,9858,10031,5333,4698,KwaZulu-Natal
KZN294,Maphumulo,20518,15500,8032,7468,5018,2800,2218,KwaZulu-Natal
KZN431,Ingwe,20490,14591,7201,7390,5899,3146,2753,KwaZulu-Natal
KZN432,Kwa Sani,1506,1281,577,704,225,116,109,KwaZulu-Natal
KZN434,Ubuhlebezwe,20576,15286,7528,7758,5290,2838,2452,KwaZulu-Natal
KZN435,Umzimkhulu,38765,33093,17041,16052,5672,3263,2409,Limpopo
LIM331,Greater Giyani,56757,49482,24999,24483,7275,4063,3212,Limpopo
LIM332,Greater Letaba,49092,45115,22266,22849,3977,2116,1861,Limpopo
LIM333,Greater Tzaneen,81999,73725,36462,37263,8274,4698,3576,Limpopo
LIM335,Maruleng,20328,18844,9399,9445,1484,844,640,Limpopo
LIM341,Musina,11758,9134,4635,4499,2624,1522,1102,Limpopo
LIM342,Mutale,20148,17617,8739,8878,2531,1412,1119,Limpopo
LIM343,Thulamela,140302,121947,60598,61349,18355,10050,8305,Limpopo
LIM344,Makhado,107827,96722,47666,49056,11105,6153,4952,Limpopo
LIM351,Blouberg,36014,32154,16167,15987,3860,2145,1715,Limpopo
LIM353,Molemole,22272,20477,9985,10492,1795,988,807,Limpopo
LIM354,Polokwane,128257,117531,58974,58557,10726,6121,4605,Limpopo
LIM355,Lepele-Nkumpi,47073,43640,21626,22014,3433,1949,1484,Limpopo
LIM361,Thabazimbi,11155,9690,4489,5201,1465,792,673,Limpopo
LIM362,Lephalale,21068,19122,9116,10006,1946,1027,919,Limpopo
LIM365,Modimolle,11501,10445,5185,5260,1056,547,509,Limpopo
LIM366,Bela-Bela,10872,9349,4541,4808,1523,854,669,Eastern Cape
BUF,Buffalo City,129749,103934,51912,52022,25815,14213,11602,Eastern Cape
EC101,Camdeboo,8048,6582,3181,3401,1466,795,671,Eastern Cape
EC105,Ndlambe,9394,7979,3876,4103,1415,772,643,Eastern Cape
EC122,Mnquma,48577,29085,13635,15450,19492,10005,9487,Eastern Cape
EC128,Nxuba,3803,3207,1515,1692,596,310,286,Eastern Cape
EC135,Intsika Yethu,26064,12433,5421,7012,13631,6630,7001,Eastern Cape
EC144,Gariep,5726,4732,2240,2492,994,528,466,Eastern Cape
EC157,King Sabata Dalindyebo,96109,61723,30742,30981,34386,18623,15763,Eastern Cape
NMA,Nelson Mandela Bay,202187,183455,91604,91851,18732,10270,8462,Eastern Cape
FS164,Naledi,4735,4069,2027,2042,666,395,271,Free State
FS191,Setsoto,21085,18077,9158,8919,3008,1661,1347,Free State
FS196,Mantsopa,9551,8021,4026,3995,1530,832,698,Free State
MAN,Mangaung,141271,124823,62790,62033,16448,9152,7296,Free State
EKU,Ekurhuleni,523587,449400,218626,230774,74187,42246,31941,Gauteng
GT422,Midvaal,14222,12807,6204,6603,1415,760,655,Gauteng
GT484,Merafong City,31420,27251,13445,13806,4169,2356,1813,Gauteng
JHB,City of Johannesburg,683217,569573,281859,287714,113644,63173,50471,Gauteng
TSH,City of Tshwane,481203,434785,217481,217304,46418,25960,20458,Gauteng
