mun_code,efficient_measure,wellfare_measure,profile,province
NW372,0.9987753788,0.482167728,2,North West
NW373,0.9985401511,0.589268442,1,North West
NW374,0.9995298383,0.572742572,1,North West
NW375,0.9979424489,0.377500789,2,North West
NW381,0.9991104761,0.179427048,2,North West
NW382,0.9988047378,0.415321375,2,North West
NW383,0.9987072949,0.436914872,2,North West
NW384,0.9996683405,0.491269076,2,North West
NW385,0.749236893,0.356733321,2,North West
NW392,0.9981004582,0.559354075,1,North West
NW393,0.998264277,0.569519761,1,North West
NW394,0.9989249146,0.266046004,2,North West
NW396,0.9992082537,0.70853386,1,North West
NW397,0.9993329131,0.242138472,2,North West
NW401,0.9974766172,0.465944808,2,North West
NW402,0.9985684092,0.689715567,1,North West
NW403,0.9981116595,0.70493483,1,North West
NW404,0.9994446911,0.61481132,1,North West
TSH,0.9997705398,0.678458085,1,Gauteng
WC011,0.9991601568,0.66451707,1,Western Cape
WC012,0.9995261541,0.66809104,1,Western Cape
WC013,0.9997793567,0.698942586,1,Western Cape
WC014,0.9998851297,0.706038112,1,Western Cape
WC015,0.9998236576,0.70615472,1,Western Cape
WC022,0.9999315118,0.692917136,1,Western Cape
WC023,0.999911638,0.711611217,1,Western Cape
WC024,0.9998724616,0.71095056,1,Western Cape
WC025,0.9999314101,0.695228025,1,Western Cape
WC026,0.9999253555,0.702217557,1,Western Cape
WC031,0.9993254378,0.655016752,1,Western Cape
WC032,0.9999195822,0.626021046,1,Western Cape
WC033,0.9996659957,0.703267611,1,Western Cape
WC034,0.9997038481,0.674111907,1,Western Cape
WC041,0.9984860339,0.631654533,1,Western Cape
WC042,0.999727339,0.695660203,1,Western Cape
WC043,0.9993360836,0.69930204,1,Western Cape
WC044,0.9998158473,0.690510268,1,Western Cape
WC045,0.9990279205,0.625167729,1,Western Cape
WC047,0.9994254835,0.678165846,1,Western Cape
WC048,0.9986038868,0.608490934,1,Western Cape
WC051,0.9974854054,0.69450831,1,Western Cape
WC052,0.9991679094,0.654090735,1,Western Cape
WC053,0.9994464642,0.714880049,1,Western Cape
