,total_amount,account_type,mun_code,mun_name,label,Province,Latitude,Longitude
2013,0,AUDA,DC25,Amajuba,Total Indirect Operating Expenditure,KwaZulu-Natal,30.0665236,30.0665236
2013,189830922,AUDA,DC25,Amajuba,Total Operating Expenditure,KwaZulu-Natal,30.0665236,30.0665236
2013,-9722121,AUDA,DC25,Amajuba,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,KwaZulu-Natal,30.0665236,30.0665236
2013,688790423,AUDA,DC26,Zululand,Total Operating Revenue Generated,KwaZulu-Natal,31.4456179,31.4456179
2013,688790423,AUDA,DC26,Zululand,Total Direct Operating Revenue,KwaZulu-Natal,31.4456179,31.4456179
2013,0,AUDA,DC26,Zululand,Total Indirect Operating Revenue,KwaZulu-Natal,31.4456179,31.4456179
2013,688790423,AUDA,DC26,Zululand,Total Operating Revenue,KwaZulu-Natal,31.4456179,31.4456179
2013,455774144,AUDA,DC26,Zululand,Total Direct Operating Expenditure,KwaZulu-Natal,31.4456179,31.4456179
2013,0,AUDA,DC26,Zululand,Total Indirect Operating Expenditure,KwaZulu-Natal,31.4456179,31.4456179
2013,455774144,AUDA,DC26,Zululand,Total Operating Expenditure,KwaZulu-Natal,31.4456179,31.4456179
2013,233016279,AUDA,DC26,Zululand,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,KwaZulu-Natal,31.4456179,31.4456179
2013,512443033,AUDA,DC27,Umkhanyakude,Total Operating Revenue Generated,KwaZulu-Natal,32.5372741,32.5372741
2013,512443033,AUDA,DC27,Umkhanyakude,Total Direct Operating Revenue,KwaZulu-Natal,32.5372741,32.5372741
2013,0,AUDA,DC27,Umkhanyakude,Total Indirect Operating Revenue,KwaZulu-Natal,32.5372741,32.5372741
2013,512443033,AUDA,DC27,Umkhanyakude,Total Operating Revenue,KwaZulu-Natal,32.5372741,32.5372741
2013,332647986,AUDA,DC27,Umkhanyakude,Total Direct Operating Expenditure,KwaZulu-Natal,32.5372741,32.5372741
2013,0,AUDA,DC27,Umkhanyakude,Total Indirect Operating Expenditure,KwaZulu-Natal,32.5372741,32.5372741
2013,332647986,AUDA,DC27,Umkhanyakude,Total Operating Expenditure,KwaZulu-Natal,32.5372741,32.5372741
2013,179795047,AUDA,DC27,Umkhanyakude,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,KwaZulu-Natal,32.5372741,32.5372741
2013,657416995,AUDA,DC28,Uthungulu,Total Operating Revenue Generated,KwaZulu-Natal,31.5370003,31.5370003
2013,657416995,AUDA,DC28,Uthungulu,Total Direct Operating Revenue,KwaZulu-Natal,31.5370003,31.5370003
2013,0,AUDA,DC28,Uthungulu,Total Indirect Operating Revenue,KwaZulu-Natal,31.5370003,31.5370003
2013,657416995,AUDA,DC28,Uthungulu,Total Operating Revenue,KwaZulu-Natal,31.5370003,31.5370003
2013,471506056,AUDA,DC28,Uthungulu,Total Direct Operating Expenditure,KwaZulu-Natal,31.5370003,31.5370003
2013,0,AUDA,DC28,Uthungulu,Total Indirect Operating Expenditure,KwaZulu-Natal,31.5370003,31.5370003
2013,471506056,AUDA,DC28,Uthungulu,Total Operating Expenditure,KwaZulu-Natal,31.5370003,31.5370003
2013,185910939,AUDA,DC28,Uthungulu,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,KwaZulu-Natal,31.5370003,31.5370003
2013,726671118,AUDA,DC29,iLembe,Total Operating Revenue Generated,KwaZulu-Natal,31.1710389,31.1710389
2013,726671118,AUDA,DC29,iLembe,Total Direct Operating Revenue,KwaZulu-Natal,31.1710389,31.1710389
2013,0,AUDA,DC29,iLembe,Total Indirect Operating Revenue,KwaZulu-Natal,31.1710389,31.1710389
2013,726671118,AUDA,DC29,iLembe,Total Operating Revenue,KwaZulu-Natal,31.1710389,31.1710389
2013,434529919,AUDA,DC29,iLembe,Total Direct Operating Expenditure,KwaZulu-Natal,31.1710389,31.1710389
2013,0,AUDA,DC29,iLembe,Total Indirect Operating Expenditure,KwaZulu-Natal,31.1710389,31.1710389
2013,434529919,AUDA,DC29,iLembe,Total Operating Expenditure,KwaZulu-Natal,31.1710389,31.1710389
2013,292141199,AUDA,DC29,iLembe,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,KwaZulu-Natal,31.1710389,31.1710389
2013,110335415,AUDA,DC3,Overberg,Total Operating Revenue Generated,Western Cape,19.7591675,19.7591675
2013,110335415,AUDA,DC3,Overberg,Total Direct Operating Revenue,Western Cape,19.7591675,19.7591675
2013,0,AUDA,DC3,Overberg,Total Indirect Operating Revenue,Western Cape,19.7591675,19.7591675
2013,110335415,AUDA,DC3,Overberg,Total Operating Revenue,Western Cape,19.7591675,19.7591675
2013,108363840,AUDA,DC3,Overberg,Total Direct Operating Expenditure,Western Cape,19.7591675,19.7591675
2013,0,AUDA,DC3,Overberg,Total Indirect Operating Expenditure,Western Cape,19.7591675,19.7591675
2013,108363840,AUDA,DC3,Overberg,Total Operating Expenditure,Western Cape,19.7591675,19.7591675
2013,1971575,AUDA,DC3,Overberg,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Western Cape,19.7591675,19.7591675
2013,289900778,AUDA,DC30,Gert Sibande,Total Operating Revenue Generated,Mpumalanga,29.9740534,29.9740534
2013,289900778,AUDA,DC30,Gert Sibande,Total Direct Operating Revenue,Mpumalanga,29.9740534,29.9740534
2013,0,AUDA,DC30,Gert Sibande,Total Indirect Operating Revenue,Mpumalanga,29.9740534,29.9740534
2013,289900778,AUDA,DC30,Gert Sibande,Total Operating Revenue,Mpumalanga,29.9740534,29.9740534
2013,258043511,AUDA,DC30,Gert Sibande,Total Direct Operating Expenditure,Mpumalanga,29.9740534,29.9740534
2013,0,AUDA,DC30,Gert Sibande,Total Indirect Operating Expenditure,Mpumalanga,29.9740534,29.9740534
2013,258043511,AUDA,DC30,Gert Sibande,Total Operating Expenditure,Mpumalanga,29.9740534,29.9740534
2013,31857267,AUDA,DC30,Gert Sibande,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Mpumalanga,29.9740534,29.9740534
2013,337556388,AUDA,DC31,Nkangala,Total Operating Revenue Generated,Mpumalanga,29.6035495,29.6035495
2013,337556388,AUDA,DC31,Nkangala,Total Direct Operating Revenue,Mpumalanga,29.6035495,29.6035495
2013,0,AUDA,DC31,Nkangala,Total Indirect Operating Revenue,Mpumalanga,29.6035495,29.6035495
2013,337556388,AUDA,DC31,Nkangala,Total Operating Revenue,Mpumalanga,29.6035495,29.6035495
2013,367602084,AUDA,DC31,Nkangala,Total Direct Operating Expenditure,Mpumalanga,29.6035495,29.6035495
2013,0,AUDA,DC31,Nkangala,Total Indirect Operating Expenditure,Mpumalanga,29.6035495,29.6035495
2013,367602084,AUDA,DC31,Nkangala,Total Operating Expenditure,Mpumalanga,29.6035495,29.6035495
2013,-30045696,AUDA,DC31,Nkangala,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Mpumalanga,29.6035495,29.6035495
2013,209550000,AUDA,DC32,Ehlanzeni,Total Operating Revenue Generated,Mpumalanga,31.2626366,31.2626366
2013,209550000,AUDA,DC32,Ehlanzeni,Total Direct Operating Revenue,Mpumalanga,31.2626366,31.2626366
2013,0,AUDA,DC32,Ehlanzeni,Total Indirect Operating Revenue,Mpumalanga,31.2626366,31.2626366
2013,209550000,AUDA,DC32,Ehlanzeni,Total Operating Revenue,Mpumalanga,31.2626366,31.2626366
2013,229084000,AUDA,DC32,Ehlanzeni,Total Direct Operating Expenditure,Mpumalanga,31.2626366,31.2626366
2013,0,AUDA,DC32,Ehlanzeni,Total Indirect Operating Expenditure,Mpumalanga,31.2626366,31.2626366
2013,229084000,AUDA,DC32,Ehlanzeni,Total Operating Expenditure,Mpumalanga,31.2626366,31.2626366
2013,-19534000,AUDA,DC32,Ehlanzeni,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Mpumalanga,31.2626366,31.2626366
2013,941589798,AUDA,DC33,Mopani,Total Operating Revenue Generated,Limpopo,30.7160431,30.7160431
2013,941589798,AUDA,DC33,Mopani,Total Direct Operating Revenue,Limpopo,30.7160431,30.7160431
2013,0,AUDA,DC33,Mopani,Total Indirect Operating Revenue,Limpopo,30.7160431,30.7160431
2013,941589798,AUDA,DC33,Mopani,Total Operating Revenue,Limpopo,30.7160431,30.7160431
2013,758611053,AUDA,DC33,Mopani,Total Direct Operating Expenditure,Limpopo,30.7160431,30.7160431
2013,0,AUDA,DC33,Mopani,Total Indirect Operating Expenditure,Limpopo,30.7160431,30.7160431
