,Unnamed: 0,mun_code,mun_name,Province,Latitude,Longitude,Wages_Salaries,emp_social_contributions,Less_Employee_Costs_Capitalised,Less_Employee_Costs_Allocated_To_Other_Operations,Councillor_Remuneration,Debt_Impairment,Collection_Costs,Dep_Impairment,IntExp_ExtBorrowing,Redemption_Payment,Bulk_Purchases,Other_Materials,Contracted_Services,Grants_Subsedies,Other_Expenditure,Loss_disposalPPE,Provision_Contribution,Total_Expenditure
68,2013,EC137,Engcobo,Eastern Cape,29.2553229,29.2553229,12540725,10606855,0,0,10336666,3527800,0,29809884,1681,0,0,5272791,0,2168352,66529794,22218000,0,163012548
69,2013,EC138,Sakhisizwe,Eastern Cape,27.983473800000002,27.983473800000002,24353708,3788144,0,0,4893102,6804411,0,9450626,1005180,0,6038685,0,766117,2959222,23104388,0,0,83163583
70,2013,EC141,Elundini,Eastern Cape,27.831142800000002,27.831142800000002,42156276,6516750,0,0,8429575,14101250,1071842,29863261,797512,0,14722367,5241235,0,350000,45835005,223326,0,169308399
71,2013,EC142,Senqu,Eastern Cape,28.3929417,28.3929417,40017604,0,0,0,8858218,5093345,0,13436599,1147101,0,19167363,0,0,333000,39739351,992665,0,128785246
72,2013,EC143,Maletswai,Eastern Cape,27.6434844,27.6434844,33500796,6346351,0,0,2789258,2478660,0,14840169,3338339,0,42107330,0,0,0,28445426,0,0,133846329
73,2013,EC144,Gariep,Eastern Cape,26.8910342,26.8910342,21964342,6455588,0,0,2843329,8375921,0,12193081,2408678,0,19070499,1344086,0,216221,23621089,0,0,98492834
74,2013,EC153,Ngquza Hill,Eastern Cape,25.8521764,25.8521764,87094046,0,0,0,13969383,0,0,0,105900,0,423600,0,847975,0,30430275,0,0,132871179
75,2013,EC154,Port St Johns,Eastern Cape,29.696267699999996,29.696267699999996,22514972,7859179,0,0,8808210,1914115,0,26340826,0,0,0,0,0,3332207,27208743,77946,0,98056198
76,2013,EC155,Nyandeni,Eastern Cape,29.5457058,29.5457058,60558576,0,0,0,15062501,1160990,0,31290958,281000,0,0,6685223,0,0,55664468,282000,0,170985716
77,2013,EC156,Mhlontlo,Eastern Cape,29.1390642,29.1390642,44188312,7118846,0,0,13315986,989399,0,10843986,0,0,0,0,1896100,0,58561402,46534,0,136960565
78,2013,EC157,King Sabata Dalindyebo,Eastern Cape,28.8130675,28.8130675,136981213,107035031,0,0,19035731,25676864,0,97076951,5631255,0,162453730,0,17141836,27817077,148421907,0,0,747271595
79,2013,EC441,Matatiele,Eastern Cape,28.5797981,28.5797981,57395055,0,0,0,13899578,63893245,0,17117208,6522,0,24556468,10365989,12328837,23662852,30576362,0,0,253802116
80,2013,EC442,Umzimvubu,Eastern Cape,28.766440799999998,28.766440799999998,33989734,5583420,0,0,13219975,6473445,0,32018334,972497,0,0,0,2138509,0,75955708,2584867,0,172936489
81,2013,EC443,Mbizana,Eastern Cape,28.9528645,28.9528645,34779704,9798593,0,0,15037200,5040520,0,25162271,163422,0,16903629,0,0,614106,58331870,1130635,0,166961950
82,2013,EC444,Ntabankulu,Eastern Cape,29.8566142,29.8566142,28441950,0,0,0,8113795,4756547,0,6091143,96674,0,0,2083289,0,0,29468984,537603,0,79589985
83,2013,EKU,Ekurhuleni,Eastern Cape,29.278563800000004,29.278563800000004,4557833977,1102753542,-25148837,-667909632,87954568,887674953,114274792,2127829336,522865540,0,8852863936,1172045558,685955161,960645420,865693666,15256261,0,21260588241
84,2013,ETH,eThekwini,Gauteng,28.346194800000003,28.346194800000003,6021630000,0,0,0,84713000,1064847000,0,1695052000,942081000,0,7557474000,58222028,2839675000,171574000,1680791000,2431000,0,22118490028
85,2013,FS161,Letsemeng,KwaZulu-Natal,30.8039474,30.8039474,22226850,3232485,0,0,2797666,0,0,19977000,3703040,0,19953329,0,453000,0,48450630,0,0,120794000
86,2013,FS162,Kopanong,Free State,25.094045,25.094045,69522602,0,0,0,6210000,0,0,7000000,0,0,48592966,0,0,18908000,49690986,0,0,199924554
87,2013,FS163,Mohokare,Free State,25.4733554,25.4733554,27598812,13467333,0,0,2844699,14209172,0,27073686,1344791,0,18119395,0,763861,6951827,30598895,344725,0,143317196
88,2013,FS164,Naledi,Free State,26.985242200000002,26.985242200000002,23404000,0,0,0,1943000,0,0,18334000,1732000,0,19883000,0,83000,255000,21608000,0,0,87242000
89,2013,FS181,Masilonyana,Free State,24.7142918,24.7142918,39407500,0,0,0,4432955,25889828,0,37750010,1084964,0,39664762,0,400400,15201400,33511923,0,0,197343742
90,2013,FS182,Tokologo,Free State,26.6081653,26.6081653,18134468,3132532,0,0,1889300,6872969,0,21946000,469253,0,13258834,3458449,2779175,254000,10132000,244115,0,82571095
91,2013,FS183,Tswelopele,Free State,25.4733554,25.4733554,31510640,7014826,0,0,4025000,4113000,0,19330744,3587141,0,28337970,0,0,0,27690284,67000,0,125676605
92,2013,FS184,Matjhabeng,Free State,25.9467997,25.9467997,439398000,0,0,0,22704000,272702000,0,272702000,111739000,0,598046000,0,98413000,27271000,136141000,0,0,1979116000
93,2013,FS185,Nala,Free State,26.8910342,26.8910342,114990000,0,0,0,6965114,56336832,0,84320000,18008694,0,74506779,2378000,28100000,0,53874000,243418,0,439722837
94,2013,FS191,Setsoto,Free State,26.513796399999997,26.513796399999997,96650484,31497771,0,0,11081717,70597892,0,213474649,1265372,0,48436867,34823254,0,8132606,43519609,0,0,559480221
95,2013,FS192,Dihlabeng,Free State,27.6434844,27.6434844,159637866,0,0,0,13060025,86051120,0,70368715,10780612,0,108908218,18443921,2008159,0,125151116,0,0,594409752
96,2013,FS193,Nketoana,Free State,28.2058768,28.2058768,41885267,15127810,0,0,4924503,44402000,0,64736000,2254000,0,28834798,9008000,12622881,0,43455036,145439,0,267395734
97,2013,FS194,Maluti a Phofung,Free State,28.4318311,28.4318311,206542663,52731772,0,0,19389954,56209276,0,214697263,7582504,0,353257401,0,122158766,77723000,339163955,0,0,1449456554
98,2013,FS195,Phumelela,Free State,28.9528645,28.9528645,40151907,4330200,0,0,4447485,16929193,0,26376769,2027332,0,17601563,0,8175531,0,30013051,0,0,150053031
99,2013,FS196,Mantsopa,Free State,29.2320784,29.2320784,42817753,9721134,0,0,4889440,95996677,0,30003844,813946,0,29953727,6410452,0,12822477,46809782,0,0,280239232
100,2013,FS201,Moqhaka,Free State,27.267611600000002,27.267611600000002,155472165,0,0,0,14837152,-48109163,0,250020590,10417192,0,164985789,0,10038497,0,98865032,880348,0,657407602
