,Name,Code,Province
205,Prince Albert Local Municipality,WC052,Western Cape
206,Ramotshere Moiloa Local Municipality,NW385,North West
207,Rand West City Local Municipality,GT485,Gauteng
208,Ratlou Local Municipality,NW381,North West
209,Ray Nkonyeni Local Municipality,KZN216,KwaZulu-Natal
210,Raymond Mhlaba Local Municipality,EC129,Eastern Cape
211,Renosterberg Local Municipality,NC075,Northern Cape
212,Richmond Local Municipality,KZN227,KwaZulu-Natal
213,Richtersveld Local Municipality,NC061,Northern Cape
214,Rustenburg Local Municipality,NW373,North West
215,Sakhisizwe Local Municipality,EC138,Eastern Cape
216,Saldanha Bay Local Municipality,WC014,Western Cape
217,Senqu Local Municipality,EC142,Eastern Cape
218,Setsoto Local Municipality,FS191,Free State
219,Siyancuma Local Municipality,NC078,Northern Cape
220,Siyathemba Local Municipality,NC077,Northern Cape
221,Sol Plaatje Local Municipality,NC091,Northern Cape
222,Stellenbosch Local Municipality,WC024,Western Cape
223,Steve Tshwete Local Municipality,MP313,Mpumalanga
224,Sundays River Valley Local Municipality,EC106,Eastern Cape
225,Swartland Local Municipality,WC015,Western Cape
226,Swellendam Local Municipality,WC034,Western Cape
227,Thaba Chweu Local Municipality,MP321,Mpumalanga
228,Thabazimbi Local Municipality,LIM361,Limpopo
229,Theewaterskloof Local Municipality,WC031,Western Cape
230,Thembelihle Local Municipality,NC076,Northern Cape
231,Thembisile Hani Local Municipality,MP315,Mpumalanga
232,Thulamela Local Municipality,LIM343,Limpopo
233,Tokologo Local Municipality,FS182,Free State
234,Tsantsabane Local Municipality,NC085,Northern Cape
235,Tswaing Local Municipality,NW382,North West
236,Tswelopele Local Municipality,FS183,Free State
237,Ubuhlebezwe Local Municipality,KZN434,KwaZulu-Natal
238,Ubuntu Local Municipality,NC071,Northern Cape
239,Ulundi Local Municipality,KZN266,KwaZulu-Natal
240,Umdoni Local Municipality,KZN212,KwaZulu-Natal
241,uMfolozi Local Municipality,KZN281,KwaZulu-Natal
242,uMhlabuyalingana Local Municipality,KZN271,KwaZulu-Natal
243,uMhlathuze Local Municipality,KZN282,KwaZulu-Natal
244,uMlalazi Local Municipality,KZN284,KwaZulu-Natal
245,uMngeni Local Municipality,KZN222,KwaZulu-Natal
246,uMshwathi Local Municipality,KZN221,KwaZulu-Natal
247,Umsobomvu Local Municipality,NC072,Northern Cape
248,uMuziwabantu Local Municipality,KZN214,KwaZulu-Natal
249,Umvoti Local Municipality,KZN245,KwaZulu-Natal
250,Umzimkhulu Local Municipality,KZN435,KwaZulu-Natal
251,Umzimvubu Local Municipality,EC442,Eastern Cape
252,Umzumbe Local Municipality,KZN213,KwaZulu-Natal
253,uPhongolo Local Municipality,KZN262,KwaZulu-Natal
254,Victor Khanye Local Municipality,MP311,Mpumalanga
255,Walter Sisulu Local Municipality,EC145,Eastern Cape
256,Witzenberg Local Municipality,WC022,Western Cape
257,Camdeboo Local Municipality,EC101,Eastern Cape
258,Ikwezi Local Municipality,EC103,Eastern Cape
259,Baviaans Local Municipality,EC107,Eastern Cape
260,Nkonkobe Local Municipality,EC127,Eastern Cape
261,Nxuba Local Municipality,EC128,Eastern Cape
262,Tsolwana Local Municipality,EC132,Eastern Cape
263,Inkwanca Local Municipality,EC133,Eastern Cape
264,Lukhanji Local Municipality,EC134,Eastern Cape
265,Maletswai Local Municipality,EC143,Eastern Cape
266,Gariep Local Municipality,EC144,Eastern Cape
267,Motheo District Municipality,DC17,Free State
268,Naledi Local Municipality,FS164,Free State
269,Metsweding District Municipality,DC46,Gauteng
270,Nokeng tsa Taemane Local Municipality,GT461,Gauteng
271,Kungwini Local Municipality,GT462,Gauteng
272,Randfontein Local Municipality,GT482,Gauteng
273,Westonaria Local Municipality,GT483,Gauteng
274,Ezinqoleni Local Municipality,KZN215,KwaZulu-Natal
275,Hibiscus Coast Local Municipality,KZN216,KwaZulu-Natal
276,Vulamehlo Local Municipality,KZN211,KwaZulu-Natal
277,Emnambithi/Ladysmith Local Municipality,KZN232,KwaZulu-Natal
278,Indaka Local Municipality,KZN233,KwaZulu-Natal
279,Umtshezi Local Municipality,KZN234,KwaZulu-Natal
280,Imbabazane Local Municipality,KZN236,KwaZulu-Natal
281,Big 5 False Bay Local Municipality,KZN273,KwaZulu-Natal
282,Hlabisa Local Municipality,KZN274,KwaZulu-Natal
283,Ntambanana Local Municipality,KZN283,KwaZulu-Natal
284,Ingwe Local Municipality,KZN431,KwaZulu-Natal
285,Kwa Sani Local Municipality,KZN432,KwaZulu-Natal
286,Bohlabela District Municipality,CBDC4,Mpumalanga/Limpopo
287,Mutale Local Municipality,LIM342,Limpopo
288,Aganang Local Municipality,LIM352,Limpopo
289,Mookgopong Local Municipality,LIM364,Limpopo
290,Modimolle Local Municipality,LIM365,Limpopo
291,Fetakgomo Local Municipality,LIM474,Limpopo
292,Greater Tubatse Local Municipality,LIM475,Limpopo
293,Umjindi Local Municipality,MP323,Mpumalanga
294,Kagisano Local Municipality,NW391,North West
295,Molopo Local Municipality,NW395,North West
296,Ventersdorp Local Municipality,NW401,North West
297,Tlokwe Local Municipality,NW402,North West
298,Mier Local Municipality,NC081,Northern Cape
299,Khara Hais Local Municipality,NC083,Northern Cape
