,account_type,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,AUDA,KZN292,KwaDukuza,Total,159904126,KwaZulu-Natal,31.0894002,31.0894002
2013,AUDA,KZN293,Ndwedwe,Total,9709002,KwaZulu-Natal,31.4684703,31.4684703
2013,AUDA,KZN294,Maphumulo,Total,12296833,KwaZulu-Natal,31.2892229,31.2892229
2013,AUDA,KZN431,Ingwe,Total,4276478,KwaZulu-Natal,30.9417368,30.9417368
2013,AUDA,KZN432,Kwa Sani,Total,8346463,KwaZulu-Natal,31.03351,31.03351
2013,AUDA,KZN433,Greater Kokstad,Total,8107531,KwaZulu-Natal,29.8815203,29.8815203
2013,AUDA,KZN434,Ubuhlebezwe,Total,456462,KwaZulu-Natal,29.5107708,29.5107708
2013,AUDA,KZN435,Umzimkhulu,Total,96072176,KwaZulu-Natal,29.3714909,29.3714909
2013,AUDA,LIM331,Greater Giyani,Total,0,KwaZulu-Natal,30.0665236,30.0665236
2013,AUDA,LIM332,Greater Letaba,Total,1688859,KwaZulu-Natal,29.6962677,29.6962677
2013,AUDA,LIM333,Greater Tzaneen,Total,2080968,Limpopo,30.8039474,30.8039474
2013,AUDA,LIM334,Ba-Phalaborwa,Total,4121,Limpopo,30.2974199,30.2974199
2013,AUDA,LIM335,Maruleng,Total,2140857,Limpopo,30.0665236,30.0665236
2013,AUDA,LIM341,Musina,Total,41291,Limpopo,31.1406753,31.1406753
2013,AUDA,LIM343,Thulamela,Total,10949972,Limpopo,30.9576681,30.9576681
2013,AUDA,LIM344,Makhado,Total,120301638,Limpopo,29.6962677,29.6962677
2013,AUDA,LIM351,Blouberg,Total,4699019,Limpopo,30.6199895,30.6199895
2013,AUDA,LIM352,Aganang,Total,7833003,Limpopo,29.9070436,29.9070436
2013,AUDA,LIM354,Polokwane,Total,288469461,Limpopo,28.9950702,28.9950702
2013,AUDA,LIM355,Lepele-Nkumpi,Total,50893419,Limpopo,29.0925356,29.0925356
2013,AUDA,LIM361,Thabazimbi,Total,111047087,Limpopo,29.4485367,29.4485367
2013,AUDA,LIM362,Lephalale,Total,0,Limpopo,29.6499162,29.6499162
2013,AUDA,LIM364,Mookgopong,Total,19174957,Limpopo,27.3616476,27.3616476
2013,AUDA,LIM365,Modimolle,Total,4012809,Limpopo,27.7373373,27.7373373
2013,AUDA,LIM366,Bela-Bela,Total,16566358,Limpopo,28.7664408,28.7664408
2013,AUDA,LIM367,Mogalakwena,Total,45026930,Limpopo,28.2058768,28.2058768
2013,AUDA,LIM471,Ephraim Mogale,Total,24345600,Limpopo,28.2526623,28.2526623
