,total_amount,account_type,mun_code,mun_name,label,Province,Latitude,Longitude
2013,293087000,AUDA,EC105,Ndlambe,Total Cash Receipts by Source,Eastern Cape,26.3249438,26.3249438
2013,313386000,AUDA,EC105,Ndlambe,Total Cash Payments by Type,Eastern Cape,26.3249438,26.3249438
2013,105644038,AUDA,EC106,Sundays River Valley,Total Cash Receipts by Source,Eastern Cape,26.749645,26.749645
2013,101576461,AUDA,EC106,Sundays River Valley,Total Cash Payments by Type,Eastern Cape,26.749645,26.749645
2013,68327775,AUDA,EC107,Baviaans,Total Cash Receipts by Source,Eastern Cape,25.5681084,25.5681084
2013,68146156,AUDA,EC107,Baviaans,Total Cash Payments by Type,Eastern Cape,25.5681084,25.5681084
2013,481110109,AUDA,EC108,Kouga,Total Cash Receipts by Source,Eastern Cape,24.0488007,24.0488007
2013,478997959,AUDA,EC108,Kouga,Total Cash Payments by Type,Eastern Cape,24.0488007,24.0488007
2013,110126917,AUDA,EC109,Kou-Kamma,Total Cash Receipts by Source,Eastern Cape,24.8092691,24.8092691
2013,109821124,AUDA,EC109,Kou-Kamma,Total Cash Payments by Type,Eastern Cape,24.8092691,24.8092691
2013,174691187,AUDA,EC121,Mbhashe,Total Cash Receipts by Source,Eastern Cape,24.0488007,24.0488007
2013,133460100,AUDA,EC121,Mbhashe,Total Cash Payments by Type,Eastern Cape,24.0488007,24.0488007
2013,249749078,AUDA,EC122,Mnquma,Total Cash Receipts by Source,Eastern Cape,28.7664408,28.7664408
2013,235616798,AUDA,EC122,Mnquma,Total Cash Payments by Type,Eastern Cape,28.7664408,28.7664408
2013,80755583,AUDA,EC123,Great Kei,Total Cash Receipts by Source,Eastern Cape,28.0186087,28.0186087
2013,91768147,AUDA,EC123,Great Kei,Total Cash Payments by Type,Eastern Cape,28.0186087,28.0186087
2013,163617836,AUDA,EC124,Amahlathi,Total Cash Receipts by Source,Eastern Cape,27.9717606,27.9717606
2013,153542163,AUDA,EC124,Amahlathi,Total Cash Payments by Type,Eastern Cape,27.9717606,27.9717606
2013,100459396,AUDA,EC126,Ngqushwa,Total Cash Receipts by Source,Eastern Cape,27.2676116,27.2676116
2013,78474811,AUDA,EC126,Ngqushwa,Total Cash Payments by Type,Eastern Cape,27.2676116,27.2676116
2013,182101179,AUDA,EC127,Nkonkobe,Total Cash Receipts by Source,Eastern Cape,27.2676116,27.2676116
2013,180674749,AUDA,EC127,Nkonkobe,Total Cash Payments by Type,Eastern Cape,27.2676116,27.2676116
2013,60219043,AUDA,EC128,Nxuba,Total Cash Receipts by Source,Eastern Cape,26.8329144,26.8329144
2013,64609000,AUDA,EC128,Nxuba,Total Cash Payments by Type,Eastern Cape,26.8329144,26.8329144
2013,185220404,AUDA,EC131,Inxuba Yethemba,Total Cash Receipts by Source,Eastern Cape,26.3249438,26.3249438
