,total_amount,account_type,mun_code,mun_name,label,Province,Latitude,Longitude
2013,18581748.0,AUDA,FS203,Ngwathe,Total Repairs and Maintenance Expenditure,Free State,27.2676116,27.2676116
2013,66638000.0,AUDA,FS204,Metsimaholo,Total Repairs and Maintenance Expenditure,Free State,27.7373373,27.7373373
2013,10767643.0,AUDA,FS205,Mafube,Total Repairs and Maintenance Expenditure,Free State,27.8277881,27.8277881
2013,0.0,AUDA,GT421,Emfuleni,Total Repairs and Maintenance Expenditure,Free State,28.5797981,28.5797981
2013,28675653.0,AUDA,GT422,Midvaal,Total Repairs and Maintenance Expenditure,Gauteng,27.784246,27.784246
2013,0.0,AUDA,GT423,Lesedi,Total Repairs and Maintenance Expenditure,Gauteng,28.0654445,28.0654445
2013,69974982.0,AUDA,GT481,Mogale City,Total Repairs and Maintenance Expenditure,Gauteng,28.4396756,28.4396756
2013,14173012.0,AUDA,GT482,Randfontein,Total Repairs and Maintenance Expenditure,Gauteng,27.5965403,27.5965403
2013,0.0,AUDA,GT483,Westonaria,Total Repairs and Maintenance Expenditure,Gauteng,27.6786847,27.6786847
2013,0.0,AUDA,GT484,Merafong City,Total Repairs and Maintenance Expenditure,Gauteng,27.666952,27.666952
2013,0.0,AUDA,GT485,Rand West City,Total Repairs and Maintenance Expenditure,Gauteng,27.4086488,27.4086488
2013,1956400000.0,AUDA,JHB,City of Johannesburg,Total Repairs and Maintenance Expenditure,Gauteng,27.6997888,27.6997888
2013,1088963.0,AUDA,KZN211,Vulamehlo,Total Repairs and Maintenance Expenditure,Gauteng,27.9717606,27.9717606
2013,8468661.0,AUDA,KZN212,Umdoni,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.5739579,30.5739579
2013,1515253.0,AUDA,KZN213,Umzumbe,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.6890055,30.6890055
2013,0.0,AUDA,KZN214,uMuziwabantu,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.5928401,30.5928401
2013,359973.0,AUDA,KZN215,Ezingoleni,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,29.9277947,29.9277947
2013,37265274.0,AUDA,KZN216,Ray Nkonyeni,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.182022,30.182022
2013,3851107.0,AUDA,KZN221,uMshwathi,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.3639319,30.3639319
2013,4931688.0,AUDA,KZN222,uMngeni,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.3204873,30.3204873
2013,1148000.0,AUDA,KZN223,Mpofana,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.5743164,30.5743164
2013,713000.0,AUDA,KZN224,Impendle,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.112735,30.112735
2013,97782623.0,AUDA,KZN225,The Msunduzi,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.112735,30.112735
2013,829000.0,AUDA,KZN226,Mkhambathini,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,29.8352303,29.8352303
2013,2768000.0,AUDA,KZN227,Richmond,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.3824842,30.3824842
2013,36331926.0,AUDA,KZN232,Emnambithi/Ladysmith,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.5739579,30.5739579
2013,0.0,AUDA,KZN233,Indaka,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.2974199,30.2974199
2013,0.0,AUDA,KZN234,Umtshezi,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,29.7807856,29.7807856
2013,1998751.0,AUDA,KZN235,Okhahlamba,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.107222,30.107222
2013,26839092.0,AUDA,KZN236,Imbabazane,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.0202964,30.0202964
