,Name,Code,Province,Latitude,Longitude
29,Mopani District Municipality,DC33,Limpopo,-23.3089227,30.7160431
30,Namakwa District Municipality,DC6,Northern Cape,-30.4218185,19.949686
31,Ngaka Modiri Molema District Municipality,DC38,North West,-26.0281624,25.8521764
32,Nkangala District Municipality,DC31,Mpumalanga,-25.9459898,29.6035495
33,OR Tambo District Municipality,DC15,Eastern Cape,-31.4631617,29.2320784
34,Overberg District Municipality,DC3,Western Cape,-34.4505029,19.7591675
35,Pixley ka Seme District Municipality,DC7,Northern Cape,-30.1786967,23.3823545
36,Sarah Baartman District Municipality,DC10,Eastern Cape,-33.961425,25.6223644
37,Sedibeng District Municipality,DC42,Gauteng,-26.6833196,28.2058768
38,Sekhukhune District Municipality,DC47,Limpopo,-24.8334603,29.9740534
39,Thabo Mofutsanyana District Municipality,DC19,Free State,-28.12697,28.299435
40,Ugu District Municipality,DC21,KwaZulu-Natal,-30.6217975,30.2512728
41,uMgungundlovu District Municipality,DC22,KwaZulu-Natal,-29.5100663,30.3435506
42,uMkhanyakude District Municipality,DC27,KwaZulu-Natal,-27.2718576,32.5372741
43,uMzinyathi District Municipality,DC24,KwaZulu-Natal,-28.5151842,30.6199895
44,uThukela District Municipality,DC23,KwaZulu-Natal,-28.6783447,29.6035495
45,Vhembe District Municipality,DC34,Limpopo,-22.7695507,29.9740534
46,Waterberg District Municipality,DC36,Limpopo,-23.9747849,28.299435
47,West Coast District Municipality,DC1,Western Cape,-32.2129777,18.6175626
48,West Rand District Municipality,DC48,Gauteng,-26.3213939,27.4556388
49,Xhariep District Municipality,DC16,Free State,-29.4599915,25.2837585
50,ZF Mgcawu District Municipality,DC8,Northern Cape,,
51,Zululand District Municipality,DC26,KwaZulu-Natal,-27.8872252,31.4456179
52,Abaqulusi Local Municipality,KZN263,KwaZulu-Natal,-27.74898,30.9876321
53,Albert Luthuli Local Municipality,MP301,Mpumalanga,-26.0531938,30.3325113
54,Alfred Duma Local Municipality,KZN238,KwaZulu-Natal,33.4502107,36.5552171
55,Amahlathi Local Municipality,EC124,Eastern Cape,-32.5225684,27.2676116
56,Ba-Phalaborwa Local Municipality,LIM334,Limpopo,-23.9423181,31.1406753
57,Beaufort West Local Municipality,WC053,Western Cape,-32.5353267,22.8105512
58,Bela-Bela Local Municipality,LIM366,Limpopo,-24.8969534,28.2526623
59,Bergrivier Local Municipality,WC013,Western Cape,-32.8096696,18.7125791
60,Big Five Hlabisa Local Municipality,KZN276,KwaZulu-Natal,,
61,Bitou Local Municipality,WC047,Western Cape,-33.9021615,23.429984
62,Blouberg Local Municipality,LIM351,Limpopo,-23.1424074,28.9950702
63,Blue Crane Route Local Municipality,EC102,Eastern Cape,-33.0113694,25.4733554
64,Breede Valley Local Municipality,WC025,Western Cape,-33.7272263,19.4735066
65,Bushbuckridge Local Municipality,MP325,Mpumalanga,-24.820496,31.1710389
66,Cape Agulhas Local Municipality,WC033,Western Cape,-34.4873853,20.0449662
67,Cederberg Local Municipality,WC012,Western Cape,-32.5891202,19.0118251
68,City of Matlosana Local Municipality,NW403,North West,-26.8617937,26.5137964
69,Collins Chabane Local Municipality,LIM345,Limpopo,-23.893822,29.4156865
70,Dannhauser Local Municipality,KZN254,KwaZulu-Natal,-28.026923,30.0202964
71,Dawid Kruiper Local Municipality,NC087,Northern Cape,-28.457565,21.245485
72,Dihlabeng Local Municipality,FS192,Free State,-28.40527,28.2058768
73,Dikgatlong Local Municipality,NC092,Northern Cape,-28.5367509,24.5197
74,Dipaleseng Local Municipality,MP306,Mpumalanga,-26.7747265,28.5797981
75,Ditsobotla Local Municipality,NW384,North West,-26.0613801,26.1359431
76,Dr Beyers Naud̩ Local Municipality,EC101,Eastern Cape,,
77,Dr JS Moroka Local Municipality,MP316,Mpumalanga,-25.040412,28.8130675
78,Dr Nkosazana Dlamini Zuma Local Municipality,KZN436,KwaZulu-Natal,-30.0304668,29.8351232
79,Drakenstein Local Municipality,WC023,Western Cape,-33.5808997,19.04532
80,eDumbe Local Municipality,KZN261,KwaZulu-Natal,-27.4559383,30.8039474
81,Elias Motsoaledi Local Municipality,LIM472,Limpopo,-25.1656787,29.3949458
82,Elundini Local Municipality,EC141,Eastern Cape,-30.9129687,28.3929417
83,eMadlangeni Local Municipality,KZN253,KwaZulu-Natal,-27.657976,30.315775
84,Emakhazeni Local Municipality,MP314,Mpumalanga,-25.584787,30.0665236
85,Emalahleni Local Municipality,EC136,Eastern Cape,-25.8727817,29.2553229
86,Emalahleni Local Municipality,MP312,Mpumalanga,-25.8727817,29.2553229
87,Emfuleni Local Municipality,GT421,Gauteng,-26.6433929,27.784246
88,Emthanjeni Local Municipality,NC073,Northern Cape,-30.6550795,24.0087533
89,Endumeni Local Municipality,KZN241,KwaZulu-Natal,-28.1649681,30.2343393
90,Engcobo Local Municipality,EC137,Eastern Cape,-31.6727543,27.9834738
91,Enoch Mgijima Local Municipality,EC139,Eastern Cape,,
92,Ephraim Mogale Local Municipality,LIM471,Limpopo,-24.8883299,29.3250347
93,Fetakgomo/Greater Tubatse Local Municipality,LIM476,Limpopo,-24.3909787,29.8352303
94,Ga-Segonyana Local Municipality,NC452,Northern Cape,-27.6136831,23.4776098
95,Gamagara Local Municipality,NC453,Northern Cape,-27.6451412,23.0488541
96,George Local Municipality,WC044,Western Cape,-33.9200596,22.4768287
97,Govan Mbeki Local Municipality,MP307,Mpumalanga,-26.4790993,29.1390642
98,Great Kei Local Municipality,EC123,Eastern Cape,-32.6475517,27.9717606
99,Greater Giyani Local Municipality,LIM331,Limpopo,-23.3663214,30.8039474
100,Greater Kokstad Local Municipality,KZN433,KwaZulu-Natal,-30.2975989,29.3714909
101,Greater Letaba Local Municipality,LIM332,Limpopo,-23.5182864,30.2974199
102,Greater Taung Local Municipality,NW394,North West,-27.4756012,24.2390498
103,Greater Tzaneen Local Municipality,LIM333,Limpopo,-23.8683267,30.0665236
104,Hantam Local Municipality,NC065,Northern Cape,-31.1271404,19.949686
105,Hessequa Local Municipality,WC042,Western Cape,-34.1168758,21.1891151
106,Impendle Local Municipality,KZN224,KwaZulu-Natal,-29.5943777,29.8352303
107,Ingquza Hill Local Municipality,EC153,Eastern Cape,-31.2632292,29.6962677
108,Inkosi Langalibalele Local Municipality,KZN237,KwaZulu-Natal,,
109,Intsika Yethu Local Municipality,EC135,Eastern Cape,-31.9314924,27.6434844
110,Inxuba Yethemba Local Municipality,EC131,Eastern Cape,-31.9317034,25.3785719
111,JB Marks Local Municipality,NW405,North West,-26.9059725,26.5977699
112,Joe Morolong Local Municipality,NC451,Northern Cape,-26.760384,23.287085
113,Jozini Local Municipality,KZN272,KwaZulu-Natal,-27.4293515,32.0650697
114,Kagisano-Molopo Local Municipality,NW397,North West,-26.3773788,23.9536466
115,Kai Garib Local Municipality,NC082,Northern Cape,-28.7086118,20.9759699
116,Kamiesberg Local Municipality,NC064,Northern Cape,-30.5575206,17.8583868
117,Kannaland Local Municipality,WC041,Western Cape,-33.5711302,21.3798928
118,Kareeberg Local Municipality,NC074,Northern Cape,-30.597128,22.047637
119,Karoo Hoogland Local Municipality,NC066,Northern Cape,-31.8437886,20.902977
120,Kgatelopele Local Municipality,NC086,Northern Cape,-28.2854106,23.6680747
121,Kgetlengrivier Local Municipality,NW374,North West,-25.738224,26.8910342
122,Kh̢i-Ma Local Municipality,NC067,Northern Cape,,
123,!Kheis Local Municipality,NC084,Northern Cape,-28.9018506,21.6660725
124,King Sabata Dalindyebo Local Municipality,EC157,Eastern Cape,-31.7073986,28.5797981
125,Knysna Local Municipality,WC048,Western Cape,-34.037582,23.049842
126,Kopanong Local Municipality,FS162,Free State,-29.9403827,25.4733554
127,Kou-Kamma Local Municipality,EC109,Eastern Cape,-33.9024496,24.0488007
128,Kouga Local Municipality,EC108,Eastern Cape,-33.9102948,24.8092691
129,KwaDukuza Local Municipality,KZN292,KwaZulu-Natal,-29.3381936,31.2892229
130,Laingsburg Local Municipality,WC051,Western Cape,-33.2275119,20.902977
131,Langeberg Local Municipality,WC026,Western Cape,-25.6120759,27.812138
132,Lekwa Local Municipality,MP305,Mpumalanga,-26.9522881,29.3250347
133,Lekwa-Teemane Local Municipality,NW396,North West,-27.6110551,25.3785719
134,Lepelle-Nkumpi Local Municipality,LIM355,Limpopo,-24.2585456,29.6499162
135,Lephalale Local Municipality,LIM362,Limpopo,-23.5621689,27.7373373
136,Lesedi Local Municipality,GT423,Gauteng,-26.5033037,28.4396756
137,Letsemeng Local Municipality,FS161,Free State,-29.3245823,25.094045
138,Madibeng Local Municipality,NW372,North West,-25.3744687,27.8311428
139,Mafube Local Municipality,FS205,Free State,-27.2912731,28.5797981
140,Magareng Local Municipality,NC093,Northern Cape,-28.212068,24.7617836
141,Mahikeng Local Municipality,NW383,North West,-25.8179931,25.5681084
142,Makana Local Municipality,EC104,Eastern Cape,-33.241537,26.3249438
