,mun_name,mun_code,label,total_amount,Province,Latitude,Longitude
2013,Sundays River Valley,EC106,fruitless,332000.0,Eastern Cape,26.749645,26.749645
2013,Sundays River Valley,EC106,irregular,11560000.0,Eastern Cape,26.749645,26.749645
2013,Sundays River Valley,EC106,unauthorised,20578000.0,Eastern Cape,26.749645,26.749645
2013,Baviaans,EC107,fruitless,1619000.0,Eastern Cape,25.5681084,25.5681084
2013,Baviaans,EC107,irregular,133000.0,Eastern Cape,25.5681084,25.5681084
2013,Baviaans,EC107,unauthorised,12018000.0,Eastern Cape,25.5681084,25.5681084
2013,Kouga,EC108,fruitless,9211000.0,Eastern Cape,24.0488007,24.0488007
2013,Kouga,EC108,irregular,106000.0,Eastern Cape,24.0488007,24.0488007
2013,Kouga,EC108,unauthorised,32866000.0,Eastern Cape,24.0488007,24.0488007
2013,Kou-Kamma,EC109,fruitless,0.0,Eastern Cape,24.8092691,24.8092691
2013,Kou-Kamma,EC109,irregular,0.0,Eastern Cape,24.8092691,24.8092691
2013,Kou-Kamma,EC109,unauthorised,0.0,Eastern Cape,24.8092691,24.8092691
2013,Mbhashe,EC121,fruitless,2614000.0,Eastern Cape,24.0488007,24.0488007
2013,Mbhashe,EC121,irregular,10264000.0,Eastern Cape,24.0488007,24.0488007
2013,Mbhashe,EC121,unauthorised,33360000.0,Eastern Cape,24.0488007,24.0488007
2013,Mnquma,EC122,fruitless,2203000.0,Eastern Cape,28.7664408,28.7664408
2013,Mnquma,EC122,irregular,48059000.0,Eastern Cape,28.7664408,28.7664408
2013,Mnquma,EC122,unauthorised,49485000.0,Eastern Cape,28.7664408,28.7664408
2013,Great Kei,EC123,fruitless,6562000.0,Eastern Cape,28.0186087,28.0186087
2013,Great Kei,EC123,irregular,115660000.0,Eastern Cape,28.0186087,28.0186087
2013,Great Kei,EC123,unauthorised,6943000.0,Eastern Cape,28.0186087,28.0186087
2013,Amahlathi,EC124,fruitless,1364000.0,Eastern Cape,27.9717606,27.9717606
2013,Amahlathi,EC124,irregular,3848000.0,Eastern Cape,27.9717606,27.9717606
2013,Amahlathi,EC124,unauthorised,0.0,Eastern Cape,27.9717606,27.9717606
2013,Ngqushwa,EC126,fruitless,0.0,Eastern Cape,27.2676116,27.2676116
2013,Ngqushwa,EC126,irregular,16066000.0,Eastern Cape,27.2676116,27.2676116
2013,Ngqushwa,EC126,unauthorised,0.0,Eastern Cape,27.2676116,27.2676116
2013,Nkonkobe,EC127,fruitless,2221000.0,Eastern Cape,27.2676116,27.2676116
2013,Nkonkobe,EC127,irregular,2200000.0,Eastern Cape,27.2676116,27.2676116
2013,Nkonkobe,EC127,unauthorised,630000.0,Eastern Cape,27.2676116,27.2676116
2013,Nxuba,EC128,fruitless,553000.0,Eastern Cape,26.8329144,26.8329144
2013,Nxuba,EC128,irregular,0.0,Eastern Cape,26.8329144,26.8329144
2013,Nxuba,EC128,unauthorised,235000.0,Eastern Cape,26.8329144,26.8329144
2013,Inxuba Yethemba,EC131,fruitless,422000.0,Eastern Cape,26.3249438,26.3249438
2013,Inxuba Yethemba,EC131,irregular,15819000.0,Eastern Cape,26.3249438,26.3249438
2013,Inxuba Yethemba,EC131,unauthorised,8328000.0,Eastern Cape,26.3249438,26.3249438
2013,Tsolwana,EC132,fruitless,372000.0,Eastern Cape,25.3785719,25.3785719
2013,Tsolwana,EC132,irregular,8593000.0,Eastern Cape,25.3785719,25.3785719
2013,Tsolwana,EC132,unauthorised,8561000.0,Eastern Cape,25.3785719,25.3785719
2013,Inkwanca,EC133,fruitless,245000.0,Eastern Cape,26.1359431,26.1359431
2013,Inkwanca,EC133,irregular,243000.0,Eastern Cape,26.1359431,26.1359431
2013,Inkwanca,EC133,unauthorised,57536000.0,Eastern Cape,26.1359431,26.1359431
2013,Lukanji,EC134,fruitless,909000.0,Eastern Cape,26.5137964,26.5137964
2013,Lukanji,EC134,irregular,40580000.0,Eastern Cape,26.5137964,26.5137964
2013,Lukanji,EC134,unauthorised,75953000.0,Eastern Cape,26.5137964,26.5137964
2013,Intsika Yethu,EC135,fruitless,74000.0,Eastern Cape,26.8910342,26.8910342
2013,Intsika Yethu,EC135,irregular,0.0,Eastern Cape,26.8910342,26.8910342
2013,Intsika Yethu,EC135,unauthorised,0.0,Eastern Cape,26.8910342,26.8910342
2013,Emalahleni,EC136,fruitless,16880000.0,Eastern Cape,27.6434844,27.6434844
2013,Emalahleni,EC136,irregular,74071000.0,Eastern Cape,27.6434844,27.6434844
2013,Emalahleni,EC136,unauthorised,17070000.0,Eastern Cape,27.6434844,27.6434844
2013,Engcobo,EC137,fruitless,2794000.0,Eastern Cape,29.2553229,29.2553229
2013,Engcobo,EC137,irregular,22323000.0,Eastern Cape,29.2553229,29.2553229
2013,Engcobo,EC137,unauthorised,83441000.0,Eastern Cape,29.2553229,29.2553229
2013,Sakhisizwe,EC138,fruitless,769000.0,Eastern Cape,27.9834738,27.9834738
2013,Sakhisizwe,EC138,irregular,28581000.0,Eastern Cape,27.9834738,27.9834738
2013,Sakhisizwe,EC138,unauthorised,17029000.0,Eastern Cape,27.9834738,27.9834738
2013,Elundini,EC141,fruitless,283000.0,Eastern Cape,27.8311428,27.8311428
2013,Elundini,EC141,irregular,644000.0,Eastern Cape,27.8311428,27.8311428
2013,Elundini,EC141,unauthorised,31544000.0,Eastern Cape,27.8311428,27.8311428
2013,Senqu,EC142,fruitless,2030000.0,Eastern Cape,28.3929417,28.3929417
2013,Senqu,EC142,irregular,763000.0,Eastern Cape,28.3929417,28.3929417
2013,Senqu,EC142,unauthorised,0.0,Eastern Cape,28.3929417,28.3929417
2013,Maletswai,EC143,fruitless,1363000.0,Eastern Cape,27.6434844,27.6434844
2013,Maletswai,EC143,irregular,323000.0,Eastern Cape,27.6434844,27.6434844
2013,Maletswai,EC143,unauthorised,8703000.0,Eastern Cape,27.6434844,27.6434844
2013,Gariep,EC144,fruitless,3404000.0,Eastern Cape,26.8910342,26.8910342
2013,Gariep,EC144,irregular,7976000.0,Eastern Cape,26.8910342,26.8910342
2013,Gariep,EC144,unauthorised,28621000.0,Eastern Cape,26.8910342,26.8910342
2013,Ngquza Hill,EC153,fruitless,0.0,Eastern Cape,25.8521764,25.8521764
2013,Ngquza Hill,EC153,irregular,0.0,Eastern Cape,25.8521764,25.8521764
2013,Ngquza Hill,EC153,unauthorised,0.0,Eastern Cape,25.8521764,25.8521764
2013,Port St Johns,EC154,fruitless,0.0,Eastern Cape,29.6962677,29.6962677
2013,Port St Johns,EC154,irregular,0.0,Eastern Cape,29.6962677,29.6962677
2013,Port St Johns,EC154,unauthorised,0.0,Eastern Cape,29.6962677,29.6962677
2013,Nyandeni,EC155,fruitless,251000.0,Eastern Cape,29.5457058,29.5457058
2013,Nyandeni,EC155,irregular,32690000.0,Eastern Cape,29.5457058,29.5457058
2013,Nyandeni,EC155,unauthorised,5959000.0,Eastern Cape,29.5457058,29.5457058
2013,Mhlontlo,EC156,fruitless,215000.0,Eastern Cape,29.1390642,29.1390642
