,account_type,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,AUDA,DC21,Ugu,PAYE deductions,0,KwaZulu-Natal,30.2512728,30.2512728
2013,AUDA,DC21,Ugu,VAT (output less input),0,KwaZulu-Natal,30.2512728,30.2512728
2013,AUDA,DC21,Ugu,Pensions / Retirement deductions,0,KwaZulu-Natal,30.2512728,30.2512728
2013,AUDA,DC21,Ugu,Loan repayments,0,KwaZulu-Natal,30.2512728,30.2512728
2013,AUDA,DC21,Ugu,Trade Creditors,13964551,KwaZulu-Natal,30.2512728,30.2512728
2013,AUDA,DC21,Ugu,Auditor General,0,KwaZulu-Natal,30.2512728,30.2512728
2013,AUDA,DC21,Ugu,Other,110395787,KwaZulu-Natal,30.2512728,30.2512728
2013,AUDA,DC21,Ugu,Total,129654518,KwaZulu-Natal,30.2512728,30.2512728
2013,AUDA,DC22,Umgungundlovu,Bulk Electricity,0,KwaZulu-Natal,30.3435506,30.3435506
2013,AUDA,DC22,Umgungundlovu,Bulk Water,1083488,KwaZulu-Natal,30.3435506,30.3435506
2013,AUDA,DC22,Umgungundlovu,PAYE deductions,0,KwaZulu-Natal,30.3435506,30.3435506
2013,AUDA,DC22,Umgungundlovu,VAT (output less input),0,KwaZulu-Natal,30.3435506,30.3435506
2013,AUDA,DC22,Umgungundlovu,Pensions / Retirement deductions,0,KwaZulu-Natal,30.3435506,30.3435506
2013,AUDA,DC22,Umgungundlovu,Loan repayments,0,KwaZulu-Natal,30.3435506,30.3435506
2013,AUDA,DC22,Umgungundlovu,Trade Creditors,0,KwaZulu-Natal,30.3435506,30.3435506
2013,AUDA,DC22,Umgungundlovu,Auditor General,64155,KwaZulu-Natal,30.3435506,30.3435506
2013,AUDA,DC22,Umgungundlovu,Other,29670071,KwaZulu-Natal,30.3435506,30.3435506
2013,AUDA,DC22,Umgungundlovu,Total,30817714,KwaZulu-Natal,30.3435506,30.3435506
2013,AUDA,DC23,Uthukela,Bulk Electricity,0,KwaZulu-Natal,29.6035495,29.6035495
2013,AUDA,DC23,Uthukela,Bulk Water,0,KwaZulu-Natal,29.6035495,29.6035495
2013,AUDA,DC23,Uthukela,PAYE deductions,0,KwaZulu-Natal,29.6035495,29.6035495
2013,AUDA,DC23,Uthukela,VAT (output less input),0,KwaZulu-Natal,29.6035495,29.6035495
2013,AUDA,DC23,Uthukela,Pensions / Retirement deductions,0,KwaZulu-Natal,29.6035495,29.6035495
2013,AUDA,DC23,Uthukela,Loan repayments,0,KwaZulu-Natal,29.6035495,29.6035495
2013,AUDA,DC23,Uthukela,Trade Creditors,17104957,KwaZulu-Natal,29.6035495,29.6035495
2013,AUDA,DC23,Uthukela,Auditor General,0,KwaZulu-Natal,29.6035495,29.6035495
2013,AUDA,DC23,Uthukela,Other,47367523,KwaZulu-Natal,29.6035495,29.6035495
2013,AUDA,DC23,Uthukela,Total,64472480,KwaZulu-Natal,29.6035495,29.6035495
2013,AUDA,DC24,Umzinyathi,Bulk Electricity,0,KwaZulu-Natal,30.6199895,30.6199895
2013,AUDA,DC24,Umzinyathi,Bulk Water,11037812,KwaZulu-Natal,30.6199895,30.6199895
2013,AUDA,DC24,Umzinyathi,PAYE deductions,0,KwaZulu-Natal,30.6199895,30.6199895
2013,AUDA,DC24,Umzinyathi,VAT (output less input),0,KwaZulu-Natal,30.6199895,30.6199895
2013,AUDA,DC24,Umzinyathi,Pensions / Retirement deductions,3191274,KwaZulu-Natal,30.6199895,30.6199895
2013,AUDA,DC24,Umzinyathi,Loan repayments,0,KwaZulu-Natal,30.6199895,30.6199895
2013,AUDA,DC24,Umzinyathi,Trade Creditors,37574425,KwaZulu-Natal,30.6199895,30.6199895
2013,AUDA,DC24,Umzinyathi,Auditor General,0,KwaZulu-Natal,30.6199895,30.6199895
2013,AUDA,DC24,Umzinyathi,Other,2261565,KwaZulu-Natal,30.6199895,30.6199895
2013,AUDA,DC24,Umzinyathi,Total,54065076,KwaZulu-Natal,30.6199895,30.6199895
2013,AUDA,DC25,Amajuba,Bulk Electricity,0,KwaZulu-Natal,30.0665236,30.0665236
2013,AUDA,DC25,Amajuba,Bulk Water,0,KwaZulu-Natal,30.0665236,30.0665236
2013,AUDA,DC25,Amajuba,PAYE deductions,0,KwaZulu-Natal,30.0665236,30.0665236
2013,AUDA,DC25,Amajuba,VAT (output less input),0,KwaZulu-Natal,30.0665236,30.0665236
2013,AUDA,DC25,Amajuba,Pensions / Retirement deductions,0,KwaZulu-Natal,30.0665236,30.0665236
2013,AUDA,DC25,Amajuba,Loan repayments,0,KwaZulu-Natal,30.0665236,30.0665236
2013,AUDA,DC25,Amajuba,Trade Creditors,22409636,KwaZulu-Natal,30.0665236,30.0665236
2013,AUDA,DC25,Amajuba,Auditor General,0,KwaZulu-Natal,30.0665236,30.0665236
2013,AUDA,DC25,Amajuba,Other,22375623,KwaZulu-Natal,30.0665236,30.0665236
2013,AUDA,DC25,Amajuba,Total,44785259,KwaZulu-Natal,30.0665236,30.0665236
2013,AUDA,DC26,Zululand,Bulk Electricity,0,KwaZulu-Natal,31.4456179,31.4456179
2013,AUDA,DC26,Zululand,Bulk Water,0,KwaZulu-Natal,31.4456179,31.4456179
2013,AUDA,DC26,Zululand,PAYE deductions,0,KwaZulu-Natal,31.4456179,31.4456179
2013,AUDA,DC26,Zululand,VAT (output less input),0,KwaZulu-Natal,31.4456179,31.4456179
2013,AUDA,DC26,Zululand,Pensions / Retirement deductions,0,KwaZulu-Natal,31.4456179,31.4456179
2013,AUDA,DC26,Zululand,Loan repayments,0,KwaZulu-Natal,31.4456179,31.4456179
2013,AUDA,DC26,Zululand,Trade Creditors,72148018,KwaZulu-Natal,31.4456179,31.4456179
2013,AUDA,DC26,Zululand,Auditor General,0,KwaZulu-Natal,31.4456179,31.4456179
2013,AUDA,DC26,Zululand,Other,0,KwaZulu-Natal,31.4456179,31.4456179
2013,AUDA,DC26,Zululand,Total,72148018,KwaZulu-Natal,31.4456179,31.4456179
2013,AUDA,DC27,Umkhanyakude,Bulk Electricity,0,KwaZulu-Natal,32.5372741,32.5372741
2013,AUDA,DC27,Umkhanyakude,Bulk Water,0,KwaZulu-Natal,32.5372741,32.5372741
2013,AUDA,DC27,Umkhanyakude,PAYE deductions,0,KwaZulu-Natal,32.5372741,32.5372741
2013,AUDA,DC27,Umkhanyakude,VAT (output less input),0,KwaZulu-Natal,32.5372741,32.5372741
2013,AUDA,DC27,Umkhanyakude,Pensions / Retirement deductions,0,KwaZulu-Natal,32.5372741,32.5372741
2013,AUDA,DC27,Umkhanyakude,Loan repayments,0,KwaZulu-Natal,32.5372741,32.5372741
2013,AUDA,DC27,Umkhanyakude,Trade Creditors,29113311,KwaZulu-Natal,32.5372741,32.5372741
2013,AUDA,DC27,Umkhanyakude,Auditor General,0,KwaZulu-Natal,32.5372741,32.5372741
2013,AUDA,DC27,Umkhanyakude,Other,0,KwaZulu-Natal,32.5372741,32.5372741
2013,AUDA,DC27,Umkhanyakude,Total,29113311,KwaZulu-Natal,32.5372741,32.5372741
2013,AUDA,DC28,Uthungulu,Bulk Electricity,521901,KwaZulu-Natal,31.5370003,31.5370003
2013,AUDA,DC28,Uthungulu,Bulk Water,965040,KwaZulu-Natal,31.5370003,31.5370003
2013,AUDA,DC28,Uthungulu,PAYE deductions,1215617,KwaZulu-Natal,31.5370003,31.5370003
2013,AUDA,DC28,Uthungulu,VAT (output less input),0,KwaZulu-Natal,31.5370003,31.5370003
2013,AUDA,DC28,Uthungulu,Pensions / Retirement deductions,1167352,KwaZulu-Natal,31.5370003,31.5370003
2013,AUDA,DC28,Uthungulu,Loan repayments,0,KwaZulu-Natal,31.5370003,31.5370003
2013,AUDA,DC28,Uthungulu,Trade Creditors,19908080,KwaZulu-Natal,31.5370003,31.5370003
2013,AUDA,DC28,Uthungulu,Auditor General,43200,KwaZulu-Natal,31.5370003,31.5370003
2013,AUDA,DC28,Uthungulu,Other,6025768,KwaZulu-Natal,31.5370003,31.5370003
2013,AUDA,DC28,Uthungulu,Total,29846958,KwaZulu-Natal,31.5370003,31.5370003
2013,AUDA,DC29,iLembe,Bulk Electricity,0,KwaZulu-Natal,31.1710389,31.1710389
2013,AUDA,DC29,iLembe,Bulk Water,0,KwaZulu-Natal,31.1710389,31.1710389
2013,AUDA,DC29,iLembe,PAYE deductions,1132764,KwaZulu-Natal,31.1710389,31.1710389
2013,AUDA,DC29,iLembe,VAT (output less input),0,KwaZulu-Natal,31.1710389,31.1710389
2013,AUDA,DC29,iLembe,Pensions / Retirement deductions,1877971,KwaZulu-Natal,31.1710389,31.1710389
2013,AUDA,DC29,iLembe,Loan repayments,0,KwaZulu-Natal,31.1710389,31.1710389
2013,AUDA,DC29,iLembe,Trade Creditors,39241837,KwaZulu-Natal,31.1710389,31.1710389
2013,AUDA,DC29,iLembe,Auditor General,0,KwaZulu-Natal,31.1710389,31.1710389
2013,AUDA,DC29,iLembe,Other,0,KwaZulu-Natal,31.1710389,31.1710389
2013,AUDA,DC29,iLembe,Total,42252572,KwaZulu-Natal,31.1710389,31.1710389
2013,AUDA,DC3,Overberg,Bulk Electricity,0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC3,Overberg,Bulk Water,0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC3,Overberg,PAYE deductions,0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC3,Overberg,VAT (output less input),0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC3,Overberg,Pensions / Retirement deductions,0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC3,Overberg,Loan repayments,0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC3,Overberg,Trade Creditors,608883,Western Cape,19.7591675,19.7591675
2013,AUDA,DC3,Overberg,Auditor General,0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC3,Overberg,Other,612327,Western Cape,19.7591675,19.7591675
2013,AUDA,DC3,Overberg,Total,1221210,Western Cape,19.7591675,19.7591675
2013,AUDA,DC30,Gert Sibande,Bulk Electricity,0,Mpumalanga,29.9740534,29.9740534
2013,AUDA,DC30,Gert Sibande,Bulk Water,0,Mpumalanga,29.9740534,29.9740534
2013,AUDA,DC30,Gert Sibande,PAYE deductions,0,Mpumalanga,29.9740534,29.9740534
2013,AUDA,DC30,Gert Sibande,VAT (output less input),0,Mpumalanga,29.9740534,29.9740534
2013,AUDA,DC30,Gert Sibande,Pensions / Retirement deductions,0,Mpumalanga,29.9740534,29.9740534
2013,AUDA,DC30,Gert Sibande,Loan repayments,0,Mpumalanga,29.9740534,29.9740534
2013,AUDA,DC30,Gert Sibande,Trade Creditors,38303121,Mpumalanga,29.9740534,29.9740534
2013,AUDA,DC30,Gert Sibande,Auditor General,0,Mpumalanga,29.9740534,29.9740534
2013,AUDA,DC30,Gert Sibande,Other,17487821,Mpumalanga,29.9740534,29.9740534
2013,AUDA,DC30,Gert Sibande,Total,55790942,Mpumalanga,29.9740534,29.9740534
2013,AUDA,DC31,Nkangala,Bulk Electricity,0,Mpumalanga,29.6035495,29.6035495
2013,AUDA,DC31,Nkangala,Bulk Water,0,Mpumalanga,29.6035495,29.6035495
2013,AUDA,DC31,Nkangala,PAYE deductions,0,Mpumalanga,29.6035495,29.6035495
2013,AUDA,DC31,Nkangala,VAT (output less input),0,Mpumalanga,29.6035495,29.6035495
2013,AUDA,DC31,Nkangala,Pensions / Retirement deductions,0,Mpumalanga,29.6035495,29.6035495
2013,AUDA,DC31,Nkangala,Loan repayments,0,Mpumalanga,29.6035495,29.6035495
2013,AUDA,DC31,Nkangala,Trade Creditors,21937353,Mpumalanga,29.6035495,29.6035495
2013,AUDA,DC31,Nkangala,Auditor General,0,Mpumalanga,29.6035495,29.6035495
2013,AUDA,DC31,Nkangala,Other,3803129,Mpumalanga,29.6035495,29.6035495
2013,AUDA,DC31,Nkangala,Total,25740482,Mpumalanga,29.6035495,29.6035495
2013,AUDA,DC32,Ehlanzeni,Bulk Electricity,0,Mpumalanga,31.2626366,31.2626366
2013,AUDA,DC32,Ehlanzeni,Bulk Water,0,Mpumalanga,31.2626366,31.2626366
2013,AUDA,DC32,Ehlanzeni,PAYE deductions,0,Mpumalanga,31.2626366,31.2626366
2013,AUDA,DC32,Ehlanzeni,VAT (output less input),0,Mpumalanga,31.2626366,31.2626366
2013,AUDA,DC32,Ehlanzeni,Pensions / Retirement deductions,0,Mpumalanga,31.2626366,31.2626366
2013,AUDA,DC32,Ehlanzeni,Loan repayments,0,Mpumalanga,31.2626366,31.2626366
2013,AUDA,DC32,Ehlanzeni,Trade Creditors,16347748,Mpumalanga,31.2626366,31.2626366
2013,AUDA,DC32,Ehlanzeni,Auditor General,0,Mpumalanga,31.2626366,31.2626366
2013,AUDA,DC32,Ehlanzeni,Other,0,Mpumalanga,31.2626366,31.2626366
2013,AUDA,DC32,Ehlanzeni,Total,16347748,Mpumalanga,31.2626366,31.2626366
2013,AUDA,DC33,Mopani,Bulk Electricity,0,Limpopo,30.7160431,30.7160431
2013,AUDA,DC33,Mopani,Bulk Water,311208872,Limpopo,30.7160431,30.7160431
2013,AUDA,DC33,Mopani,PAYE deductions,0,Limpopo,30.7160431,30.7160431
2013,AUDA,DC33,Mopani,VAT (output less input),0,Limpopo,30.7160431,30.7160431
2013,AUDA,DC33,Mopani,Pensions / Retirement deductions,0,Limpopo,30.7160431,30.7160431
2013,AUDA,DC33,Mopani,Loan repayments,0,Limpopo,30.7160431,30.7160431
2013,AUDA,DC33,Mopani,Trade Creditors,154001560,Limpopo,30.7160431,30.7160431
2013,AUDA,DC33,Mopani,Auditor General,0,Limpopo,30.7160431,30.7160431
2013,AUDA,DC33,Mopani,Other,62700759,Limpopo,30.7160431,30.7160431
2013,AUDA,DC33,Mopani,Total,527911191,Limpopo,30.7160431,30.7160431
2013,AUDA,DC35,Capricorn,Bulk Electricity,0,Limpopo,29.2320784,29.2320784
2013,AUDA,DC35,Capricorn,Bulk Water,0,Limpopo,29.2320784,29.2320784
2013,AUDA,DC35,Capricorn,PAYE deductions,0,Limpopo,29.2320784,29.2320784
2013,AUDA,DC35,Capricorn,VAT (output less input),0,Limpopo,29.2320784,29.2320784
2013,AUDA,DC35,Capricorn,Pensions / Retirement deductions,0,Limpopo,29.2320784,29.2320784
2013,AUDA,DC35,Capricorn,Loan repayments,0,Limpopo,29.2320784,29.2320784
2013,AUDA,DC35,Capricorn,Trade Creditors,50804525,Limpopo,29.2320784,29.2320784
2013,AUDA,DC35,Capricorn,Auditor General,0,Limpopo,29.2320784,29.2320784
2013,AUDA,DC35,Capricorn,Other,171286624,Limpopo,29.2320784,29.2320784
2013,AUDA,DC35,Capricorn,Total,222091149,Limpopo,29.2320784,29.2320784
2013,AUDA,DC36,Waterberg,Bulk Electricity,0,Limpopo,28.299435,28.299435
2013,AUDA,DC36,Waterberg,Bulk Water,0,Limpopo,28.299435,28.299435
2013,AUDA,DC36,Waterberg,PAYE deductions,0,Limpopo,28.299435,28.299435
2013,AUDA,DC36,Waterberg,VAT (output less input),0,Limpopo,28.299435,28.299435
2013,AUDA,DC36,Waterberg,Pensions / Retirement deductions,0,Limpopo,28.299435,28.299435
2013,AUDA,DC36,Waterberg,Loan repayments,0,Limpopo,28.299435,28.299435
2013,AUDA,DC36,Waterberg,Trade Creditors,2033717,Limpopo,28.299435,28.299435
2013,AUDA,DC36,Waterberg,Auditor General,0,Limpopo,28.299435,28.299435
2013,AUDA,DC36,Waterberg,Other,6149797,Limpopo,28.299435,28.299435
2013,AUDA,DC36,Waterberg,Total,8183514,Limpopo,28.299435,28.299435
2013,AUDA,DC37,Bojanala,Bulk Electricity,0,North West,27.3616476,27.3616476
2013,AUDA,DC37,Bojanala,Bulk Water,0,North West,27.3616476,27.3616476
2013,AUDA,DC37,Bojanala,PAYE deductions,0,North West,27.3616476,27.3616476
2013,AUDA,DC37,Bojanala,VAT (output less input),234718,North West,27.3616476,27.3616476
2013,AUDA,DC37,Bojanala,Pensions / Retirement deductions,0,North West,27.3616476,27.3616476
