,mun_name,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,Umgungundlovu,DC22,AUDA,Total Current Assets,262972888,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,Total Assets,943681868,KwaZulu-Natal,30.3435506,30.3435506
2013,Uthukela,DC23,AUDA,Total Community Wealth / Equity,1639220480,KwaZulu-Natal,29.6035495,29.6035495
2013,Uthukela,DC23,AUDA,Total Non-Current Liabilities,19972543,KwaZulu-Natal,29.6035495,29.6035495
2013,Uthukela,DC23,AUDA,Total Current Liabilities,252618428,KwaZulu-Natal,29.6035495,29.6035495
2013,Uthukela,DC23,AUDA,Total Net Assets and Liabilities,1911811451,KwaZulu-Natal,29.6035495,29.6035495
2013,Uthukela,DC23,AUDA,Total Non-Current Assets,1709897661,KwaZulu-Natal,29.6035495,29.6035495
2013,Uthukela,DC23,AUDA,Total Current Assets,201913790,KwaZulu-Natal,29.6035495,29.6035495
2013,Uthukela,DC23,AUDA,Total Assets,1911811451,KwaZulu-Natal,29.6035495,29.6035495
2013,Umzinyathi,DC24,AUDA,Total Community Wealth / Equity,1091203043,KwaZulu-Natal,30.6199895,30.6199895
2013,Umzinyathi,DC24,AUDA,Total Non-Current Liabilities,70074603,KwaZulu-Natal,30.6199895,30.6199895
2013,Umzinyathi,DC24,AUDA,Total Current Liabilities,92577691,KwaZulu-Natal,30.6199895,30.6199895
2013,Umzinyathi,DC24,AUDA,Total Net Assets and Liabilities,1253855337,KwaZulu-Natal,30.6199895,30.6199895
2013,Umzinyathi,DC24,AUDA,Total Non-Current Assets,1132109836,KwaZulu-Natal,30.6199895,30.6199895
2013,Umzinyathi,DC24,AUDA,Total Current Assets,121745501,KwaZulu-Natal,30.6199895,30.6199895
2013,Umzinyathi,DC24,AUDA,Total Assets,1253855337,KwaZulu-Natal,30.6199895,30.6199895
2013,Amajuba,DC25,AUDA,Total Community Wealth / Equity,689422321,KwaZulu-Natal,30.0665236,30.0665236
2013,Amajuba,DC25,AUDA,Total Non-Current Liabilities,0,KwaZulu-Natal,30.0665236,30.0665236
2013,Amajuba,DC25,AUDA,Total Current Liabilities,89032555,KwaZulu-Natal,30.0665236,30.0665236
2013,Amajuba,DC25,AUDA,Total Net Assets and Liabilities,778454876,KwaZulu-Natal,30.0665236,30.0665236
2013,Amajuba,DC25,AUDA,Total Non-Current Assets,765398615,KwaZulu-Natal,30.0665236,30.0665236
2013,Amajuba,DC25,AUDA,Total Current Assets,13056261,KwaZulu-Natal,30.0665236,30.0665236
2013,Amajuba,DC25,AUDA,Total Assets,778454876,KwaZulu-Natal,30.0665236,30.0665236
2013,Zululand,DC26,AUDA,Total Community Wealth / Equity,1792772066,KwaZulu-Natal,31.4456179,31.4456179
2013,Zululand,DC26,AUDA,Total Non-Current Liabilities,5325,KwaZulu-Natal,31.4456179,31.4456179
2013,Zululand,DC26,AUDA,Total Current Liabilities,93947385,KwaZulu-Natal,31.4456179,31.4456179
2013,Zululand,DC26,AUDA,Total Net Assets and Liabilities,1886724776,KwaZulu-Natal,31.4456179,31.4456179
2013,Zululand,DC26,AUDA,Total Non-Current Assets,1765380952,KwaZulu-Natal,31.4456179,31.4456179
2013,Zululand,DC26,AUDA,Total Current Assets,121343824,KwaZulu-Natal,31.4456179,31.4456179
2013,Zululand,DC26,AUDA,Total Assets,1886724776,KwaZulu-Natal,31.4456179,31.4456179
2013,Umkhanyakude,DC27,AUDA,Total Community Wealth / Equity,1347957661,KwaZulu-Natal,32.5372741,32.5372741
2013,Umkhanyakude,DC27,AUDA,Total Non-Current Liabilities,13164528,KwaZulu-Natal,32.5372741,32.5372741
2013,Umkhanyakude,DC27,AUDA,Total Current Liabilities,160586621,KwaZulu-Natal,32.5372741,32.5372741
2013,Umkhanyakude,DC27,AUDA,Total Net Assets and Liabilities,1521708810,KwaZulu-Natal,32.5372741,32.5372741
2013,Umkhanyakude,DC27,AUDA,Total Non-Current Assets,1242750594,KwaZulu-Natal,32.5372741,32.5372741
2013,Umkhanyakude,DC27,AUDA,Total Current Assets,278958216,KwaZulu-Natal,32.5372741,32.5372741
2013,Umkhanyakude,DC27,AUDA,Total Assets,1521708810,KwaZulu-Natal,32.5372741,32.5372741
2013,Uthungulu,DC28,AUDA,Total Community Wealth / Equity,1344961209,KwaZulu-Natal,31.5370003,31.5370003
2013,Uthungulu,DC28,AUDA,Total Non-Current Liabilities,154508108,KwaZulu-Natal,31.5370003,31.5370003
2013,Uthungulu,DC28,AUDA,Total Current Liabilities,205504791,KwaZulu-Natal,31.5370003,31.5370003
2013,Uthungulu,DC28,AUDA,Total Net Assets and Liabilities,1704974108,KwaZulu-Natal,31.5370003,31.5370003
2013,Uthungulu,DC28,AUDA,Total Non-Current Assets,1199525662,KwaZulu-Natal,31.5370003,31.5370003
2013,Uthungulu,DC28,AUDA,Total Current Assets,505448446,KwaZulu-Natal,31.5370003,31.5370003
2013,Uthungulu,DC28,AUDA,Total Assets,1704974108,KwaZulu-Natal,31.5370003,31.5370003
2013,iLembe,DC29,AUDA,Total Community Wealth / Equity,1098697430,KwaZulu-Natal,31.1710389,31.1710389
2013,iLembe,DC29,AUDA,Total Non-Current Liabilities,95416231,KwaZulu-Natal,31.1710389,31.1710389
2013,iLembe,DC29,AUDA,Total Current Liabilities,168721364,KwaZulu-Natal,31.1710389,31.1710389
2013,iLembe,DC29,AUDA,Total Net Assets and Liabilities,1362835025,KwaZulu-Natal,31.1710389,31.1710389
2013,iLembe,DC29,AUDA,Total Non-Current Assets,1201628909,KwaZulu-Natal,31.1710389,31.1710389
2013,iLembe,DC29,AUDA,Total Current Assets,161206116,KwaZulu-Natal,31.1710389,31.1710389
2013,iLembe,DC29,AUDA,Total Assets,1362835025,KwaZulu-Natal,31.1710389,31.1710389
2013,Overberg,DC3,AUDA,Total Community Wealth / Equity,-21216602,Western Cape,19.7591675,19.7591675
2013,Overberg,DC3,AUDA,Total Non-Current Liabilities,60322253,Western Cape,19.7591675,19.7591675
2013,Overberg,DC3,AUDA,Total Current Liabilities,20417088,Western Cape,19.7591675,19.7591675
2013,Overberg,DC3,AUDA,Total Net Assets and Liabilities,59522739,Western Cape,19.7591675,19.7591675
2013,Overberg,DC3,AUDA,Total Non-Current Assets,42328359,Western Cape,19.7591675,19.7591675
2013,Overberg,DC3,AUDA,Total Current Assets,17194380,Western Cape,19.7591675,19.7591675
2013,Overberg,DC3,AUDA,Total Assets,59522739,Western Cape,19.7591675,19.7591675
2013,Gert Sibande,DC30,AUDA,Total Community Wealth / Equity,394490614,Mpumalanga,29.9740534,29.9740534
2013,Gert Sibande,DC30,AUDA,Total Non-Current Liabilities,33283097,Mpumalanga,29.9740534,29.9740534
2013,Gert Sibande,DC30,AUDA,Total Current Liabilities,69160780,Mpumalanga,29.9740534,29.9740534
2013,Gert Sibande,DC30,AUDA,Total Net Assets and Liabilities,496934491,Mpumalanga,29.9740534,29.9740534
2013,Gert Sibande,DC30,AUDA,Total Non-Current Assets,389454851,Mpumalanga,29.9740534,29.9740534
2013,Gert Sibande,DC30,AUDA,Total Current Assets,107479640,Mpumalanga,29.9740534,29.9740534
2013,Gert Sibande,DC30,AUDA,Total Assets,496934491,Mpumalanga,29.9740534,29.9740534
2013,Nkangala,DC31,AUDA,Total Community Wealth / Equity,689221095,Mpumalanga,29.6035495,29.6035495
2013,Nkangala,DC31,AUDA,Total Non-Current Liabilities,43658687,Mpumalanga,29.6035495,29.6035495
2013,Nkangala,DC31,AUDA,Total Current Liabilities,65791573,Mpumalanga,29.6035495,29.6035495
2013,Nkangala,DC31,AUDA,Total Net Assets and Liabilities,798671355,Mpumalanga,29.6035495,29.6035495
2013,Nkangala,DC31,AUDA,Total Non-Current Assets,123563675,Mpumalanga,29.6035495,29.6035495
2013,Nkangala,DC31,AUDA,Total Current Assets,675107680,Mpumalanga,29.6035495,29.6035495
2013,Nkangala,DC31,AUDA,Total Assets,798671355,Mpumalanga,29.6035495,29.6035495
2013,Ehlanzeni,DC32,AUDA,Total Community Wealth / Equity,29877000,Mpumalanga,31.2626366,31.2626366
2013,Ehlanzeni,DC32,AUDA,Total Non-Current Liabilities,207392000,Mpumalanga,31.2626366,31.2626366
2013,Ehlanzeni,DC32,AUDA,Total Current Liabilities,27830000,Mpumalanga,31.2626366,31.2626366
2013,Ehlanzeni,DC32,AUDA,Total Net Assets and Liabilities,265099000,Mpumalanga,31.2626366,31.2626366
2013,Ehlanzeni,DC32,AUDA,Total Non-Current Assets,249257000,Mpumalanga,31.2626366,31.2626366
2013,Ehlanzeni,DC32,AUDA,Total Current Assets,15842000,Mpumalanga,31.2626366,31.2626366
2013,Ehlanzeni,DC32,AUDA,Total Assets,265099000,Mpumalanga,31.2626366,31.2626366
2013,Mopani,DC33,AUDA,Total Community Wealth / Equity,2371266465,Limpopo,30.7160431,30.7160431
2013,Mopani,DC33,AUDA,Total Non-Current Liabilities,59318335,Limpopo,30.7160431,30.7160431
2013,Mopani,DC33,AUDA,Total Current Liabilities,748419059,Limpopo,30.7160431,30.7160431
2013,Mopani,DC33,AUDA,Total Net Assets and Liabilities,3179003859,Limpopo,30.7160431,30.7160431
2013,Mopani,DC33,AUDA,Total Non-Current Assets,2097849535,Limpopo,30.7160431,30.7160431
2013,Mopani,DC33,AUDA,Total Current Assets,1081154324,Limpopo,30.7160431,30.7160431
2013,Mopani,DC33,AUDA,Total Assets,3179003859,Limpopo,30.7160431,30.7160431
2013,Vhembe,DC34,AUDA,Total Community Wealth / Equity,2816070989,Limpopo,29.9740534,29.9740534
2013,Vhembe,DC34,AUDA,Total Non-Current Liabilities,0,Limpopo,29.9740534,29.9740534
2013,Vhembe,DC34,AUDA,Total Current Liabilities,444461086,Limpopo,29.9740534,29.9740534
2013,Vhembe,DC34,AUDA,Total Net Assets and Liabilities,3260532075,Limpopo,29.9740534,29.9740534
2013,Vhembe,DC34,AUDA,Total Non-Current Assets,2936628405,Limpopo,29.9740534,29.9740534
2013,Vhembe,DC34,AUDA,Total Current Assets,323903670,Limpopo,29.9740534,29.9740534
2013,Vhembe,DC34,AUDA,Total Assets,3260532075,Limpopo,29.9740534,29.9740534
