,date,mun_code,mun_name,Province,Latitude,Longitude,Property_rates,Property_rates_PENALTIES,Service_Charges,Rent_Faciliites_Equip,Interest_Earned_Ex,Interest_Earned_De,Dividends_Rec,Fines,Licence_permits,Agency_Services,Transfers_Operating,Transfers_Capital,other_rev,PPE_disposal_gain,revenue_foregone,Total_rev
547,2014,WC044,George,Western Cape,21.904554100000002,21.904554100000002,154010771,3759202,635465202,2272951,22385592,3931893,0,64706965,2088827,6961369,290629406,273073807,18713574,0,0,1477999559
548,2014,WC045,Oudtshoorn,Western Cape,22.4768287,22.4768287,50065106,0,225539149,1908065,2674119,6415640,0,4840020,0,4135980,85919792,40421361,24964166,0,0,446883398
549,2014,WC047,Bitou,Western Cape,22.1430215,22.1430215,96886435,0,194472570,1347279,3365138,3641102,0,28611844,54049,1147129,86994485,47882956,18523093,0,7770818,475155262
550,2014,WC048,Knysna,Western Cape,23.429984,23.429984,143965714,3064682,266101281,4137807,5944216,3617396,0,49909949,1643085,2160828,96159977,32916705,7750359,327260,13563454,604135805
551,2014,WC051,Laingsburg,Western Cape,23.049842,23.049842,2614590,0,13109627,1120533,556889,408875,0,17121289,209385,120092,16790967,12468731,249381,0,0,64770359
552,2014,WC052,Prince Albert,Western Cape,20.902977,20.902977,2603020,0,16135099,279909,541928,562568,0,12579551,256394,0,28176859,20614065,615382,0,2733194,79631581
553,2014,WC053,Beaufort West,Western Cape,22.047636999999998,22.047636999999998,25229135,399873,97750602,814984,1011727,1858351,0,40873666,545598,541057,77918758,21348283,5922617,0,15088133,259126518
554,2015,BUF,Buffalo City,Western Cape,22.8105512,22.8105512,817716642,0,2424752656,17430173,124222300,34998995,0,5499649,14034279,0,948513477,615492272,615879414,0,23197797,5595342060
555,2015,CPT,City of Cape Town,Eastern Cape,27.6434844,27.6434844,7173537457,0,15374111772,369120867,575782825,198229746,0,988016782,43110568,168519195,3264270303,2467397373,2401887931,87867581,1159646733,31952205667
556,2015,DC1,West Coast,Western Cape,18.4680927,18.4680927,0,0,107439237,3000953,13525870,0,0,0,0,110516285,81346519,3071915,13109310,0,0,332010089
557,2015,DC10,Cacadu,Western Cape,18.617562600000003,18.617562600000003,0,0,0,1208685,17261678,0,0,0,0,41669,89383537,0,1522938,0,0,109418507
558,2015,DC12,Amathole,Eastern Cape,25.6223644,25.6223644,0,0,1829601428,102162933,0,0,0,0,0,0,0,0,0,9582772,0,1941347133
559,2015,DC13,Chris Hani,Eastern Cape,27.3616476,27.3616476,0,0,185225386,0,26424534,0,0,0,0,0,486188053,618117375,522482465,0,0,1838437813
560,2015,DC14,Joe Gqabi,Eastern Cape,26.7967849,26.7967849,0,0,102864067,0,3900795,5808469,0,0,0,0,311552662,129947364,6763083,0,18868576,541967864
561,2015,DC16,Xhariep,Eastern Cape,26.985242200000002,26.985242200000002,0,0,0,395017,334004,0,0,0,0,0,50064812,0,1126986,0,0,51920819
562,2015,DC18,Lejweleputswa,Free State,25.283758499999998,25.283758499999998,0,0,0,0,3741895,734280,0,0,0,0,108518498,0,230940,0,0,113225613
563,2015,DC19,Thabo Mofutsanyane,Free State,26.230461600000005,26.230461600000005,0,0,0,0,2069979,0,0,0,0,0,108834495,0,1572901,70130,0,112547505
564,2015,DC2,Cape Winelands,Free State,28.299435,28.299435,0,0,487398,93655,35341507,0,0,0,0,91394268,221524163,0,1674893,26948,0,350542832
565,2015,DC20,Fezile Dabi,Western Cape,19.7591675,19.7591675,0,0,38340,0,8043872,0,0,0,0,0,145192041,0,1286385,0,0,154560638
566,2015,DC21,Ugu,Free State,27.737337300000004,27.737337300000004,0,0,295020086,2430265,16024882,3490010,0,0,0,0,341199364,385803730,16964068,862083,0,1061794488
567,2015,DC22,Umgungundlovu,KwaZulu-Natal,30.2512728,30.2512728,0,0,116303319,296432,12260127,17218256,0,0,0,0,376281415,228861851,3911168,0,0,755132568
