date,mun_code,efficient_measure,wellfare_measure,profile,province
2012,LIM351,0.9995760731,0.196902993,2,Limpopo
2012,LIM352,0.9985153708,0.303450573,2,Limpopo
2012,LIM353,1.0,0.359514975,2,Limpopo
2012,LIM354,0.9991956686,0.489700904,2,Limpopo
2012,LIM355,0.9985394261,0.320057987,2,Limpopo
2012,LIM361,0.9968744202,0.554204282,1,Limpopo
2012,LIM362,0.9997851434,0.427335483,2,Limpopo
2012,LIM364,0.9996361527,0.611795979,1,Limpopo
2012,LIM365,0.9995478882,0.57010887,1,Limpopo
2012,LIM366,0.9995100574,0.606324297,1,Limpopo
2012,LIM367,0.9998722589,0.355437846,2,Limpopo
2012,LIM471,0.9960962645,0.298786259,2,Limpopo
2012,LIM472,0.9988704519,0.305943266,2,Limpopo
2012,LIM473,0.9996467603,0.205748266,2,Limpopo
2012,LIM474,0.9997954011,0.220378493,2,Limpopo
2012,LIM475,0.9962124894,0.214294231,2,Limpopo
2012,MAN,0.9990129741,0.633151152,1,Free State
2012,MP301,0.9992493086,0.353657969,2,Mpumalanga
2012,MP302,1.0,0.513021248,1,Mpumalanga
2012,MP303,0.9999777649,0.336702693,2,Mpumalanga
2012,MP304,0.9999578024,0.487936867,2,Mpumalanga
2012,MP305,0.9979898217,0.671750998,1,Mpumalanga
2012,MP306,0.9985418477,0.586584503,1,Mpumalanga
2012,MP307,0.9995215537,0.711624011,1,Mpumalanga
2012,MP311,1.0,0.608824847,1,Mpumalanga
2012,MP312,0.9999263463,0.613228586,1,Mpumalanga
2012,MP313,0.9989878097,0.638193217,1,Mpumalanga
2012,MP314,0.9999280154,0.516384779,1,Mpumalanga
2012,MP315,0.9997109814,0.472269614,2,Mpumalanga
2012,MP316,1.0,0.399915125,2,Mpumalanga
2012,MP321,0.9996831384,0.568146441,1,Mpumalanga
2012,MP322,0.9999689495,0.474942701,2,Mpumalanga
2012,MP323,0.9999964339,0.533661051,1,Mpumalanga
2012,MP324,0.9987358376,0.353594572,2,Mpumalanga
2012,MP325,0.9957340055,0.277435283,2,Mpumalanga
2012,NC061,0.9998178222,0.698892666,1,Northern Cape
2012,NC062,0.9986492501,0.685299264,1,Northern Cape
2012,NC064,0.9981523811,0.577967945,1,Northern Cape
2012,NC065,0.9993182016,0.669744252,1,Northern Cape
2012,NC066,1.0,0.535635105,1,Northern Cape
2012,NC067,0.9990094323,0.667551603,1,Northern Cape
2012,NC071,0.9989496819,0.651421812,1,Northern Cape
2012,NC072,0.9984914154,0.658815738,1,Northern Cape
2012,NC073,0.9996420889,0.688452563,1,Northern Cape
2012,NC074,0.999785368,0.647292409,1,Northern Cape
2012,NC075,0.9959627856,0.670223254,1,Northern Cape
2012,NC076,0.9972452137,0.55606452,1,Northern Cape
2012,NC077,0.9975528342,0.657320763,1,Northern Cape
2012,NC078,0.9992265589,0.59752436,1,Northern Cape
2012,NC081,0.9989083144,0.558244948,1,Northern Cape
2012,NC082,0.9979435745,0.614776383,1,Northern Cape
2012,NC083,0.9987705347,0.654904934,1,Northern Cape
2012,NC084,0.9984054579,0.528493431,1,Northern Cape
2012,NC085,0.991640044,0.63470947,1,Northern Cape
2012,NC086,0.9992612843,0.712919717,1,Northern Cape
2012,NC091,0.9999721669,0.67941982,1,Northern Cape
2012,NC092,1.0,0.611380922,1,Northern Cape
2012,NC093,0.9992398987,0.672415791,1,Northern Cape
2012,NC094,0.9985478394,0.617156404,1,Northern Cape
2012,NC451,0.9999950489,0.16135296,2,Northern Cape
2012,NC452,0.9980988882,0.371632322,2,Northern Cape
2012,NC453,1.0,0.694703773,1,Northern Cape
2012,NMA,0.9996493188,0.704481382,1,Eastern Cape
2012,NW371,0.9995494338,0.399557094,2,North West
2012,NW372,0.999890098,0.482167728,2,North West
2012,NW373,0.9989565041,0.589268442,1,North West
2012,NW374,0.9999984557,0.572742572,1,North West
2012,NW375,0.9966656757,0.377500789,2,North West
2012,NW381,0.9989802361,0.179427048,2,North West
2012,NW382,0.9995510731,0.415321375,2,North West
2012,NW383,0.9994406538,0.436914872,2,North West
2012,NW384,0.9999960404,0.491269076,2,North West
2012,NW385,0.0,0.356733321,3,North West
2012,NW392,0.9981349347,0.559354075,1,North West
2012,NW393,0.9976337549,0.569519761,1,North West
2012,NW394,0.9999743451,0.266046004,2,North West
2012,NW396,0.9983474334,0.70853386,1,North West
2012,NW397,1.0,0.242138472,2,North West
2012,NW401,0.9974295537,0.465944808,2,North West
2012,NW402,0.9973467445,0.689715567,1,North West
2012,NW403,0.9986203929,0.70493483,1,North West
2012,NW404,0.9998373706,0.61481132,1,North West
2012,TSH,0.9998152168,0.678458085,1,Gauteng
2012,WC011,0.9991333978,0.66451707,1,Western Cape
2012,WC012,0.9985319069,0.66809104,1,Western Cape
2012,WC013,0.9993598593,0.698942586,1,Western Cape
2012,WC014,0.9999731372,0.706038112,1,Western Cape
2012,WC015,0.9999055446,0.70615472,1,Western Cape
2012,WC022,0.9998098801,0.692917136,1,Western Cape
2012,WC023,0.999834263,0.711611217,1,Western Cape
2012,WC024,0.9999996003,0.71095056,1,Western Cape
2012,WC025,0.9999738368,0.695228025,1,Western Cape
2012,WC026,0.9999739341,0.702217557,1,Western Cape
2012,WC031,0.9990458774,0.655016752,1,Western Cape
2012,WC032,0.9999985974,0.626021046,1,Western Cape
2012,WC033,0.99971724,0.703267611,1,Western Cape
2012,WC034,0.9995152098,0.674111907,1,Western Cape
2012,WC041,0.9991170538,0.631654533,1,Western Cape
2012,WC042,0.9999910214,0.695660203,1,Western Cape
2012,WC043,0.9982127161,0.69930204,1,Western Cape
2012,WC044,0.9997186875,0.690510268,1,Western Cape
2012,WC045,0.9998282659,0.625167729,1,Western Cape
2012,WC047,0.9987348233,0.678165846,1,Western Cape
2012,WC048,0.9985572796,0.608490934,1,Western Cape
2012,WC051,0.9986490897,0.69450831,1,Western Cape
2012,WC052,0.99955635,0.654090735,1,Western Cape
2012,WC053,0.9996766192,0.714880049,1,Western Cape
2013,BUF,0.9998446752,0.574703629,1,Eastern Cape
2013,CPT,0.9999998063,0.708695779,1,Western Cape
2013,DC1,1.0,0.712713918,1,Western Cape
2013,DC10,0.9997054534,0.661455687,1,Eastern Cape
2013,DC12,0.9995286391,0.258010173,2,Eastern Cape
2013,DC13,0.999749393,0.382382194,2,Eastern Cape
2013,DC14,0.9999060826,0.337836395,2,Eastern Cape
2013,DC15,0.9989593954,0.17373136,2,Eastern Cape
2013,DC16,0.9981950748,0.682325053,1,Free State
2013,DC18,0.9162463612,0.684813125,1,Free State
2013,DC19,0.9981268117,0.571394359,1,Free State
2013,DC2,0.9998415371,0.713670908,1,Western Cape
2013,DC20,0.9999059795,0.676326331,1,Free State
2013,DC21,0.9995375168,0.287873448,2,KwaZulu-Natal
2013,DC22,0.9999984764,0.520866911,1,KwaZulu-Natal
2013,DC23,0.9978621715,0.328014519,2,KwaZulu-Natal
2013,DC24,0.9998594303,0.235772549,2,KwaZulu-Natal
2013,DC25,1.0,0.554208906,1,KwaZulu-Natal
2013,DC26,0.9999856729,0.308937344,2,KwaZulu-Natal
2013,DC27,0.9915953231,0.175245324,2,KwaZulu-Natal
2013,DC28,1.0,0.398295342,2,KwaZulu-Natal
2013,DC29,0.9998348481,0.324697388,2,KwaZulu-Natal
2013,DC3,0.9998752638,0.680925555,1,Western Cape
2013,DC30,0.9983370522,0.538534472,1,Mpumalanga
2013,DC31,0.9991920306,0.538256843,1,Mpumalanga
2013,DC32,1.0,0.386202841,2,Mpumalanga
2013,DC33,0.998158044,0.242002535,2,Limpopo
2013,DC34,0.9923904212,0.231448872,2,Limpopo
2013,DC35,0.9997629988,0.403480151,2,Limpopo
2013,DC36,0.9999997772,0.439222902,2,Limpopo
2013,DC37,0.9998285879,0.478888832,2,North West
2013,DC38,0.9996398178,0.39875261,2,North West
2013,DC39,0.9997072259,0.374978439,2,North West
